Sample_Number	Sample_Type	Phase_Day_Time	Test	Sample_Number	Animal_Name_Tattoo	Tube_ID	Index_Plate	Plate_Position	RIN_1to9	QubitConcng_uL_1to9	Vol_for_400ng	NF_Water_Vol	Qubit_no_Dil	Vol_for_400ng	NF_Water_Vol	Plate_Location	Index__Lib	Quantit_ng_uL_Lib	Avg_bp_size_Bioanalyzer	Molarity_nM	Dilute_to_10nM_sample	Vol_to_dilute_to_10nM_RSB	Dil_to_2nM_samp	Dil_to_2nM_Vol__RSB	Tube_ID
F-50179087-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179087-003S	LOCHTE-088AA	26			8.4	121	3.31	6.69				B04	B	30.19	303	150.97	1.32	18.68	2.80	11.20	26
F-50179071-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179071-003S	MAGNETO-1570987	27			7.1	130	3.08	6.92				C04	B	27.66	308	136.07	1.47	18.53	2.80	11.20	27
F-50179068-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179068-003S	PORT-088BC	28			6	269	1.49	8.51				D04	B	6.31	276	34.64	5.77	14.23	2.80	11.20	28
F-50179062-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179062-003S	MOXIE-1528760	29			7.2	19	21.05	-11.05	171	2.34	7.66	E04	B	19.09	280	103.30	1.94	18.06	2.80	11.20	29
F-50179271-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179271-003S	GOBLIN-120AB	30			6	83	4.82	5.18				F04	B	10.93	284	58.31	3.43	16.57	2.80	11.20	30
F-50179265-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179265-003S	HERRERA-2936586	31			6.8	225	1.78	8.22				G04	B	14.79	285	78.63	2.54	17.46	2.80	11.20	31
F-50179263-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179263-003S	COACH-1663888	32			6.4	125	3.20	6.80				H04	B	17.7	275	97.52	2.05	17.95	2.80	11.20	32
F-50179149-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179149-003S	LOCHTE-088AA	33			6.3	220	1.82	8.18				A05	B	11.93	280	64.56	3.10	16.90	2.80	11.20	33
F-50179147-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179147-003S	LOCHTE-088AA	34			6.9	47	8.51	1.49				B05	B	20.73	294	106.83	1.87	18.13	2.80	11.20	34
F-50179135-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179135-003S	ROGUE-1569474	35			7.5	202	1.98	8.02				C05	B	25.29	303	126.46	1.58	18.42	2.80	11.20	35
F-50179127-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179127-003S	PORT-088BC	36			6.6	120	3.33	6.67				D05	B	20.1	282	107.99	1.85	18.15	2.80	11.20	36
F-50179118-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179118-003S	MISTLETOE-UUS-1	37			6.7	59	6.78	3.22				E05	B	20.11	284	107.29	1.86	18.14	2.80	11.20	37
F-50179116-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179116-003S	NATIVITY-LCO-1	38			6.6	20	20.00	-10.00	180	2.22	7.78	F05	B	27.79	281	149.84	1.33	18.67	2.80	11.20	38
F-50179101-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179101-003S	INFANTE-2942187	39			7.2	101	3.96	6.04				G05	B	26.11	247	160.16	1.25	18.75	2.80	11.20	39
F-50179099-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179099-003S	MACARENA-147AF	40			7.4	48	8.33	1.67				H05	B	27.49	281	148.23	1.35	18.65	2.80	11.20	40
F-50179213-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179213-003S	MISTLETOE-UUS-1	41			7.1	78	5.13	4.87				A06	B	34.27	296	175.42	1.14	18.86	2.80	11.20	41
F-50179211-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179211-003S	WOBBLE-147AE	42			6.6	67	5.97	4.03				B06	B	16	279	86.89	2.30	17.70	2.80	11.20	42
F-50179205-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179205-003S	RC-1535511	43			7.5	106	3.77	6.23				C06	B	17.91	279	97.26	2.06	17.94	2.80	11.20	43
F-50179200-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179200-003S	INFANTE-2942187	44			8.3	68	5.88	4.12				D06	B	15.97	280	86.42	2.31	17.69	2.80	11.20	44
F-50179194-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179194-003S	LEEPER-088AB	45			6.2	96	4.17	5.83				E06	B	17.93	277	98.07	2.04	17.96	2.80	11.20	45
F-50179192-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179192-003S	LEEPER-088AB	46			7.3	116	3.45	6.55				F06	B	17.01	278	92.71	2.16	17.84	2.80	11.20	46
F-50179171-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179171-003S	PRETZEL-3554946	47			6.2	128	3.13	6.88				G06	B	28.79	285	153.06	1.31	18.69	2.80	11.20	47
F-50179169-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179169-003S	PRETZEL-3554946	48			6.1	114	3.51	6.49				H06	B	7.74	275	42.64	4.69	15.31	2.80	11.20	48
F-50179255-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179255-003S	PORRIDGE-3266789	49			6.1	224	1.79	8.21				A07	B	15.05	284	80.29	2.49	17.51	2.80	11.20	49
F-50179249-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179249-003S	ROGUE-1569474	50			6.5	141	2.84	7.16				B07	B	13.59	285	72.25	2.77	17.23	2.80	11.20	50
F-50179235-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179235-003S	NATIVITY-LCO-1	51			5.3	171	2.34	7.66				C07	B	15.89	289	83.31	2.40	17.60	2.80	11.20	51
F-50179229-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179229-003S	HARD_ROCK-1971702	52			7.4	70	5.71	4.29				D07	B	5.07	277	27.73	7.21	12.79	2.80	11.20	52
F-50179223-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179223-003S	AQUATA-FGS-1	53			6.1	117	3.42	6.58				E07	B	20.16	277	110.27	1.81	18.19	2.80	11.20	53
F-50179058-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179058-003S	FRONTIER-1971400	54			6.3	36.8	10.87	-0.87	331.2	1.21	8.79	F07	B	5.52	282	29.66	6.74	13.26	2.80	11.20	54
F-50179129-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179129-003S	COACH-1663888	55			6.1	83	4.82	5.18				G07	B	14.73	281	79.42	2.52	17.48	2.80	11.20	55
F-50179188-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179188-003S	TANDA-2329353	56			6.3	406	0.99	9.01				H07	B	16.33	286	86.51	2.31	17.69	2.80	11.20	56
F-50179261-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179261-003S	COACH-1663888	57			5.4	159	2.52	7.48				A08	B	15.73	271	87.95	2.27	17.73	2.80	11.20	57
F-50179097-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179097-003S	LEEPER-088AB	58			8	247	1.62	8.38				B08	B	23.26	296	119.06	1.68	18.32	2.80	11.20	58
F-50179163-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179163-003S	MAGNETO-1570987	59			6.6	181	2.21	7.79				C08	B	17.96	280	97.19	2.06	17.94	2.80	11.20	59
F-50179221-003S	Feces	T-32-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179221-003S	AQUATA-FGS-1	60			2.6	61	6.56	3.44				D08	B	6.77	272	37.71	5.30	14.70	2.80	11.20	60
F-50179077-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179077-003S	KANGA-FQS-1	61			6.8	294	1.36	8.64				E08	B	42.98	287	226.90	0.88	19.12	2.80	11.20	61
F-50179139-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179139-003S	SAUSAGE-3253997	62			6.6	41.8	9.57	0.43				F08	B	42.38	276	232.65	0.86	19.14	2.80	11.20	62
F-50179203-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179203-003S	VIXEY-CJS-1	63			7.3	149	2.68	7.32				G08	B	14.35	277	78.49	2.55	17.45	2.80	11.20	63
F-50179267-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179267-003S	HERRERA-2936586	64			6.3	285	1.40	8.60				H08	B	15.76	278	85.89	2.33	17.67	2.80	11.20	64
F-50179103-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179103-003S	MONSTER-1544544	65			6.9	100	4.00	6.00				A09	B	58.32	250	353.45	0.57	19.43	2.80	11.20	65
F-50179176-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179176-003S	INFANTE-2942187	66			6.5	15	26.67	-16.67	135	2.96	7.04	B09	B	28.46	288	149.73	1.34	18.66	2.80	11.20	66
F-50179231-003S	Feces	T-66-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179231-003S	HARD_ROCK-1971702	67			7.3	25	16.00	-6.00	225	1.78	8.22	C09	B	73.28	239	464.56	0.43	19.57	2.80	11.20	67
F-50179079-003S	Feces	P-24-Fasting_or_up_to_1_hour_post_food_offering	105536	F-50179079-003S	ARBY-3730264	68			7.1	21	19.05	-9.05	189	2.12	7.88	D09	B	23.25	239	147.39	1.36	18.64	2.80	11.20	68
