Metagenomics Sample Number	Sequence file names_R1	Sequence file names_R2	Diet Name	Diet Order Group Number	Diet Order Names	Time Point	Phase Day & Time	Animal Name - Tattoo 2	Animal Name	Animal Tattoo	Gender	age (yr)	BW	Location	Breed	Mean(ACT~Body Weight~WEIGH~kg)	Median(ACT~Body Weight~WEIGH~kg)	Min(ACT~Body Weight~WEIGH~kg)	Max(ACT~Body Weight~WEIGH~kg)	Range(ACT~Body Weight~WEIGH~kg)	Std Dev(ACT~Body Weight~WEIGH~kg)	Std Err(ACT~Body Weight~WEIGH~kg)	Ash_Diet	Phosphorus_Diet	Fiber Soluble_Diet	Fiber Total Dietary_Diet	Protein Crude_Diet	Starch_Diet	Sugars - Total_Diet	Total Digestible Carbohydrate_Diet	Fat Crude_Diet	Monounsaturated Fatty Acids_Diet	Omega 3 Sum_Diet	Omega 6 Sum_Diet	Polyunsaturated Fatty Acids_Diet	Mean(Feeding_Info~total_intake_gms (per MBW))	Median(Feeding_Info~total_intake_gms (per MBW))	Min(Feeding_Info~total_intake_gms (per MBW))	Max(Feeding_Info~total_intake_gms (per MBW))	Std Dev(Feeding_Info~total_intake_gms (per MBW))	Std Err(Feeding_Info~total_intake_gms (per MBW))	Diet Metabolizable Energy (per kg as fed)	Mean(Feeding_Info~total_intake_kcal (per MBW))	Protein Crude_Dog Intake (per MBW)	Fat Crude_Dog Intake (per MBW)	Total Digestible Carbohydrate_Dog Intake (per MBW)	Fiber Total Dietary_Dog Intake (per MBW)	Ash_Dog Intake (per MBW)	Phosphorus_Dog Intake (per MBW)	Fiber Insoluble_Dog Intake (per MBW)	Fiber Soluble_Dog Intake (per MBW)	Starch_Dog Intake (per MBW)	Sugars - Total_Dog Intake (per MBW)	Monounsaturated Fatty Acids_Dog Intake (per MBW)	Omega 3 Sum_Dog Intake (per MBW)	Omega 6 Sum_Dog Intake (per MBW)	Polyunsaturated Fatty Acids_Dog Intake (per MBW)	True Protein Digestibility	Apparent Fat Digestibility	Apparent Carbohydrate Digestibility	Apparent Fiber Digestibility	Fecal Bypass True Protein (g per MBW)	Fecal Bypass Fat (g per MBW)	Fecal Bypass Carbohydrate (g per MBW)	Fecal Bypass Fiber (g per MBW)
F-50179271-003S	F-50179271-003S_S93_L002_R1_001.fastq.gz	F-50179271-003S_S93_L002_R2_001.fastq.gz	LoCHO_FAT	1	LoCHO_PROT - LoCHO_FAT	T2	T-69-0hr	GOBLIN-120AB	GOBLIN	120AB	Neutered Male	7.008219178	9.5	B7-52-10	Beagle	9.22	9.2	8.9	9.5	0.6	0.238746728	0.106770783	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	22.94231514	22.91548119	22.1667014	23.47599818	0.254779886	0.043065661	4168.205	95.62827266	7.098352303	7.515902438	1.277886953	3.257808749	1.298535037	0.133065428	2.867789392	0.390019357	1.055346496	0.222540457	2.367646922	0.406078978	0.997990708	1.427012001	86.1	94.2	53	0.6	0.98667097	0.435922341	0.600606868	3.238261897
F-50179114-003S	F-50179114-003S_S24_L002_R1_001.fastq.gz	F-50179114-003S_S24_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	HARD ROCK-1971702	HARD ROCK	1971702	Neutered Male	7.684931507	10.6	B5-24-09	Beagle	9.9	9.9	9.7	10.1	0.4	0.163299316	0.081649658	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	27.34850105	26.87601428	25.38296379	32.68299367	1.74282464	0.313020546	3767.895	103.0462804	6.478859899	4.001085704	10.00955138	2.898941111	1.337341701	0.185969807	2.324622589	0.574318522	9.708717873	0.300833512	1.413917504	0.123068255	0.987280888	1.118553693	89.7	89.8	88	2.3	0.66732257	0.408110742	1.201146166	2.832265465
F-50179231-003S	F-50179231-003S_S94_L002_R1_001.fastq.gz	F-50179231-003S_S94_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	HARD ROCK-1971702	HARD ROCK	1971702	Neutered Male	7.684931507	10.6	B5-24-09	Beagle	10.18	10.1	9.8	10.6	0.8	0.319374388	0.142828569	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	35.29235912	35.38776026	33.84395172	36.28912533	0.562875804	0.096532404	3688.95	130.1917482	17.40266228	5.336204699	2.519874441	4.79976084	3.017496705	0.423508309	4.552714326	0.247046514	2.258710984	0.261163457	1.972842875	0.201166447	1.087004661	1.29522958	94.6	90.4	61	-0.4	0.939743763	0.512275651	0.982751032	4.818959883
F-50179229-003S	F-50179229-003S_S60_L002_R1_001.fastq.gz	F-50179229-003S_S60_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	HARD ROCK-1971702	HARD ROCK	1971702	Neutered Male	7.684931507	10.6	B5-24-09	Beagle	9.66	9.6	9.6	9.8	0.2	0.089442719	0.04	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	22.96424563	22.92407098	22.37825976	23.28794512	0.197996724	0.033467555	4168.205	95.71968347	7.105137599	7.52308687	1.279108482	3.26092288	1.299776303	0.133192625	2.870530704	0.390392176	1.056355299	0.222753183	2.369910149	0.406467148	0.998944685	1.428376078	86.1	94.2	53	0.6	0.987614126	0.436339038	0.601180987	3.241357343
F-50179131-003S	F-50179131-003S_S25_L002_R1_001.fastq.gz	F-50179131-003S_S25_L002_R2_001.fastq.gz	HiCHO	1	LoCHO_PROT - LoCHO_FAT	Prefeed	P-27-0hr	HERRERA-2936586	HERRERA	2936586	Spayed Female	4.216438356	10.5	B7-52-13	Beagle	10.65	10.65	10.6	10.7	0.1	0.057735027	0.028867513	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	33.66982666	34.04478507	30.59431554	35.74702432	1.120633548	0.201271727	3767.895	126.8643715	7.976381936	4.925895641	12.32315656	3.569001626	1.646454524	0.228954821	2.861935266	0.70706636	11.95278847	0.370368093	1.740730038	0.15151422	1.215480743	1.377095911	89.7	89.8	88	2.3	0.821567339	0.502441355	1.478778787	3.486914589
F-50179265-003S	F-50179265-003S_S61_L002_R1_001.fastq.gz	F-50179265-003S_S61_L002_R2_001.fastq.gz	LoCHO_PROT	1	LoCHO_PROT - LoCHO_FAT	T1	T-34-0hr	HERRERA-2936586	HERRERA	2936586	Spayed Female	4.216438356	10.5	B7-52-13	Beagle	11.12	11.2	11	11.2	0.2	0.109544512	0.048989795	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	35.19886712	34.28592306	32.34086811	37.95993535	1.635117521	0.280420341	3688.95	129.8468608	17.35656137	5.322068708	2.513199112	4.787045928	3.009503138	0.422386405	4.540653858	0.24639207	2.252727495	0.260471617	1.967616672	0.200633543	1.084125107	1.291798423	94.6	90.4	61	-0.4	0.937254314	0.510918596	0.980147654	4.806194112
F-50179267-003S	F-50179267-003S_S95_L002_R1_001.fastq.gz	F-50179267-003S_S95_L002_R2_001.fastq.gz	LoCHO_FAT	1	LoCHO_PROT - LoCHO_FAT	T2	T-69-0hr	HERRERA-2936586	HERRERA	2936586	Spayed Female	4.216438356	10.5	B7-52-13	Beagle	10.9	10.8	10.7	11.2	0.5	0.2	0.089442719	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	26.161557	26.13403484	24.83400391	27.04469882	0.463117643	0.078281169	4168.205	109.0467327	8.094385734	8.570526072	1.457198725	3.714941093	1.480744126	0.151737031	3.270194624	0.444746469	1.203431622	0.253767103	2.699872682	0.463059559	1.138027729	1.627248845	86.1	94.2	53	0.6	1.125119617	0.497090512	0.684883401	3.692651446
F-50179101-003S	F-50179101-003S_S26_L002_R1_001.fastq.gz	F-50179101-003S_S26_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	INFANTE-2942187	INFANTE	2942187	Neutered Male	4.2	11.7	B5-23-18	Beagle	10.825	10.85	10.6	11	0.4	0.170782513	0.085391256	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	32.50339024	32.39585843	30.62860482	35.1448656	0.975345061	0.175177144	3767.895	122.4693616	7.700053149	4.755245993	11.89624083	3.445359366	1.589415783	0.221023054	2.762788171	0.682571195	11.53870354	0.357537293	1.680425276	0.146265256	1.173372388	1.329388661	89.7	89.8	88	2.3	0.793105474	0.485035091	1.4275489	3.366116101
F-50179176-003S	F-50179176-003S_S96_L002_R1_001.fastq.gz	F-50179176-003S_S96_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	INFANTE-2942187	INFANTE	2942187	Neutered Male	4.2	11.7	B5-23-18	Beagle	10.28	10.2	10.1	10.5	0.4	0.164316767	0.073484692	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	38.29277315	38.50612874	36.44292322	39.36079238	0.685477735	0.117558462	3688.95	141.2601255	18.88216644	5.789867301	2.734104003	5.207817149	3.274032105	0.459513278	4.939767737	0.268049412	2.450737482	0.283366521	2.140566019	0.218268807	1.179417413	1.405344775	94.6	90.4	61	-0.4	1.019636988	0.555827261	1.066300561	5.228648418
F-50179200-003S	F-50179200-003S_S62_L002_R1_001.fastq.gz	F-50179200-003S_S62_L002_R2_001.fastq.gz	LoCHO_FAT	2	LoCHO_FAT - LoCHO_PROT	T1	T-34-0hr	INFANTE-2942187	INFANTE	2942187	Neutered Male	4.2	11.7	B5-23-18	Beagle	10.34	10.4	10	10.5	0.5	0.207364414	0.092736185	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	27.79232625	27.65471619	26.23007042	30.05292203	0.668978412	0.11307799	4168.205	115.8441132	8.598945743	9.10476608	1.548032572	3.946510328	1.573045666	0.161195492	3.474040782	0.472469546	1.278447008	0.269585565	2.868168069	0.491924175	1.208966192	1.728682693	86.1	94.2	53	0.6	1.195253458	0.528076433	0.727575309	3.922831266
F-50179077-003S	F-50179077-003S_S27_L002_R1_001.fastq.gz	F-50179077-003S_S27_L002_R2_001.fastq.gz	HiCHO	1	LoCHO_PROT - LoCHO_FAT	Prefeed	P-27-0hr	KANGA-FQS-1	KANGA	FQS-1	Spayed Female	8.164383562	11.7	B7-62-14	Beagle	11.475	11.45	11.3	11.7	0.4	0.170782513	0.085391256	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	28.88958357	29.10589996	27.34681211	30.17894903	0.809582372	0.145405286	3767.895	108.8529175	6.843942349	4.226546077	10.57358759	3.062295859	1.412700637	0.196449168	2.455614604	0.606681255	10.25580217	0.317785419	1.493591471	0.130003126	1.042913967	1.181583968	89.7	89.8	88	2.3	0.704926062	0.4311077	1.268830511	2.991863054
F-50179173-003S	F-50179173-003S_S63_L002_R1_001.fastq.gz	F-50179173-003S_S63_L002_R2_001.fastq.gz	LoCHO_PROT	1	LoCHO_PROT - LoCHO_FAT	T1	T-34-0hr	KANGA-FQS-1	KANGA	FQS-1	Spayed Female	8.164383562	11.7	B7-62-14	Beagle	11.6	11.6	11.5	11.8	0.3	0.122474487	0.054772256	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	31.89982814	32.08955896	29.94458001	32.98707745	0.62307253	0.106856057	3688.95	117.676871	15.72980526	4.823254015	2.277647729	4.338376627	2.727435306	0.382797938	4.11507783	0.223298797	2.041589001	0.236058728	1.783200393	0.18182902	0.982514707	1.170723693	94.6	90.4	61	-0.4	0.849409484	0.463032385	0.888282614	4.355730134
F-50179151-003S	F-50179151-003S_S97_L002_R1_001.fastq.gz	F-50179151-003S_S97_L002_R2_001.fastq.gz	LoCHO_FAT	1	LoCHO_PROT - LoCHO_FAT	T2	T-69-0hr	KANGA-FQS-1	KANGA	FQS-1	Spayed Female	8.164383562	11.7	B7-62-14	Beagle	11.28	11.2	11.1	11.5	0.4	0.164316767	0.073484692	5.66	0.58	1.7	14.2	30.94	4.6	0.97	5.57	32.76	10.32	1.77	4.35	6.22	25.20861641	25.15933725	24.66399538	25.78116247	0.229198144	0.038741557	4168.205	105.074681	7.799545916	8.258342735	1.404119934	3.57962353	1.426807689	0.146209975	3.151077051	0.428546479	1.159596355	0.244523579	2.601529213	0.44619251	1.096574814	1.567975941	86.1	94.2	53	0.6	1.084136882	0.478983879	0.659936369	3.558145789
F-50179097-003S	F-50179097-003S_S28_L002_R1_001.fastq.gz	F-50179097-003S_S28_L002_R2_001.fastq.gz	HiCHO	2	LoCHO_FAT - LoCHO_PROT	Prefeed	P-27-0hr	LEEPER-088AB	LEEPER	088AB	Neutered Male	11.19178082	11.3	B5-21-13	Beagle	9.725	9.75	9.4	10	0.6	0.25	0.125	4.89	0.68	2.1	10.6	23.69	35.5	1.1	36.6	14.63	5.17	0.45	3.61	4.09	19.91349103	18.19370712	16.73821055	35.06612862	5.164115063	0.927502446	3767.895	75.03194328	4.717506025	2.913343738	7.288337717	2.110830049	0.973769711	0.135411739	1.692646737	0.418183312	7.069289315	0.219048401	1.029527486	0.08961071	0.718877026	0.814461783	89.7	89.8	88	2.3	0.485903121	0.297161061	0.874600526	2.062280958
F-50179194-003S	F-50179194-003S_S98_L002_R1_001.fastq.gz	F-50179194-003S_S98_L002_R2_001.fastq.gz	LoCHO_PROT	2	LoCHO_FAT - LoCHO_PROT	T2	T-69-0hr	LEEPER-088AB	LEEPER	088AB	Neutered Male	11.19178082	11.3	B5-21-13	Beagle	9.96	9.8	9.3	10.6	1.3	0.531977443	0.237907545	8.55	1.2	0.7	13.6	49.31	6.4	0.74	7.14	15.12	5.59	0.57	3.08	3.67	40.01863379	40.39002982	36.95206974	42.60812726	1.843884346	0.316223557	3688.95	147.6267391	19.73318832	6.050817429	2.857330453	5.442534195	3.421593189	0.480223605	5.162403758	0.280130437	2.561192563	0.29613789	2.237041629	0.228106213	1.232573921	1.46868386	94.6	90.4	61	-0.4	1.065592169	0.580878473	1.114358877	5.464304332
