mrna_F.50179058.003S 3662021.45
mrna_F.50179060.003S 4275924.53
mrna_F.50179062.003S 4187562.76
mrna_F.50179066.003S 3854660.58
mrna_F.50179064.003S 3579896.59
mrna_F.50179068.003S 3587719.24
mrna_F.50179071.003S 4563850.51
mrna_F.50179073.003S 2889037.24
mrna_F.50179075.003S 2500973.36
mrna_F.50179077.003S 1321656.48
mrna_F.50179079.003S 1337261.79
mrna_F.50179081.003S 3833629.1
mrna_F.50179083.003S 7408843.15
mrna_F.50179085.003S 3081827.13
mrna_F.50179087.003S 3452085.62
mrna_F.50179089.003S 2786979.26
mrna_F.50179091.003S 3961894.32
mrna_F.50179093.003S 3964831.85
mrna_F.50179095.003S 2782239.22
mrna_F.50179097.003S 4102328.97
mrna_F.50179099.003S 5118477.75
mrna_F.50179101.003S 4636364.51
mrna_F.50179103.003S 2091726.53
mrna_F.50179105.003S 2212082.43
mrna_F.50179106.003S 3185290.56
mrna_F.50179108.003S 2308001.86
mrna_F.50179110.003S 3145978.99
mrna_F.50179112.003S 3790857.46
mrna_F.50179114.003S 3700700.57
mrna_F.50179116.003S 3372357.11
mrna_F.50179118.003S 4401844.49
mrna_F.50179120.003S 3516534.5
mrna_F.50179122.003S 3402976.23
mrna_F.50179123.003S 5305968
mrna_F.50179125.003S 3667491.53
mrna_F.50179127.003S 3391709.84
mrna_F.50179129.003S 3480169.67
mrna_F.50179131.003S 3864916.95
mrna_F.50179133.003S 4102737.58
mrna_F.50179135.003S 4281086.15
mrna_F.50179137.003S 3271198.81
mrna_F.50179139.003S 2802693
mrna_F.50179141.003S 4431723.67
mrna_F.50179143.003S 2396062.94
mrna_F.50179145.003S 4272699.55
mrna_F.50179147.003S 3076122.53
mrna_F.50179149.003S 2001039.46
mrna_F.50179151.003S 3809389.77
mrna_F.50179153.003S 3288511.51
mrna_F.50179155.003S 4087309.2
mrna_F.50179157.003S 1406468.3
mrna_F.50179159.003S 3365619.28
mrna_F.50179161.003S 4865434.79
mrna_F.50179163.003S 4474605.56
mrna_F.50179165.003S 1212042.51
mrna_F.50179167.003S 3938875.71
mrna_F.50179169.003S 3333636.25
mrna_F.50179171.003S 3878061.55
mrna_F.50179173.003S 1407517.74
mrna_F.50179176.003S 3656171.61
mrna_F.50179182.003S 3531820.35
mrna_F.50179184.003S 7516485.61
mrna_F.50179186.003S 2405073.6
mrna_F.50179188.003S 3482297.83
mrna_F.50179190.003S 3189202.96
mrna_F.50179192.003S 3753828.62
mrna_F.50179194.003S 3764805.36
mrna_F.50179196.003S 4122615.57
mrna_F.50179198.003S 3514333.59
mrna_F.50179200.003S 1750653.43
mrna_F.50179201.003S 5316303.62
mrna_F.50179203.003S 1917521.44
mrna_F.50179205.003S 5110273.81
mrna_F.50179207.003S 4014577.05
mrna_F.50179209.003S 4369822.66
mrna_F.50179211.003S 4541026.74
mrna_F.50179213.003S 3564001.96
mrna_F.50179215.003S 3135406.29
mrna_F.50179217.003S 2160472.99
mrna_F.50179219.003S 4628681.58
mrna_F.50179221.003S 2818932.88
mrna_F.50179223.003S 3396037.25
mrna_F.50179225.003S 1911962.62
mrna_F.50179227.003S 3622941.56
mrna_F.50179229.003S 3100680.4
mrna_F.50179231.003S 1664045.17
mrna_F.50179233.003S 3860231.01
mrna_F.50179235.003S 3651106.28
mrna_F.50179237.003S 3082214.52
mrna_F.50179239.003S 4367304.83
mrna_F.50179241.003S 3443646.44
mrna_F.50179243.003S 3497718.71
mrna_F.50179245.003S 3118683.27
mrna_F.50179247.003S 4305323.19
mrna_F.50179249.003S 4317192.31
mrna_F.50179251.003S 4445345.26
mrna_F.50179253.003S 3836873.77
mrna_F.50179255.003S 4321190.65
mrna_F.50179257.003S 4114515.8
mrna_F.50179259.003S 1893342.54
mrna_F.50179261.003S 3393363.19
mrna_F.50179263.003S 1318930.21
mrna_F.50179265.003S 4364580.82
mrna_F.50179267.003S 3448172.84
mrna_F.50179269.003S 4380554.43
mrna_F.50179271.003S 3834880.31
