"genes","cluster"
"K00036",11
"K00055",11
"K00252",11
"K00340",11
"K00363",11
"K00371",11
"K00433",11
"K00452",11
"K00528",11
"K00656",11
"K00689",11
"K00712",11
"K00758",11
"K00759",11
"K00789",11
"K00917",11
"K00925",11
"K00945",11
"K00948",11
"K00954",11
"K01000",11
"K01005",11
"K01025",11
"K01049",11
"K01077",11
"K01169",11
"K01299",11
"K01358",11
"K01366",11
"K01387",11
"K01390",11
"K01518",11
"K01537",11
"K01588",11
"K01604",11
"K01644",11
"K01658",11
"K01659",11
"K01751",11
"K01760",11
"K01774",11
"K01821",11
"K01846",11
"K01878",11
"K01879",11
"K01887",11
"K01892",11
"K01911",11
"K01923",11
"K01925",11
"K01939",11
"K01962",11
"K01966",11
"K02013",11
"K02018",11
"K02035",11
"K02042",11
"K02147",11
"K02169",11
"K02195",11
"K02221",11
"K02225",11
"K02313",11
"K02318",11
"K02340",11
"K02341",11
"K02343",11
"K02348",11
"K02355",11
"K02357",11
"K02372",11
"K02460",11
"K02472",11
"K02521",11
"K02572",11
"K02687",11
"K02733",11
"K02742",11
"K02791",11
"K02805",11
"K02825",11
"K02835",11
"K02837",11
"K02838",11
"K02855",11
"K02859",11
"K02860",11
"K02863",11
"K02867",11
"K02878",11
"K02884",11
"K02886",11
"K02888",11
"K02892",11
"K02895",11
"K02904",11
"K02906",11
"K02911",11
"K02914",11
"K02919",11
"K02931",11
"K02933",11
"K02946",11
"K02950",11
"K02954",11
"K02956",11
"K02959",11
"K02965",11
"K02967",11
"K02968",11
"K02970",11
"K02982",11
"K02986",11
"K02992",11
"K02994",11
"K03040",11
"K03090",11
"K03101",11
"K03106",11
"K03111",11
"K03116",11
"K03118",11
"K03119",11
"K03151",11
"K03152",11
"K03168",11
"K03177",11
"K03217",11
"K03297",11
"K03319",11
"K03324",11
"K03387",11
"K03435",11
"K03488",11
"K03524",11
"K03536",11
"K03544",11
"K03565",11
"K03566",11
"K03569",11
"K03588",11
"K03609",11
"K03621",11
"K03630",11
"K03656",11
"K03672",11
"K03675",11
"K03688",11
"K03725",11
"K03774",11
"K03853",11
"K03893",11
"K04031",11
"K04034",11
"K04042",11
"K04072",11
"K04093",11
"K04108",11
"K04369",11
"K04392",11
"K04486",11
