"genes","cluster"
"K00022",9
"K00040",9
"K00078",9
"K00106",9
"K00107",9
"K00116",9
"K00266",9
"K00290",9
"K00326",9
"K00327",9
"K00334",9
"K00385",9
"K00412",9
"K00415",9
"K00419",9
"K00484",9
"K00551",9
"K00574",9
"K00586",9
"K00598",9
"K00609",9
"K00624",9
"K00654",9
"K00658",9
"K00667",9
"K00698",9
"K00764",9
"K00815",9
"K00818",9
"K00825",9
"K00840",9
"K00880",9
"K00888",9
"K00900",9
"K00916",9
"K00921",9
"K00931",9
"K01093",9
"K01111",9
"K01120",9
"K01197",9
"K01200",9
"K01222",9
"K01223",9
"K01232",9
"K01247",9
"K01252",9
"K01341",9
"K01381",9
"K01486",9
"K01490",9
"K01500",9
"K01526",9
"K01535",9
"K01549",9
"K01577",9
"K01616",9
"K01641",9
"K01669",9
"K01689",9
"K01702",9
"K01758",9
"K01766",9
"K01788",9
"K01792",9
"K01803",9
"K01852",9
"K01868",9
"K01900",9
"K01995",9
"K02034",9
"K02050",9
"K02051",9
"K02111",9
"K02114",9
"K02141",9
"K02142",9
"K02153",9
"K02154",9
"K02155",9
"K02173",9
"K02210",9
"K02212",9
"K02218",9
"K02245",9
"K02257",9
"K02258",9
"K02266",9
"K02283",9
"K02297",9
"K02332",9
"K02502",9
"K02528",9
"K02530",9
"K02537",9
"K02603",9
"K02684",9
"K02729",9
"K02734",9
"K02738",9
"K02750",9
"K02761",9
"K02782",9
"K02794",9
"K02796",9
"K02810",9
"K02819",9
"K02858",9
"K02875",9
"K02877",9
"K02880",9
"K02891",9
"K02893",9
"K02912",9
"K02923",9
"K02927",9
"K02938",9
"K02947",9
"K02949",9
"K02951",9
"K02955",9
"K02974",9
"K02989",9
"K02998",9
"K02999",9
"K03014",9
"K03031",9
"K03035",9
"K03038",9
"K03046",9
"K03062",9
"K03066",9
"K03077",9
"K03099",9
"K03112",9
"K03136",9
"K03139",9
"K03145",9
"K03146",9
"K03165",9
"K03185",9
"K03245",9
"K03255",9
"K03256",9
"K03258",9
"K03280",9
"K03283",9
"K03290",9
"K03441",9
"K03444",9
"K03448",9
"K03486",9
"K03492",9
"K03514",9
"K03531",9
"K03545",9
"K03627",9
"K03681",9
"K03704",9
"K03802",9
"K03809",9
"K03856",9
"K03868",9
"K03883",9
"K03982",9
"K04014",9
"K04015",9
"K04025",9
"K04068",9
"K04459",9
"K04482",9
"K04523",9
"K04569",9
"K04708",9
"K04713",9
"K04794",9
"K04835",9
"K05012",9
"K05030",9
"K05577",9
"K05643",9
"K05687",9
"K05796",9
"K05816",9
"K05827",9
"K05992",9
"K06027",9
"K06123",9
"K06134",9
"K06141",9
"K06155",9
"K06240",9
"K06269",9
"K06276",9
"K06331",9
"K06387",9
"K06394",9
"K06395",9
"K06436",9
"K06563",9
"K06630",9
"K06657",9
"K06666",9
"K06676",9
"K06681",9
"K06683",9
"K06687",9
"K06718",9
"K06859",9
"K06902",9
"K07005",9
"K07030",9
"K07106",9
"K07126",9
"K07180",9
"K07197",9
"K07203",9
"K07204",9
"K07284",9
"K07300",9
"K07393",9
"K07403",9
"K07450",9
"K07466",9
"K07491",9
"K07508",9
"K07512",9
"K07565",9
"K07663",9
"K07665",9
"K07675",9
"K07678",9
"K07686",9
"K07749",9
"K07750",9
"K07897",9
"K07905",9
"K07953",9
"K08157",9
"K08266",9
"K08267",9
"K08287",9
"K08288",9
"K08304",9
"K08309",9
"K08313",9
"K08314",9
"K08330",9
"K08333",9
"K08483",9
"K08643",9
"K08724",9
"K08738",9
"K08787",9
"K08832",9
"K08853",9
"K08884",9
"K08963",9
"K08984",9
"K08996",9
"K09014",9
"K09017",9
"K09020",9
"K09023",9
"K09138",9
"K09240",9
"K09313",9
"K09424",9
"K09464",9
"K09468",9
"K09470",9
"K09497",9
"K09498",9
"K09697",9
"K09786",9
"K09831",9
"K09915",9
"K09935",9
"K10013",9
"K10015",9
"K10038",9
"K10056",9
"K10108",9
"K10112",9
"K10236",9
"K10355",9
"K10389",9
"K10418",9
"K10520",9
"K10548",9
"K10576",9
"K10589",9
"K10677",9
"K10678",9
"K10752",9
"K10780",9
"K10808",9
"K10841",9
"K10846",9
"K10875",9
"K10956",9
"K10976",9
"K11074",9
"K11131",9
"K11144",9
"K11155",9
"K11253",9
"K11263",9
"K11304",9
"K11333",9
"K11338",9
"K11373",9
"K11407",9
"K11635",9
"K11684",9
"K11717",9
"K11746",9
"K11766",9
"K11771",9
"K11843",9
"K11849",9
"K11883",9
"K11886",9
"K11942",9
"K11951",9
"K12138",9
"K12200",9
"K12232",9
"K12236",9
"K12354",9
"K12372",9
"K12562",9
"K12582",9
"K12584",9
"K12598",9
"K12605",9
"K12606",9
"K12614",9
"K12734",9
"K12837",9
"K12854",9
"K12867",9
"K12882",9
"K12946",9
"K12975",9
"K13005",9
"K13024",9
"K13026",9
"K13052",9
"K13289",9
"K13519",9
"K13525",9
"K13678",9
"K13811",9
"K13936",9
"K13983",9
"K13989",9
"K13996",9
"K14004",9
"K14052",9
"K14261",9
"K14287",9
"K14310",9
"K14315",9
"K14400",9
"K14402",9
"K14439",9
"K14441",9
"K14533",9
"K14537",9
"K14538",9
"K14568",9
"K14642",9
"K14651",9
"K14674",9
"K14682",9
"K14717",9
"K14762",9
"K14764",9
"K14766",9
"K14816",9
"K14832",9
"K15072",9
"K15102",9
"K15201",9
"K15206",9
"K15292",9
"K15322",9
"K15325",9
"K15423",9
"K15436",9
"K15458",9
"K15543",9
"K15562",9
"K15724",9
"K15728",9
"K15739",9
"K15777",9
"K15780",9
"K16055",9
"K16091",9
"K16202",9
"K16213",9
"K16280",9
"K16435",9
"K16938",9
"K17236",9
"K17255",9
"K17319",9
"K17430",9
"K17550",9
"K17675",9
"K17741",9
"K17757",9
"K17769",9
"K17784",9
"K17785",9
"K17850",9
"K17887",9
"K17917",9
"K17970",9
"K17979",9
"K18016",9
"K18097",9
"K18187",9
"K18192",9
"K18206",9
"K18258",9
"K18333",9
"K18334",9
"K18423",9
"K18552",9
"K18581",9
"K18584",9
"K18606",9
"K18637",9
"K18638",9
"K18664",9
"K18682",9
"K18692",9
"K18719",9
"K18737",9
"K18752",9
"K18816",9
"K18888",9
"K19177",9
"K19226",9
"K19227",9
"K19386",9
"K19428",9
"K19525",9
"K19564",9
"K19603",9
"K19611",9
"K19792",9
"K19842",9
"K19844",9
"K19877",9
"K19985",9
"K20025",9
"K20026",9
"K20042",9
"K20059",9
"K20120",9
"K20121",9
"K20131",9
"K20180",9
"K20207",9
"K20223",9
"K20265",9
"K20279",9
"K20353",9
"K20404",9
"K20452",9
"K20471",9
"K20472",9
"K20521",9
"K20609",9
"K20615",9
"K20678",9
"K20930",9
"K20967",9
"K21468",9
"K21478",9
"K21493",9
"K21528",9
"K21591",9
"K21646",9
"K21742",9
"K21804",9
"K21906",9
"K21961",9
"K21989",9
"K21990",9
"K22007",9
"K22026",9
"K22051",9
"K22069",9
"K22106",9
"K22231",9
"K22382",9
"K22605",9
"K22645",9
"K22646",9
"K22825",9
"K22834",9
"K22842",9
"K22916",9
"K22940",9
"K22943",9
"K23181",9
"K23186",9
"K23259",9
"K23358",9
"K23398",9
"K23536",9
"K23719",9
"K24029",9
"K24104",9
"K24205",9
"K24348",9
"K24456",9
"K24611",9
"K24758",9
"K24814",9
"K25288",9
"K25289",9
"K25829",9
"K26113",9
"K26403",9
"K26602",9
"K26750",9
"K26931",9
"K27043",9
"K27165",9
"K27266",9
"K27385",9
"K27474",9
"K27537",9
"K27691",9
"K27699",9
