"genes","cluster"
"K00014",8
"K00019",8
"K00029",8
"K00031",8
"K00042",8
"K00065",8
"K00068",8
"K00073",8
"K00081",8
"K00085",8
"K00093",8
"K00098",8
"K00140",8
"K00169",8
"K00172",8
"K00174",8
"K00175",8
"K00177",8
"K00180",8
"K00184",8
"K00186",8
"K00187",8
"K00188",8
"K00207",8
"K00208",8
"K00220",8
"K00230",8
"K00233",8
"K00234",8
"K00239",8
"K00240",8
"K00261",8
"K00262",8
"K00281",8
"K00295",8
"K00332",8
"K00339",8
"K00346",8
"K00347",8
"K00348",8
"K00394",8
"K00459",8
"K00483",8
"K00522",8
"K00533",8
"K00548",8
"K00575",8
"K00605",8
"K00618",8
"K00634",8
"K00639",8
"K00648",8
"K00653",8
"K00666",8
"K00669",8
"K00675",8
"K00683",8
"K00684",8
"K00693",8
"K00704",8
"K00721",8
"K00748",8
"K00753",8
"K00767",8
"K00768",8
"K00793",8
"K00796",8
"K00810",8
"K00812",8
"K00819",8
"K00824",8
"K00839",8
"K00846",8
"K00860",8
"K00875",8
"K00898",8
"K00899",8
"K00929",8
"K00940",8
"K00951",8
"K00952",8
"K00970",8
"K00978",8
"K00979",8
"K00994",8
"K01008",8
"K01011",8
"K01012",8
"K01027",8
"K01034",8
"K01035",8
"K01039",8
"K01040",8
"K01043",8
"K01054",8
"K01055",8
"K01057",8
"K01060",8
"K01066",8
"K01090",8
"K01102",8
"K01103",8
"K01133",8
"K01135",8
"K01136",8
"K01143",8
"K01147",8
"K01155",8
"K01159",8
"K01174",8
"K01177",8
"K01179",8
"K01186",8
"K01188",8
"K01212",8
"K01241",8
"K01259",8
"K01262",8
"K01266",8
"K01277",8
"K01280",8
"K01282",8
"K01302",8
"K01305",8
"K01371",8
"K01426",8
"K01436",8
"K01438",8
"K01440",8
"K01448",8
"K01449",8
"K01451",8
"K01468",8
"K01474",8
"K01480",8
"K01489",8
"K01513",8
"K01547",8
"K01563",8
"K01566",8
"K01573",8
"K01579",8
"K01584",8
"K01585",8
"K01590",8
"K01596",8
"K01599",8
"K01610",8
"K01615",8
"K01619",8
"K01627",8
"K01629",8
"K01630",8
"K01639",8
"K01640",8
"K01666",8
"K01676",8
"K01682",8
"K01685",8
"K01690",8
"K01703",8
"K01711",8
"K01714",8
"K01716",8
"K01719",8
"K01728",8
"K01730",8
"K01737",8
"K01744",8
"K01752",8
"K01753",8
"K01759",8
"K01768",8
"K01771",8
"K01779",8
"K01787",8
"K01796",8
"K01808",8
"K01815",8
"K01874",8
"K01913",8
"K01918",8
"K01932",8
"K01948",8
"K01951",8
"K01952",8
"K01958",8
"K01959",8
"K01961",8
"K01968",8
"K02007",8
"K02008",8
"K02009",8
"K02017",8
"K02019",8
"K02047",8
"K02083",8
"K02099",8
"K02117",8
"K02118",8
"K02121",8
"K02122",8
"K02124",8
"K02168",8
"K02170",8
"K02182",8
"K02190",8
"K02191",8
"K02204",8
"K02217",8
"K02224",8
