"genes","cluster"
"K00002",2
"K00003",2
"K00033",2
"K00083",2
"K00087",2
"K00094",2
"K00133",2
"K00135",2
"K00162",2
"K00164",2
"K00226",2
"K00231",2
"K00245",2
"K00254",2
"K00382",2
"K00383",2
"K00384",2
"K00441",2
"K00547",2
"K00549",2
"K00557",2
"K00563",2
"K00564",2
"K00600",2
"K00615",2
"K00616",2
"K00621",2
"K00661",2
"K00687",2
"K00756",2
"K00771",2
"K00773",2
"K00787",2
"K00790",2
"K00802",2
"K00841",2
"K00850",2
"K00858",2
"K00872",2
"K00878",2
"K00886",2
"K00897",2
"K00903",2
"K00936",2
"K00963",2
"K00989",2
"K00991",2
"K01048",2
"K01061",2
"K01068",2
"K01081",2
"K01182",2
"K01224",2
"K01237",2
"K01347",2
"K01354",2
"K01422",2
"K01460",2
"K01473",2
"K01493",2
"K01494",2
"K01523",2
"K01524",2
"K01552",2
"K01589",2
"K01621",2
"K01626",2
"K01635",2
"K01693",2
"K01739",2
"K01754",2
"K01755",2
"K01775",2
"K01778",2
"K01785",2
"K01804",2
"K01807",2
"K01839",2
"K01854",2
"K01872",2
"K01876",2
"K01903",2
"K01916",2
"K01919",2
"K01921",2
"K01928",2
"K01929",2
"K01937",2
"K01955",2
"K01956",2
"K01972",2
"K01990",2
"K02020",2
"K02024",2
"K02029",2
"K02030",2
"K02068",2
"K02081",2
"K02086",2
"K02100",2
"K02103",2
"K02149",2
"K02240",2
"K02241",2
"K02242",2
"K02335",2
"K02430",2
"K02433",2
"K02435",2
"K02440",2
"K02469",2
"K02481",2
"K02485",2
"K02503",2
"K02518",2
"K02550",2
"K02575",2
"K02622",2
"K02760",2
"K02770",2
"K02784",2
"K02840",2
"K02873",2
"K02897",2
"K02909",2
"K02952",2
"K03048",2
"K03070",2
"K03079",2
"K03095",2
"K03153",2
"K03198",2
"K03205",2
"K03212",2
"K03216",2
"K03218",2
"K03292",2
"K03293",2
"K03294",2
"K03322",2
"K03366",2
"K03367",2
"K03378",2
"K03392",2
"K03437",2
"K03439",2
"K03449",2
"K03466",2
"K03477",2
"K03484",2
"K03487",2
"K03489",2
"K03495",2
"K03501",2
"K03549",2
"K03570",2
"K03580",2
"K03587",2
"K03596",2
"K03604",2
"K03606",2
"K03650",2
"K03657",2
"K03667",2
"K03684",2
"K03696",2
"K03711",2
"K03727",2
"K03759",2
"K03763",2
"K03788",2
"K03799",2
"K03819",2
"K03955",2
"K03975",2
"K03976",2
"K03977",2
"K04018",2
"K04047",2
"K04078",2
"K04094",2
"K04479",2
"K04517",2
"K04749",2
"K05016",2
"K05275",2
"K05340",2
"K05343",2
"K05346",2
"K05350",2
"K05366",2
"K05635",2
"K05636",2
"K05699",2
"K05785",2
"K05808",2
"K05810",2
"K05875",2
"K05925",2
"K05985",2
"K06019",2
"K06037",2
"K06039",2
"K06067",2
"K06113",2
"K06117",2
"K06162",2
"K06164",2
"K06207",2
"K06208",2
"K06221",2
"K06243",2
"K06287",2
"K06291",2
"K06384",2
"K06415",2
"K06442",2
"K06519",2
"K06595",2
"K06607",2
"K06617",2
"K06726",2
"K06877",2
"K06885",2
"K06889",2
"K06890",2
"K06919",2
"K06928",2
"K06948",2
"K06950",2
"K06959",2
"K06999",2
"K07006",2
"K07010",2
"K07025",2
"K07046",2
"K07052",2
"K07078",2
"K07121",2
"K07124",2
"K07177",2
"K07217",2
"K07223",2
"K07254",2
"K07286",2
"K07319",2
"K07386",2
"K07407",2
"K07442",2
"K07443",2
"K07448",2
"K07503",2
"K07574",2
"K07641",2
"K07672",2
"K07681",2
"K07682",2
"K07685",2
"K07690",2
"K07693",2
"K07729",2
"K07736",2
"K07741",2
"K07778",2
"K08153",2
"K08161",2
"K08191",2
"K08194",2
"K08256",2
"K08277",2
"K08317",2
"K08319",2
"K08372",2
"K08482",2
"K08493",2
"K08635",2
"K08716",2
"K08728",2
"K08819",2
"K08867",2
"K08969",2
"K08986",2
"K09016",2
"K09118",2
"K09125",2
"K09384",2
"K09472",2
"K09569",2
"K09571",2
"K09693",2
"K09772",2
"K09781",2
"K09809",2
"K09866",2
"K09923",2
"K09930",2
"K09934",2
"K09963",2
"K09974",2
"K09976",2
"K09999",2
"K10006",2
"K10007",2
"K10008",2
"K10109",2
"K10199",2
"K10226",2
"K10237",2
"K10353",2
"K10680",2
"K10729",2
"K10914",2
"K11392",2
"K11479",2
"K11618",2
"K11695",2
"K11727",2
"K11732",2
"K11733",2
"K11734",2
"K11736",2
"K11737",2
"K11741",2
"K11743",2
"K11749",2
"K11907",2
"K11992",2
"K12132",2
"K12234",2
"K12430",2
"K12453",2
"K12507",2
"K12536",2
"K12687",2
"K12733",2
"K12835",2
"K12858",2
"K12952",2
"K12990",2
"K12992",2
"K13127",2
"K13244",2
"K13256",2
"K13288",2
"K13381",2
"K13527",2
"K13571",2
"K13635",2
"K13799",2
"K13829",2
"K13830",2
"K13891",2
"K13929",2
"K13947",2
"K13950",2
"K13953",2
"K13955",2
"K14000",2
"K14118",2
"K14194",2
"K14254",2
"K14472",2
"K14574",2
"K14696",2
"K14697",2
"K14768",2
"K14779",2
"K14836",2
"K15051",2
"K15138",2
"K15333",2
"K15545",2
"K15578",2
"K15598",2
"K15743",2
"K15770",2
"K15771",2
"K15772",2
"K16012",2
"K16147",2
"K16169",2
"K16177",2
"K16209",2
"K16560",2
"K16622",2
"K16650",2
"K16789",2
"K16911",2
"K16925",2
"K16959",2
"K17234",2
"K17278",2
"K17298",2
"K17623",2
"K17662",2
"K17759",2
"K17883",2
"K17922",2
"K17969",2
"K18052",2
"K18173",2
"K18205",2
"K18259",2
"K18530",2
"K18694",2
"K18788",2
"K18914",2
"K18926",2
"K19003",2
"K19005",2
"K19088",2
"K19089",2
"K19092",2
"K19124",2
"K19125",2
"K19166",2
"K19223",2
"K19285",2
"K19337",2
"K19360",2
"K19420",2
"K19431",2
"K19569",2
"K19610",2
"K19632",2
"K19639",2
"K19648",2
"K19824",2
"K19849",2
"K19971",2
"K19975",2
"K20023",2
"K20048",2
"K20084",2
"K20138",2
"K20260",2
"K20359",2
"K20498",2
"K20533",2
"K20772",2
"K20814",2
"K20861",2
"K21053",2
"K21247",2
"K21405",2
"K21449",2
"K21571",2
"K21575",2
"K21685",2
"K21688",2
"K21739",2
"K21757",2
"K21903",2
"K21996",2
"K22010",2
"K22014",2
"K22073",2
"K22144",2
"K22212",2
"K22223",2
"K22299",2
"K22306",2
"K22394",2
"K22718",2
"K22736",2
"K22969",2
"K23233",2
"K23304",2
"K23373",2
