##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	F-50179271-003S_S30_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1103	20-24	-0.24145287976914176
1103	25-29	-0.23751913467454244
1103	30-34	-0.29611157776526653
1103	35-39	-0.213798016168532
1103	40-44	-0.4270698705395475
1103	45-49	-0.342459617052036
1103	50-54	-0.4056428824465641
1103	55-59	-0.3315378358415444
1103	60-64	-0.3799224574743221
1103	65-69	-0.4410960832587918
1103	70-74	-0.5262020152351568
1103	75-79	-0.46843608134385306
1103	80-84	-0.5003925590046663
1103	85-89	-0.5357446008205358
1103	90-94	-0.5207696250696188
1103	95-99	-0.517988844463602
1103	100-104	-0.3543881415483625
1103	105-109	-0.5647173694860044
1103	110-114	-0.581178815785627
1103	115-119	-0.6903903139865193
1103	120-124	-0.6795830882303164
1103	125-129	-0.7048961065447443
1103	130-134	-0.47411352636435566
1103	135-139	-0.7716386133758419
1103	140-144	-0.8439842678715905
1103	145-149	-0.8080653065635559
1103	150-151	-0.9183002890349741
1104	1	-0.16320245504304864
1104	2	-0.12621642075939832
1104	3	-0.1106006282920049
1104	4	-0.1527470054116833
1104	5	-0.08219649384042782
1104	6	-0.11093263789217644
1104	7	-0.34577711559381186
1104	8	-0.052939025390507766
1104	9	-0.14891841732136868
1104	10-14	-0.14758009243450942
1104	15-19	-0.11065943941912337
1104	20-24	-0.16369674185043692
1104	25-29	-0.11633232132391669
1104	30-34	-0.17801759610927803
1104	35-39	-0.02967604692867809
1104	40-44	-0.09738806719545323
1104	45-49	-0.10993907201659425
1104	50-54	-0.06830966380950798
1104	55-59	0.05667402893050166
1104	60-64	-0.21495860281817158
1104	65-69	-0.17420845110221705
1104	70-74	-0.2051673484598595
1104	75-79	-0.17957050800798413
1104	80-84	-0.16433287017571274
1104	85-89	-0.13580161109680233
1104	90-94	-0.2866272008220321
1104	95-99	-0.19469815817007685
1104	100-104	0.011984413076078226
1104	105-109	-0.2612136273678658
1104	110-114	-0.3534470593125505
1104	115-119	-0.3519691960280227
1104	120-124	-0.3539380197519151
1104	125-129	-0.3332045196109803
1104	130-134	-0.23072169011136623
1104	135-139	-0.5299028673195707
1104	140-144	-0.7959052518415035
1104	145-149	-0.8209782528333918
1104	150-151	-0.7322828977179512
1105	1	-0.11883980721005116
1105	2	-0.3313078764003947
1105	3	-0.2467160688721961
1105	4	-0.19517567461276997
1105	5	-0.19822984385260156
1105	6	-0.1256460589907178
1105	7	-0.14819612257016956
1105	8	0.009363153019400272
1105	9	-0.09726922509486258
1105	10-14	0.061441281403489256
1105	15-19	-0.04237649727169668
1105	20-24	-0.042125556751734905
1105	25-29	-0.0786099224082335
1105	30-34	-0.03653133889855553
1105	35-39	-0.0620955407372179
1105	40-44	-0.08017788801087278
1105	45-49	-0.1059588750606153
1105	50-54	-0.1730857039298499
1105	55-59	-0.07932601630955105
1105	60-64	-0.2581342467728831
1105	65-69	-0.1729607023933113
1105	70-74	-0.44863029774430885
1105	75-79	-0.2999270989238525
1105	80-84	-0.19872196208675064
1105	85-89	-0.13444051044180583
1105	90-94	-0.2508264744363018
1105	95-99	-0.2935665655631752
1105	100-104	-0.09310153739226479
1105	105-109	-0.9029906030834383
1105	110-114	-0.47679147165186464
1105	115-119	-0.4354671112129296
1105	120-124	-0.4928494827410006
1105	125-129	-0.3619635438272155
1105	130-134	-0.12212066756872275
1105	135-139	-0.3779881275892265
1105	140-144	-0.30722356817307883
1105	145-149	-0.43343378247111275
