column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	9363715	2	40	354047432	37.81	40	40	40	0	40	40	820206	2998592	4883707	591356	69854	9363715
2	9363715	2	40	340296958	36.34	40	40	40	0	40	40	865492	2944688	2382408	3079422	91705	9363715
3	9363715	2	40	339046736	36.21	40	40	40	0	40	40	1244907	3482779	2286973	2279202	69854	9363715
4	9363715	2	40	341889364	36.51	40	40	40	0	40	40	1717027	2791634	2702917	2082283	69854	9363715
5	9363715	2	40	341616368	36.48	40	40	40	0	40	40	2102548	2071594	2784292	2335427	69854	9363715
6	9363715	2	40	347097208	37.07	40	40	40	0	40	40	2508943	2001822	2372054	2411042	69854	9363715
7	9363715	2	40	346610900	37.02	40	40	40	0	40	40	2076008	1544376	1770509	3902968	69854	9363715
8	9363715	2	40	349460836	37.32	40	40	40	0	40	40	2109910	2123028	1912142	3148781	69854	9363715
9	9363715	2	40	350878392	37.47	40	40	40	0	40	40	1839991	2134349	1903765	3415756	69854	9363715
10	9363715	2	40	349487072	37.32	40	40	40	0	40	40	3018585	1641313	1964194	2669769	69854	9363715
11	9363715	2	40	350451386	37.43	40	40	40	0	40	40	2422051	2210265	2307729	2328947	94723	9363715
12	9363715	2	40	351776484	37.57	40	40	40	0	40	40	2052516	2316013	2252768	2672564	69854	9363715
13	9363715	2	40	352342796	37.63	40	40	40	0	40	40	2248067	2048629	2230900	2766265	69854	9363715
14	9363715	2	40	352114780	37.60	40	40	40	0	40	40	2279099	2089536	2097178	2828048	69854	9363715
15	9363715	2	40	352412504	37.64	40	40	40	0	40	40	2233503	2214889	2128388	2717081	69854	9363715
16	9363715	2	40	353324988	37.73	40	40	40	0	40	40	2263094	2195166	2242344	2593257	69854	9363715
17	9363715	2	40	353012880	37.70	40	40	40	0	40	40	2280774	2266172	2135594	2611321	69854	9363715
18	9363715	2	40	353037888	37.70	40	40	40	0	40	40	2255265	2346708	2162823	2529065	69854	9363715
19	9363715	2	40	353543568	37.76	40	40	40	0	40	40	2256257	2272779	2265446	2499379	69854	9363715
20	9363715	2	40	353349304	37.74	40	40	40	0	40	40	2318732	2228231	2178994	2567904	69854	9363715
21	9363715	2	40	353483656	37.75	40	40	40	0	40	40	2214327	2356590	2163306	2559638	69854	9363715
22	9363715	2	40	353671584	37.77	40	40	40	0	40	40	2313212	2242487	2248992	2489170	69854	9363715
23	9363715	2	40	353753446	37.78	40	40	40	0	40	40	2280279	2244186	2196143	2573238	69869	9363715
24	9363715	2	40	353591798	37.76	40	40	40	0	40	40	2204156	2356702	2186584	2546348	69925	9363715
25	9363715	2	40	353541064	37.76	40	40	40	0	40	40	2260669	2249565	2255561	2527972	69948	9363715
26	9363715	2	40	353374780	37.74	40	40	40	0	40	40	2258802	2266119	2174527	2594289	69978	9363715
27	9363715	2	40	353223740	37.72	40	40	40	0	40	40	2220493	2372423	2143709	2557084	70006	9363715
28	9363715	2	40	353197880	37.72	40	40	40	0	40	40	2237981	2304741	2187370	2563597	70026	9363715
29	9363715	2	40	353302186	37.73	40	40	40	0	40	40	2225229	2235438	2145165	2687826	70057	9363715
30	9363715	2	40	353064832	37.71	40	40	40	0	40	40	2137564	2398655	2103327	2654069	70100	9363715
31	9363715	2	40	353336488	37.73	40	40	40	0	40	40	2216609	2289585	2217759	2569616	70146	9363715
32	9363715	2	40	352977892	37.70	40	40	40	0	40	40	2218080	2311396	2121341	2642676	70222	9363715
33	9363715	2	40	349511286	37.33	40	40	40	0	40	40	2146782	2371879	2106809	2577842	160403	9363715
34	9363715	2	40	352728504	37.67	40	40	40	0	40	40	2231190	2321181	2224450	2516372	70522	9363715
35	9363715	2	40	352958876	37.69	40	40	40	0	40	40	2233188	2280072	2192314	2587355	70786	9363715
36	9292663	12	40	352003028	37.88	40	40	40	0	40	40	2180298	2373853	2218850	2519662	0	9363715
37	9292252	12	40	352209332	37.90	40	40	40	0	40	40	2298004	2308135	2211587	2474526	0	9363715
38	9291981	12	40	352022984	37.88	40	40	40	0	40	40	2296645	2284834	2136853	2573649	0	9363715
39	9291569	12	40	351786188	37.86	40	40	40	0	40	40	2203715	2369123	2185005	2533726	0	9363715
40	9291154	12	40	351877544	37.87	40	40	40	0	40	40	2228840	2342264	2242630	2477420	0	9363715
