column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	11259938	2	40	427924648	38.00	40	40	40	0	40	40	1328852	3748400	5387637	770047	25002	11259938
2	11259938	2	40	407266522	36.17	40	40	40	0	40	40	1595119	2803342	3178834	3630582	52061	11259938
3	11259938	2	40	404982684	35.97	40	40	40	0	40	40	2099664	3517757	2491091	3126424	25002	11259938
4	11259938	2	40	411892804	36.58	40	40	40	0	40	40	2834618	2775995	2872548	2751775	25002	11259938
5	11259938	2	40	412519292	36.64	40	40	40	0	40	40	3218533	2275720	2823461	2917222	25002	11259938
6	11259938	2	40	418021880	37.12	40	40	40	0	40	40	3436204	2126808	2628541	3043383	25002	11259938
7	11259938	2	40	419271528	37.24	40	40	40	0	40	40	2392313	1829140	2053617	4959866	25002	11259938
8	11259938	2	40	422844160	37.55	40	40	40	0	40	40	2580577	2635334	2283344	3735681	25002	11259938
9	11259938	2	40	423787504	37.64	40	40	40	0	40	40	2366210	2535531	2260693	4072502	25002	11259938
10	11259938	2	40	423520220	37.61	40	40	40	0	40	40	3946380	1872785	2421523	2994248	25002	11259938
11	11259938	2	40	424698604	37.72	40	40	40	0	40	40	2929684	2654967	3010844	2608763	55680	11259938
12	11259938	2	40	426313480	37.86	40	40	40	0	40	40	2467818	2745994	2775862	3245262	25002	11259938
13	11259938	2	40	427167288	37.94	40	40	40	0	40	40	2834945	2283134	2690104	3426753	25002	11259938
14	11259938	2	40	427065312	37.93	40	40	40	0	40	40	2831445	2346739	2654101	3402651	25002	11259938
15	11259938	2	40	427205196	37.94	40	40	40	0	40	40	2782762	2526452	2664812	3260910	25002	11259938
16	11259938	2	40	428311308	38.04	40	40	40	0	40	40	2825813	2521572	2755032	3132519	25002	11259938
17	11259938	2	40	428057916	38.02	40	40	40	0	40	40	2836995	2528351	2723352	3146238	25002	11259938
18	11259938	2	40	428293712	38.04	40	40	40	0	40	40	2804901	2612377	2742053	3075605	25002	11259938
19	11259938	2	40	428704096	38.07	40	40	40	0	40	40	2818261	2524008	2809546	3083121	25002	11259938
20	11259938	2	40	428531888	38.06	40	40	40	0	40	40	2868374	2497403	2725998	3143161	25002	11259938
21	11259938	2	40	428724168	38.08	40	40	40	0	40	40	2794536	2579622	2723059	3137719	25002	11259938
22	11259938	2	40	428845464	38.09	40	40	40	0	40	40	2895615	2493821	2786403	3059097	25002	11259938
23	11259938	2	40	428809558	38.08	40	40	40	0	40	40	2849204	2480367	2760374	3144824	25169	11259938
24	11259938	2	40	428649014	38.07	40	40	40	0	40	40	2730878	2633961	2746393	3123265	25441	11259938
25	11259938	2	40	428640988	38.07	40	40	40	0	40	40	2830204	2527187	2803101	3073632	25814	11259938
26	11259938	2	40	428075796	38.02	40	40	40	0	40	40	2825905	2536190	2722787	3148810	26246	11259938
27	11259938	2	40	427713676	37.99	40	40	40	0	40	40	2789848	2603813	2667665	3171700	26912	11259938
28	11259938	2	40	427146178	37.94	40	40	40	0	40	40	2836679	2563793	2711113	3120558	27795	11259938
29	11259938	2	40	426675634	37.89	40	40	40	0	40	40	2875439	2493165	2675853	3186782	28699	11259938
30	11259938	2	40	425841374	37.82	40	40	40	0	40	40	2795359	2668656	2606441	3159691	29791	11259938
31	11259938	2	40	425678174	37.80	40	40	40	0	40	40	2873969	2593772	2675834	3085268	31095	11259938
32	11259938	2	40	424994330	37.74	40	40	40	0	40	40	2861205	2586240	2615513	3164435	32545	11259938
33	11259938	2	40	420654582	37.36	40	40	40	0	40	40	2765150	2657786	2530123	3163000	143879	11259938
34	11259938	2	40	424118760	37.67	40	40	40	0	40	40	2888056	2645062	2594238	3095704	36878	11259938
35	11259938	2	40	424109884	37.67	40	40	40	0	40	40	2865823	2609224	2572510	3172839	39542	11259938
36	11217767	12	40	422788380	37.69	40	40	40	0	40	40	2822296	2742776	2527623	3125072	0	11259938
37	11214785	12	40	422763656	37.70	40	40	40	0	40	40	2914909	2639793	2551889	3108194	0	11259938
38	11211974	12	40	422369376	37.67	40	40	40	0	40	40	2854854	2631041	2557853	3168226	0	11259938
39	11208904	12	40	421734172	37.62	40	40	40	0	40	40	2793079	2771306	2490514	3154005	0	11259938
40	11205889	12	40	421435148	37.61	40	40	40	0	40	40	2869940	2733922	2513516	3088511	0	11259938
41	11203135	12	40	421034924	37.58	40	40	40	0	40	40	2854508	2692068	2475437	3181122	0	11259938
42	11200588	12	40	420505388	37.54	40	40	40	0	40	40	2869823	2730383	2457719	3142663	0	11259938
43	11197823	12	40	420436040	37.55	40	40	40	0	40	40	2887970	2764284	2484012	3061557	0	11259938
44	11195064	12	40	420039156	37.52	40	40	40	0	40	40	2850055	2718410	2436664	3189935	0	11259938
45	11192431	12	40	419724180	37.50	40	40	40	0	40	40	2785380	2856096	2403445	3147510	0	11259938
46	11190030	12	40	419235624	37.47	40	40	40	0	40	40	2838410	2818307	2429591	3103722	0	11259938
47	11187641	12	40	419057928	37.46	40	40	40	0	40	40	2821690	2768563	2420534	3176854	0	11259938
