column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	11473983	2	40	433516768	37.78	40	40	40	0	40	40	1213708	2543943	7183829	506141	26362	11473983
2	11473983	2	40	420606230	36.66	40	40	40	0	40	40	1335868	3358306	3140428	3587290	52091	11473983
3	11473983	2	40	418811560	36.50	40	40	40	0	40	40	2144626	3622662	2500167	3180166	26362	11473983
4	11473983	2	40	422878744	36.86	40	40	40	0	40	40	2685738	2909809	3089192	2762882	26362	11473983
5	11473983	2	40	421470640	36.73	40	40	40	0	40	40	3057716	2401233	3153405	2835267	26362	11473983
6	11473983	2	40	427760060	37.28	40	40	40	0	40	40	3324911	2418058	2901233	2803419	26362	11473983
7	11473983	2	40	429024028	37.39	40	40	40	0	40	40	2341764	2220227	2152117	4733513	26362	11473983
8	11473983	2	40	431366216	37.60	40	40	40	0	40	40	2456764	2980721	2264307	3745829	26362	11473983
9	11473983	2	40	432576276	37.70	40	40	40	0	40	40	2138893	2945697	2415613	3947418	26362	11473983
10	11473983	2	40	431033880	37.57	40	40	40	0	40	40	3634848	2151054	2652918	3008801	26362	11473983
11	11473983	2	40	432131954	37.66	40	40	40	0	40	40	2591135	2957907	3223947	2644947	56047	11473983
12	11473983	2	40	433926156	37.82	40	40	40	0	40	40	2261115	3129252	2960613	3096641	26362	11473983
13	11473983	2	40	434702396	37.89	40	40	40	0	40	40	2737784	2551230	2850369	3308238	26362	11473983
14	11473983	2	40	434471748	37.87	40	40	40	0	40	40	2632729	2620850	2694879	3499163	26362	11473983
15	11473983	2	40	434632712	37.88	40	40	40	0	40	40	2561195	2852745	2714232	3319449	26362	11473983
16	11473983	2	40	435688848	37.97	40	40	40	0	40	40	2659847	2810093	2793990	3183691	26362	11473983
17	11473983	2	40	435343884	37.94	40	40	40	0	40	40	2668307	2877543	2703527	3198244	26362	11473983
18	11473983	2	40	435405600	37.95	40	40	40	0	40	40	2623854	2982450	2805468	3035849	26362	11473983
19	11473983	2	40	435709992	37.97	40	40	40	0	40	40	2674612	2866529	2956650	2949830	26362	11473983
20	11473983	2	40	435339320	37.94	40	40	40	0	40	40	2685762	2847280	2759551	3155028	26362	11473983
21	11473983	2	40	435000824	37.91	40	40	40	0	40	40	2618080	2989427	2746672	3093442	26362	11473983
22	11473983	2	40	435414192	37.95	40	40	40	0	40	40	2751396	2843203	2872110	2980912	26362	11473983
23	11473983	2	40	435959892	38.00	40	40	40	0	40	40	2689082	2796216	2879147	3083152	26386	11473983
24	11473983	2	40	435935132	37.99	40	40	40	0	40	40	2571855	2949765	2902256	3023661	26446	11473983
25	11473983	2	40	435951656	37.99	40	40	40	0	40	40	2687583	2846855	2926475	2986574	26496	11473983
26	11473983	2	40	435505276	37.96	40	40	40	0	40	40	2676105	2882949	2768636	3119751	26542	11473983
27	11473983	2	40	435335230	37.94	40	40	40	0	40	40	2526418	3098183	2720433	3102356	26593	11473983
28	11473983	2	40	435360178	37.94	40	40	40	0	40	40	2564149	2961597	2749249	3172315	26673	11473983
29	11473983	2	40	435198198	37.93	40	40	40	0	40	40	2601371	2861506	2657325	3327040	26741	11473983
30	11473983	2	40	434966170	37.91	40	40	40	0	40	40	2492126	3039574	2693598	3221852	26833	11473983
31	11473983	2	40	435095254	37.92	40	40	40	0	40	40	2630275	2839241	2869408	3108084	26975	11473983
32	11473983	2	40	434389958	37.86	40	40	40	0	40	40	2564482	2999675	2740389	3142272	27165	11473983
33	11473983	2	40	430353642	37.51	40	40	40	0	40	40	2531475	3063316	2671709	3067490	139993	11473983
34	11473983	2	40	434384382	37.86	40	40	40	0	40	40	2611605	2926630	2886802	3021083	27863	11473983
35	11473983	2	40	434506446	37.87	40	40	40	0	40	40	2640195	2924959	2862680	3017824	28325	11473983
36	11445293	12	40	433134808	37.84	40	40	40	0	40	40	2581100	3022302	2871216	2970675	0	11473983
37	11444841	12	40	433448840	37.87	40	40	40	0	40	40	2812854	2825705	2850135	2956147	0	11473983
38	11444248	12	40	433066360	37.84	40	40	40	0	40	40	2757259	2864907	2757896	3064186	0	11473983
39	11443681	12	40	432612492	37.80	40	40	40	0	40	40	2629231	3048323	2776153	2989974	0	11473983
40	11443124	12	40	432507396	37.80	40	40	40	0	40	40	2636301	3044351	2800935	2961537	0	11473983
41	11442587	12	40	432323852	37.78	40	40	40	0	40	40	2590248	2950251	2763408	3138680	0	11473983
42	11441954	12	40	432069672	37.76	40	40	40	0	40	40	2528283	3096355	2819895	2997421	0	11473983
43	11441175	12	40	432268512	37.78	40	40	40	0	40	40	2630978	2915907	2939973	2954317	0	11473983
44	11440425	12	40	432043220	37.76	40	40	40	0	40	40	2603707	2954819	2717831	3164068	0	11473983
45	11439669	12	40	431735652	37.74	40	40	40	0	40	40	2613841	3102486	2668541	3054801	0	11473983
46	11438952	12	40	431033984	37.68	40	40	40	0	40	40	2655876	2975774	2761144	3046158	0	11473983
47	11438092	12	40	430649856	37.65	40	40	40	0	40	40	2584576	2943425	2809672	3100419	0	11473983
48	11437182	12	40	430561292	37.65	40	40	40	0	40	40	2540270	3046178	2856786	2993948	0	11473983
49	11436209	2	40	429668206	37.57	40	40	40	0	40	40	2578537	2899112	2979626	2943597	35337	11473983
50	11435027	12	40	430917644	37.68	40	40	40	0	40	40	2611033	2935701	2809736	3078557	0	11473983
51	11433754	12	40	430655916	37.67	40	40	40	0	40	40	2529063	3132493	2767951	3004247	0	11473983
52	11432175	12	40	430365196	37.65	40	40	40	0	40	40	2554904	2940057	2963125	2974089	0	11473983
53	11430650	12	40	429663892	37.59	40	40	40	0	40	40	2529500	2995131	2765260	3140759	0	11473983
54	11429072	12	40	429615904	37.59	40	40	40	0	40	40	2465482	3116667	2732586	3114337	0	11473983
55	11427527	12	40	430005812	37.63	40	40	40	0	40	40	2584226	3039998	2804426	2998877	0	11473983
56	11425871	12	40	429813504	37.62	40	40	40	0	40	40	2568668	3123773	2710489	3022941	0	11473983
57	11424050	12	40	428942064	37.55	40	40	40	0	40	40	2605673	3174028	2672145	2972204	0	11473983
58	11422142	12	40	428357328	37.50	40	40	40	0	40	40	2664052	3009352	2785056	2963682	0	11473983
59	11419916	12	40	428883448	37.56	40	40	40	0	40	40	2623669	2963609	2719777	3112861	0	11473983
60	11417558	12	40	428800996	37.56	40	40	40	0	40	40	2618937	3084574	2641887	3072160	0	11473983
61	11414975	12	40	428857424	37.57	40	40	40	0	40	40	2688269	2932587	2825114	2969005	0	11473983
62	11411981	12	40	428958796	37.59	40	40	40	0	40	40	2567688	2919159	2720470	3204664	0	11473983
63	11408566	12	40	428379068	37.55	40	40	40	0	40	40	2508384	3021618	2757292	3121272	0	11473983
64	11404694	12	40	428110052	37.54	40	40	40	0	40	40	2616457	2892454	2800759	3095024	0	11473983
65	11400545	12	40	427885916	37.53	40	40	40	0	40	40	2638056	2878878	2748379	3135232	0	11473983
66	11396052	12	40	427306600	37.50	40	40	40	0	40	40	2574322	3003119	2720466	3098145	0	11473983
67	11391398	12	40	427415340	37.52	40	40	40	0	40	40	2625674	2898903	2808124	3058697	0	11473983
68	11386340	12	40	427256152	37.52	40	40	40	0	40	40	2571908	2893892	2743237	3177303	0	11473983
69	11380768	12	40	427056820	37.52	40	40	40	0	40	40	2533389	3129533	2717573	3000273	0	11473983
70	11374570	12	40	426543220	37.50	40	40	40	0	40	40	2635214	2901282	2910232	2927842	0	11473983
71	11366826	12	40	425956408	37.47	40	40	40	0	40	40	2589649	2983926	2782335	3010916	0	11473983
72	11358223	12	40	425779720	37.49	40	40	40	0	40	40	2548855	2996616	2723414	3089338	0	11473983
73	11349285	12	40	425406024	37.48	40	40	40	0	40	40	2589333	2881430	2835234	3043288	0	11473983
74	11339408	12	40	424681316	37.45	40	40	40	0	40	40	2638547	2876248	2789790	3034823	0	11473983
75	11328551	12	40	424110016	37.44	40	40	40	0	40	40	2560222	3083762	2736801	2947766	0	11473983
76	11317067	12	40	424076208	37.47	40	40	40	0	40	40	2562643	3044182	2804716	2905526	0	11473983
77	11304242	2	40	421360058	37.27	40	40	40	0	40	40	2528645	3053389	2659509	3034824	27875	11473983
78	11289798	12	40	422416824	37.42	40	40	40	0	40	40	2531253	3024494	2687265	3046786	0	11473983
79	11274475	12	40	422064016	37.44	40	40	40	0	40	40	2595103	2909546	2751974	3017852	0	11473983
80	11258014	12	40	421192152	37.41	40	40	40	0	40	40	2625207	2971766	2619044	3041997	0	11473983
81	11239829	12	40	420206152	37.39	40	40	40	0	40	40	2615943	3111132	2596969	2915785	0	11473983
82	11220298	12	40	419180316	37.36	40	40	40	0	40	40	2665559	2953672	2713839	2887228	0	11473983
83	11198456	12	40	418964184	37.41	40	40	40	0	40	40	2534577	2882544	2738764	3042571	0	11473983
84	11174202	12	40	417720168	37.38	40	40	40	0	40	40	2456442	3087878	2695887	2933995	0	11473983
85	11147823	12	40	416713512	37.38	40	40	40	0	40	40	2593651	2870098	2771371	2912703	0	11473983
86	11119157	12	40	415516336	37.37	40	40	40	0	40	40	2557377	2857712	2669507	3034561	0	11473983
87	11089514	12	40	414791560	37.40	40	40	40	0	40	40	2513795	2892354	2672167	3011198	0	11473983
88	11058201	12	40	413537504	37.40	40	40	40	0	40	40	2531378	2791425	2871151	2864247	0	11473983
89	11024975	2	40	410682650	37.25	40	40	40	0	40	40	2600939	2794448	2626082	2973419	30087	11473983
90	10990223	12	40	410665896	37.37	40	40	40	0	40	40	2488357	2905834	2564005	3032027	0	11473983
91	10953033	12	40	409599808	37.40	40	40	40	0	40	40	2485112	2793958	2698407	2975556	0	11473983
92	10911828	12	40	407703692	37.36	40	40	40	0	40	40	2470527	2787931	2569205	3084165	0	11473983
93	10865603	12	40	405740344	37.34	40	40	40	0	40	40	2437640	2901539	2575267	2951157	0	11473983
94	10816482	12	40	403564820	37.31	40	40	40	0	40	40	2551537	2760909	2606632	2897404	0	11473983
95	10763073	12	40	401548432	37.31	40	40	40	0	40	40	2531476	2689307	2624183	2918107	0	11473983
96	10706023	12	40	399157144	37.28	40	40	40	0	40	40	2439018	2811924	2612842	2842239	0	11473983
97	10647758	12	40	397318368	37.31	40	40	40	0	40	40	2463979	2710684	2653574	2819521	0	11473983
98	10587548	12	40	394638520	37.27	40	40	40	0	40	40	2450280	2704904	2585336	2847028	0	11473983
99	10524516	12	40	392095032	37.26	40	40	40	0	40	40	2371618	2849203	2552976	2750719	0	11473983
100	10461304	12	40	390044092	37.28	40	40	40	0	40	40	2420383	2688926	2663974	2688021	0	11473983
101	10393976	12	40	387421220	37.27	40	40	40	0	40	40	2431749	2611433	2519116	2831678	0	11473983
102	10322369	12	40	384343748	37.23	40	40	40	0	40	40	2296495	2808278	2413730	2803866	0	11473983
103	10247378	12	40	381884400	37.27	40	40	40	0	40	40	2452531	2630955	2439557	2724335	0	11473983
104	10164680	12	40	378612112	37.25	40	40	40	0	40	40	2398899	2562819	2368449	2834513	0	11473983
105	10080444	12	40	374437352	37.14	40	40	40	0	40	40	2275722	2651646	2334758	2818318	0	11473983
106	9994488	12	40	371739728	37.19	40	40	40	0	40	40	2323688	2561775	2366889	2742136	0	11473983
107	9906640	2	40	368630976	37.21	40	40	40	0	40	40	2311341	2545702	2366237	2683354	6	11473983
108	9815683	12	40	364680096	37.15	40	40	40	0	40	40	2312048	2634124	2254811	2614700	0	11473983
109	9724147	12	40	361196072	37.14	40	40	40	0	40	40	2328177	2525161	2353800	2517009	0	11473983
110	9635743	2	40	357750166	37.13	40	40	40	0	40	40	2223348	2460106	2264271	2688015	3	11473983
111	9543610	2	40	352333750	36.92	40	40	40	0	40	40	2187057	2574922	2185009	2543571	53051	11473983
112	9448955	12	40	350854180	37.13	40	40	40	0	40	40	2265381	2411053	2343975	2428546	0	11473983
113	9351206	2	40	340058124	36.37	40	40	40	0	40	40	2178588	2406804	2154101	2431155	180558	11473983
114	9253735	2	40	340161300	36.76	40	40	40	0	40	40	2153052	2519166	2120907	2387836	72774	11473983
115	9156382	12	40	339142684	37.04	40	40	40	0	40	40	2168359	2501847	2174032	2312144	0	11473983
116	9053649	2	40	335269354	37.03	40	40	40	0	40	40	2131459	2422999	2092495	2406693	3	11473983
117	8948366	12	40	331449964	37.04	40	40	40	0	40	40	2057102	2477850	2110415	2302999	0	11473983
118	8847778	12	40	327206768	36.98	40	40	40	0	40	40	2091713	2349864	2122340	2283861	0	11473983
119	8748523	2	40	323835044	37.02	40	40	40	0	40	40	2071526	2270685	2041071	2365239	2	11473983
