column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	11268182	2	40	427923042	37.98	40	40	40	0	40	40	1270944	4403378	4759919	818572	15369	11268182
2	11268182	2	40	404316854	35.88	40	40	40	0	40	40	1521011	2966341	2893978	3845661	41191	11268182
3	11268182	2	40	401337778	35.62	40	40	40	0	40	40	1894659	3894016	2232390	3231748	15369	11268182
4	11268182	2	40	408929382	36.29	40	40	40	0	40	40	2583553	3167130	2664305	2837825	15369	11268182
5	11268182	2	40	410636682	36.44	40	40	40	0	40	40	2941651	2564447	2681957	3064758	15369	11268182
6	11268182	2	40	417234422	37.03	40	40	40	0	40	40	3266192	2406189	2456940	3123492	15369	11268182
7	11268182	2	40	418611226	37.15	40	40	40	0	40	40	2270160	2029370	1914694	5038589	15369	11268182
8	11268182	2	40	423105130	37.55	40	40	40	0	40	40	2537093	2774392	2181939	3759389	15369	11268182
9	11268182	2	40	424729594	37.69	40	40	40	0	40	40	2217874	2609398	2145113	4280428	15369	11268182
10	11268182	2	40	423584338	37.59	40	40	40	0	40	40	3749084	2027269	2347860	3128600	15369	11268182
11	11268182	2	40	425078040	37.72	40	40	40	0	40	40	2816725	2805082	2770587	2831776	44012	11268182
12	11268182	2	40	426666910	37.86	40	40	40	0	40	40	2350582	2914609	2671054	3316568	15369	11268182
13	11268182	2	40	427547326	37.94	40	40	40	0	40	40	2717102	2499692	2531312	3504707	15369	11268182
14	11268182	2	40	427261626	37.92	40	40	40	0	40	40	2744317	2540584	2443184	3524728	15369	11268182
15	11268182	2	40	427379330	37.93	40	40	40	0	40	40	2673393	2772622	2459041	3347757	15369	11268182
16	11268182	2	40	428829414	38.06	40	40	40	0	40	40	2743931	2717428	2635614	3155840	15369	11268182
17	11268182	2	40	428574470	38.03	40	40	40	0	40	40	2737721	2754841	2540405	3219846	15369	11268182
18	11268182	2	40	428666334	38.04	40	40	40	0	40	40	2777972	2861311	2514027	3099503	15369	11268182
19	11268182	2	40	429295254	38.10	40	40	40	0	40	40	2733541	2690889	2700552	3127831	15369	11268182
20	11268182	2	40	429017582	38.07	40	40	40	0	40	40	2865249	2672846	2585250	3129468	15369	11268182
21	11268182	2	40	429415594	38.11	40	40	40	0	40	40	2735535	2703370	2635810	3178098	15369	11268182
22	11268182	2	40	429550014	38.12	40	40	40	0	40	40	2840323	2697291	2635889	3079310	15369	11268182
23	11268182	2	40	429795804	38.14	40	40	40	0	40	40	2759996	2601812	2693524	3197372	15478	11268182
