column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	5190119	2	40	193807448	37.34	40	40	40	0	40	40	531495	1544601	2718439	312038	83546	5190119
2	5190119	2	40	186952100	36.02	40	40	40	0	40	40	612326	1532482	1346893	1602842	95576	5190119
3	5190119	2	40	185816352	35.80	40	40	40	0	40	40	862181	1756855	1126940	1360597	83546	5190119
4	5190119	2	40	188226404	36.27	40	40	40	0	40	40	1216635	1351353	1342243	1196342	83546	5190119
5	5190119	2	40	187376864	36.10	40	40	40	0	40	40	1332471	1141048	1377775	1255279	83546	5190119
6	5190119	2	40	190028184	36.61	40	40	40	0	40	40	1534319	1082245	1231999	1258010	83546	5190119
7	5190119	2	40	190283660	36.66	40	40	40	0	40	40	1080125	997430	901872	2127146	83546	5190119
8	5190119	2	40	192182980	37.03	40	40	40	0	40	40	1169953	1278071	1019366	1639183	83546	5190119
9	5190119	2	40	192077536	37.01	40	40	40	0	40	40	1003181	1264824	1023862	1814706	83546	5190119
10	5190119	2	40	191854576	36.97	40	40	40	0	40	40	1693987	920915	1089037	1402634	83546	5190119
11	5190119	2	40	192363754	37.06	40	40	40	0	40	40	1227053	1273259	1337195	1255445	97167	5190119
12	5190119	2	40	193223536	37.23	40	40	40	0	40	40	1050430	1334185	1289995	1431963	83546	5190119
13	5190119	2	40	193620140	37.31	40	40	40	0	40	40	1257835	1144030	1186743	1517965	83546	5190119
14	5190119	2	40	193526836	37.29	40	40	40	0	40	40	1208204	1172538	1136169	1589662	83546	5190119
15	5190119	2	40	193611396	37.30	40	40	40	0	40	40	1190817	1255699	1110635	1549422	83546	5190119
16	5190119	2	40	194161068	37.41	40	40	40	0	40	40	1244663	1260711	1165897	1435302	83546	5190119
17	5190119	2	40	193933636	37.37	40	40	40	0	40	40	1222301	1307514	1124175	1452583	83546	5190119
18	5190119	2	40	193947016	37.37	40	40	40	0	40	40	1194990	1356079	1197697	1357807	83546	5190119
19	5190119	2	40	194096516	37.40	40	40	40	0	40	40	1199893	1298659	1294200	1313821	83546	5190119
20	5190119	2	40	193905848	37.36	40	40	40	0	40	40	1241858	1293367	1190115	1381233	83546	5190119
21	5190119	2	40	193959436	37.37	40	40	40	0	40	40	1210891	1322358	1206535	1366789	83546	5190119
22	5190119	2	40	194103364	37.40	40	40	40	0	40	40	1293133	1256435	1239674	1317331	83546	5190119
23	5190119	2	40	194325062	37.44	40	40	40	0	40	40	1231224	1219206	1287154	1368922	83613	5190119
24	5190119	2	40	194238160	37.42	40	40	40	0	40	40	1169791	1296462	1280037	1360083	83746	5190119
25	5190119	2	40	194274002	37.43	40	40	40	0	40	40	1236350	1262391	1254385	1353138	83855	5190119
26	5190119	2	40	194027576	37.38	40	40	40	0	40	40	1239577	1288360	1180120	1398104	83958	5190119
27	5190119	2	40	193977496	37.37	40	40	40	0	40	40	1175636	1332691	1166841	1430875	84076	5190119
28	5190119	2	40	193770364	37.33	40	40	40	0	40	40	1193808	1277365	1148086	1486634	84226	5190119
29	5190119	2	40	193915552	37.36	40	40	40	0	40	40	1188260	1215197	1145405	1556869	84388	5190119
30	5190119	2	40	193657368	37.31	40	40	40	0	40	40	1136575	1349410	1111358	1508202	84574	5190119
31	5190119	2	40	193756406	37.33	40	40	40	0	40	40	1189707	1262898	1180707	1471980	84827	5190119
32	5190119	2	40	193197960	37.22	40	40	40	0	40	40	1171913	1358692	1122009	1452403	85102	5190119
33	5190119	2	40	191509726	36.90	40	40	40	0	40	40	1129052	1372032	1133026	1421134	134875	5190119
34	5190119	2	40	193299094	37.24	40	40	40	0	40	40	1181362	1347014	1194766	1380784	86193	5190119
35	5190119	2	40	193499160	37.28	40	40	40	0	40	40	1191075	1283793	1253819	1374430	87002	5190119
36	5102484	12	40	192752888	37.78	40	40	40	0	40	40	1180810	1342543	1250105	1329026	0	5190119
37	5101686	12	40	192903440	37.81	40	40	40	0	40	40	1289917	1257549	1216930	1337290	0	5190119
38	5100917	12	40	192739696	37.79	40	40	40	0	40	40	1265235	1288393	1182285	1365004	0	5190119
39	5100017	12	40	192497484	37.74	40	40	40	0	40	40	1181625	1352536	1211890	1353966	0	5190119
40	5099214	12	40	192505660	37.75	40	40	40	0	40	40	1189288	1373343	1228995	1307588	0	5190119
41	5098378	12	40	192387884	37.74	40	40	40	0	40	40	1179017	1292892	1223734	1402735	0	5190119
42	5097504	12	40	192231544	37.71	40	40	40	0	40	40	1188773	1309443	1251865	1347423	0	5190119
43	5096624	12	40	192316984	37.73	40	40	40	0	40	40	1193066	1315721	1264710	1323127	0	5190119
44	5095631	12	40	192198256	37.72	40	40	40	0	40	40	1172726	1322817	1191118	1408970	0	5190119
45	5094674	12	40	192052388	37.70	40	40	40	0	40	40	1207146	1372906	1117896	1396726	0	5190119
46	5093706	12	40	191776296	37.65	40	40	40	0	40	40	1190384	1360866	1158123	1384333	0	5190119
47	5092767	12	40	191666432	37.64	40	40	40	0	40	40	1174088	1333327	1182360	1402992	0	5190119
48	5091803	12	40	191583248	37.63	40	40	40	0	40	40	1158749	1370295	1201280	1361479	0	5190119
49	5090750	2	40	190887002	37.50	40	40	40	0	40	40	1167353	1316623	1248278	1342027	16469	5190119
50	5089565	12	40	191577308	37.64	40	40	40	0	40	40	1185564	1341623	1221816	1340562	0	5190119
51	5088248	12	40	191511968	37.64	40	40	40	0	40	40	1149446	1395259	1199017	1344526	0	5190119
52	5086824	12	40	191345496	37.62	40	40	40	0	40	40	1162794	1320732	1252072	1351226	0	5190119
53	5085384	12	40	191037036	37.57	40	40	40	0	40	40	1150849	1373130	1163484	1397921	0	5190119
54	5083834	12	40	190816980	37.53	40	40	40	0	40	40	1124067	1391445	1164787	1403535	0	5190119
55	5082343	12	40	191029960	37.59	40	40	40	0	40	40	1150109	1367149	1197356	1367729	0	5190119
56	5080857	12	40	190846780	37.56	40	40	40	0	40	40	1162087	1423860	1145132	1349778	0	5190119
57	5079359	12	40	190578048	37.52	40	40	40	0	40	40	1187314	1434849	1119423	1337773	0	5190119
58	5077872	12	40	190339240	37.48	40	40	40	0	40	40	1208648	1395380	1159141	1314703	0	5190119
59	5076117	12	40	190497384	37.53	40	40	40	0	40	40	1167705	1348856	1152180	1407376	0	5190119
60	5074248	12	40	190422788	37.53	40	40	40	0	40	40	1197733	1390071	1134670	1351774	0	5190119
61	5072202	12	40	190341544	37.53	40	40	40	0	40	40	1237928	1348364	1187772	1298138	0	5190119
62	5069972	12	40	190261452	37.53	40	40	40	0	40	40	1195364	1325856	1122946	1425806	0	5190119
