column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	11727340	2	40	444040446	37.86	40	40	40	0	40	40	1527899	3500329	5935993	731098	32021	11727340
2	11727340	2	40	420771882	35.88	40	40	40	0	40	40	1662162	2970230	3045338	3991497	58113	11727340
3	11727340	2	40	418036478	35.65	40	40	40	0	40	40	2284826	3678840	2189141	3542512	32021	11727340
4	11727340	2	40	425099870	36.25	40	40	40	0	40	40	2931778	2964251	2694523	3104767	32021	11727340
5	11727340	2	40	425427686	36.28	40	40	40	0	40	40	3394644	2417123	2749181	3134371	32021	11727340
6	11727340	2	40	433543542	36.97	40	40	40	0	40	40	3631488	2361117	2539885	3162829	32021	11727340
7	11727340	2	40	436229254	37.20	40	40	40	0	40	40	2554599	2015719	1958776	5166225	32021	11727340
8	11727340	2	40	439202938	37.45	40	40	40	0	40	40	2734105	2901010	2150817	3909387	32021	11727340
9	11727340	2	40	440595386	37.57	40	40	40	0	40	40	2380520	2770859	2204418	4339522	32021	11727340
10	11727340	2	40	439508546	37.48	40	40	40	0	40	40	3979052	2115944	2438494	3161829	32021	11727340
11	11727340	2	40	441160426	37.62	40	40	40	0	40	40	2976749	2965378	2955648	2767440	62125	11727340
12	11727340	2	40	443480326	37.82	40	40	40	0	40	40	2522628	3123763	2685279	3363649	32021	11727340
13	11727340	2	40	444321922	37.89	40	40	40	0	40	40	2955792	2574567	2577351	3587609	32021	11727340
14	11727340	2	40	444163554	37.87	40	40	40	0	40	40	2983433	2608294	2483282	3620310	32021	11727340
15	11727340	2	40	444216166	37.88	40	40	40	0	40	40	2898104	2875988	2495136	3426091	32021	11727340
16	11727340	2	40	445722718	38.01	40	40	40	0	40	40	2972930	2784840	2655983	3281566	32021	11727340
17	11727340	2	40	445372890	37.98	40	40	40	0	40	40	2991659	2778108	2579865	3345687	32021	11727340
18	11727340	2	40	445509298	37.99	40	40	40	0	40	40	2960254	2926053	2520308	3288704	32021	11727340
