column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	12616157	2	40	476975030	37.81	40	40	40	0	40	40	925027	5110181	5436191	1079067	65691	12616157
2	12616157	2	40	454656944	36.04	40	40	40	0	40	40	1144997	4305542	3202991	3868517	94110	12616157
3	12616157	2	40	449326710	35.62	40	40	40	0	40	40	1397628	5209925	3147291	2795622	65691	12616157
4	12616157	2	40	456386638	36.17	40	40	40	0	40	40	2243938	4031068	3645993	2629467	65691	12616157
5	12616157	2	40	458146182	36.31	40	40	40	0	40	40	2632213	3048245	3820659	3049349	65691	12616157
6	12616157	2	40	464960342	36.85	40	40	40	0	40	40	3350671	3003087	3113170	3083538	65691	12616157
7	12616157	2	40	466883926	37.01	40	40	40	0	40	40	2573474	2546930	2403024	5027038	65691	12616157
8	12616157	2	40	469754598	37.23	40	40	40	0	40	40	2804297	3190370	2600456	3955343	65691	12616157
9	12616157	2	40	471922686	37.41	40	40	40	0	40	40	2369956	3085104	2535038	4560368	65691	12616157
10	12616157	2	40	470263946	37.27	40	40	40	0	40	40	3939450	2407036	2678666	3525314	65691	12616157
11	12616157	2	40	472370808	37.44	40	40	40	0	40	40	2883059	3091179	3084458	3460009	97452	12616157
12	12616157	2	40	473745302	37.55	40	40	40	0	40	40	2420239	3202747	3250646	3676834	65691	12616157
13	12616157	2	40	474670582	37.62	40	40	40	0	40	40	2816619	2882102	3096652	3755093	65691	12616157
14	12616157	2	40	474192350	37.59	40	40	40	0	40	40	2834776	2896764	2824848	3994078	65691	12616157
15	12616157	2	40	474845278	37.64	40	40	40	0	40	40	2736644	2963187	2806413	4044222	65691	12616157
16	12616157	2	40	476329310	37.76	40	40	40	0	40	40	2861370	3051586	2977634	3659876	65691	12616157
17	12616157	2	40	475937414	37.72	40	40	40	0	40	40	2829463	3202609	2838489	3679905	65691	12616157
18	12616157	2	40	475941338	37.72	40	40	40	0	40	40	2714407	3503359	2908575	3424125	65691	12616157
19	12616157	2	40	476466566	37.77	40	40	40	0	40	40	2693737	3320034	3270056	3266639	65691	12616157
20	12616157	2	40	475413226	37.68	40	40	40	0	40	40	2694382	3406697	3113356	3336031	65691	12616157
21	12616157	2	40	475489918	37.69	40	40	40	0	40	40	2668862	3462713	3168033	3250858	65691	12616157
22	12616157	2	40	476110498	37.74	40	40	40	0	40	40	2934313	3261527	3132668	3221958	65691	12616157
23	12616157	2	40	476942740	37.80	40	40	40	0	40	40	2808832	3046887	3337666	3357026	65746	12616157
24	12616157	2	40	476904480	37.80	40	40	40	0	40	40	2780321	3147057	3360122	3262817	65840	12616157
25	12616157	2	40	476591810	37.78	40	40	40	0	40	40	2846727	3186134	3245092	3272289	65915	12616157
26	12616157	2	40	476381876	37.76	40	40	40	0	40	40	2790147	3221483	3237046	3301487	65994	12616157
27	12616157	2	40	475518416	37.69	40	40	40	0	40	40	2617439	3584818	3029858	3317964	66078	12616157
28	12616157	2	40	475244366	37.67	40	40	40	0	40	40	2614124	3369890	3002455	3563489	66199	12616157
29	12616157	2	40	475300840	37.67	40	40	40	0	40	40	2674147	3170229	2864089	3841366	66326	12616157
30	12616157	2	40	475041472	37.65	40	40	40	0	40	40	2497391	3347500	2785630	3919148	66488	12616157
31	12616157	2	40	475272958	37.67	40	40	40	0	40	40	2623425	3130905	2982291	3812877	66659	12616157
32	12616157	2	40	472798618	37.48	40	40	40	0	40	40	2643071	3469652	2847171	3589364	66899	12616157
33	12616157	2	40	468374876	37.13	40	40	40	0	40	40	2536380	3526563	2929068	3430034	194112	12616157
34	12616157	2	40	472606608	37.46	40	40	40	0	40	40	2643207	3497788	3031542	3375784	67836	12616157
35	12616157	2	40	474045812	37.57	40	40	40	0	40	40	2710694	3252968	3314198	3269765	68532	12616157
36	12546974	12	40	471931004	37.61	40	40	40	0	40	40	2647078	3369068	3359109	3171719	0	12616157
37	12545881	12	40	471684068	37.60	40	40	40	0	40	40	3020190	3276275	3167091	3082325	0	12616157
38	12545082	12	40	470783480	37.53	40	40	40	0	40	40	3089248	3243914	2945148	3266772	0	12616157
39	12543923	12	40	469569600	37.43	40	40	40	0	40	40	2820900	3481330	3109882	3131811	0	12616157
40	12542818	12	40	469567156	37.44	40	40	40	0	40	40	2729006	3611721	3093760	3108331	0	12616157
41	12541720	12	40	468510400	37.36	40	40	40	0	40	40	2616663	3510362	3050100	3364595	0	12616157
42	12540609	12	40	468539388	37.36	40	40	40	0	40	40	2660548	3571354	3088380	3220327	0	12616157
43	12539258	12	40	468526712	37.36	40	40	40	0	40	40	2620103	3446778	3293071	3179306	0	12616157
44	12537685	12	40	468940588	37.40	40	40	40	0	40	40	2577722	3506432	3073398	3380133	0	12616157
45	12536032	12	40	468849996	37.40	40	40	40	0	40	40	2824031	3595628	2833180	3283193	0	12616157
46	12534316	12	40	469039584	37.42	40	40	40	0	40	40	2735478	3515727	2816914	3466197	0	12616157
47	12532715	12	40	468768760	37.40	40	40	40	0	40	40	2644049	3434017	2966213	3488436	0	12616157
48	12530827	12	40	468332884	37.37	40	40	40	0	40	40	2658342	3441899	3146960	3283626	0	12616157
49	12528869	2	40	467198848	37.29	40	40	40	0	40	40	2557267	3361035	3336896	3235885	37786	12616157
50	12526797	12	40	468804556	37.42	40	40	40	0	40	40	2796006	3295816	3204075	3230900	0	12616157
51	12524547	12	40	468902072	37.44	40	40	40	0	40	40	2642929	3511684	3150592	3219342	0	12616157
52	12521983	12	40	468371060	37.40	40	40	40	0	40	40	2594177	3379400	3393346	3155060	0	12616157
53	12519091	12	40	466703468	37.28	40	40	40	0	40	40	2546376	3620982	3034885	3316848	0	12616157
54	12516125	12	40	466443148	37.27	40	40	40	0	40	40	2441178	3582369	2943742	3548836	0	12616157
55	12513256	12	40	466942472	37.32	40	40	40	0	40	40	2544888	3541967	2948845	3477556	0	12616157
56	12510249	12	40	466539628	37.29	40	40	40	0	40	40	2593316	3635171	2939110	3342652	0	12616157
57	12507274	12	40	465820444	37.24	40	40	40	0	40	40	2698893	3740920	2890433	3177028	0	12616157
