column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	12771473	2	40	483401962	37.85	40	40	40	0	40	40	1702775	3482885	6637613	902233	45967	12771473
2	12771473	2	40	461289014	36.12	40	40	40	0	40	40	1836517	3593844	2729671	4534600	76841	12771473
3	12771473	2	40	460190350	36.03	40	40	40	0	40	40	2598487	3693775	2386968	4046276	45967	12771473
4	12771473	2	40	466449958	36.52	40	40	40	0	40	40	3476325	3155204	2693300	3400677	45967	12771473
5	12771473	2	40	467539594	36.61	40	40	40	0	40	40	3790261	2714281	2833188	3387776	45967	12771473
6	12771473	2	40	473686022	37.09	40	40	40	0	40	40	4124513	2284923	2719817	3596253	45967	12771473
7	12771473	2	40	475195014	37.21	40	40	40	0	40	40	2919548	2033408	1810028	5962522	45967	12771473
8	12771473	2	40	479772486	37.57	40	40	40	0	40	40	3063567	2886136	2409023	4366780	45967	12771473
9	12771473	2	40	480990530	37.66	40	40	40	0	40	40	2875971	2732822	2300985	4815728	45967	12771473
10	12771473	2	40	478997650	37.51	40	40	40	0	40	40	4603466	2055864	2353260	3712916	45967	12771473
11	12771473	2	40	480243550	37.60	40	40	40	0	40	40	3653112	3030402	2910926	3096960	80073	12771473
12	12771473	2	40	482620454	37.79	40	40	40	0	40	40	2984784	3103871	2712402	3924449	45967	12771473
13	12771473	2	40	483446302	37.85	40	40	40	0	40	40	3544786	2477884	2482873	4219963	45967	12771473
14	12771473	2	40	483011198	37.82	40	40	40	0	40	40	3402231	2681769	2542995	4098511	45967	12771473
15	12771473	2	40	483433362	37.85	40	40	40	0	40	40	3430780	2762906	2573213	3958607	45967	12771473
16	12771473	2	40	484714954	37.95	40	40	40	0	40	40	3595104	2709032	2628329	3793041	45967	12771473
17	12771473	2	40	484536286	37.94	40	40	40	0	40	40	3400317	2901851	2576156	3847182	45967	12771473
18	12771473	2	40	484719518	37.95	40	40	40	0	40	40	3712366	2869810	2414128	3729202	45967	12771473
19	12771473	2	40	485253458	38.00	40	40	40	0	40	40	3567352	2678265	2628427	3851462	45967	12771473
20	12771473	2	40	485107514	37.98	40	40	40	0	40	40	3670483	2730052	2521666	3803305	45967	12771473
21	12771473	2	40	485430446	38.01	40	40	40	0	40	40	3525087	2858642	2574905	3766872	45967	12771473
22	12771473	2	40	485632066	38.02	40	40	40	0	40	40	3677107	2655044	2562468	3830887	45967	12771473
23	12771473	2	40	485660070	38.03	40	40	40	0	40	40	3470664	2897048	2510177	3847579	46005	12771473
24	12771473	2	40	485551354	38.02	40	40	40	0	40	40	3417173	3029777	2448305	3830147	46071	12771473
25	12771473	2	40	485570944	38.02	40	40	40	0	40	40	3569941	2673215	2502350	3979831	46136	12771473
26	12771473	2	40	485155048	37.99	40	40	40	0	40	40	3414014	2792307	2481536	4037394	46222	12771473
27	12771473	2	40	485273956	38.00	40	40	40	0	40	40	3563681	2816317	2527227	3817942	46306	12771473
28	12771473	2	40	485119414	37.98	40	40	40	0	40	40	3492409	2789038	2467620	3975997	46409	12771473
