column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	8485568	2	40	321069468	37.84	40	40	40	0	40	40	998390	2968430	3872094	609554	37100	8485568
2	8485568	2	40	305027404	35.95	40	40	40	0	40	40	1116025	2259408	2296113	2756684	57338	8485568
3	8485568	2	40	303963344	35.82	40	40	40	0	40	40	1406736	2928370	1721268	2392094	37100	8485568
4	8485568	2	40	307735576	36.27	40	40	40	0	40	40	1918826	2345739	2047861	2136042	37100	8485568
5	8485568	2	40	308335716	36.34	40	40	40	0	40	40	2215517	1864408	2136999	2231544	37100	8485568
6	8485568	2	40	313682600	36.97	40	40	40	0	40	40	2443686	1774019	1984160	2246603	37100	8485568
7	8485568	2	40	315378852	37.17	40	40	40	0	40	40	1836896	1512340	1520952	3578280	37100	8485568
8	8485568	2	40	317275800	37.39	40	40	40	0	40	40	1939309	2127098	1664275	2717786	37100	8485568
9	8485568	2	40	318760212	37.56	40	40	40	0	40	40	1682410	2010164	1657941	3097953	37100	8485568
10	8485568	2	40	317554028	37.42	40	40	40	0	40	40	2804903	1561123	1801407	2281035	37100	8485568
11	8485568	2	40	318488932	37.53	40	40	40	0	40	40	2114978	2146211	2177839	1985918	60622	8485568
12	8485568	2	40	319966440	37.71	40	40	40	0	40	40	1789178	2265204	2030057	2364029	37100	8485568
13	8485568	2	40	320592472	37.78	40	40	40	0	40	40	2070696	1935766	1970437	2471569	37100	8485568
14	8485568	2	40	320466488	37.77	40	40	40	0	40	40	2099650	1948038	1901298	2499482	37100	8485568
15	8485568	2	40	320549576	37.78	40	40	40	0	40	40	2036656	2128302	1886571	2396939	37100	8485568
16	8485568	2	40	321508324	37.89	40	40	40	0	40	40	2086375	2107924	1988061	2266108	37100	8485568
17	8485568	2	40	321261600	37.86	40	40	40	0	40	40	2121816	2080365	1915980	2330307	37100	8485568
18	8485568	2	40	321349576	37.87	40	40	40	0	40	40	2083273	2179056	1898195	2287944	37100	8485568
19	8485568	2	40	321736332	37.92	40	40	40	0	40	40	2088408	2098963	1999761	2261336	37100	8485568
20	8485568	2	40	321588468	37.90	40	40	40	0	40	40	2173851	2038951	1946969	2288697	37100	8485568
21	8485568	2	40	321824972	37.93	40	40	40	0	40	40	2065167	2122450	1937888	2322963	37100	8485568
22	8485568	2	40	321909860	37.94	40	40	40	0	40	40	2140163	2079081	2021099	2208125	37100	8485568
23	8485568	2	40	321979932	37.94	40	40	40	0	40	40	2121762	2025118	1984929	2316619	37140	8485568
24	8485568	2	40	321871378	37.93	40	40	40	0	40	40	2022900	2183134	1924122	2318201	37211	8485568
25	8485568	2	40	321901576	37.94	40	40	40	0	40	40	2083602	2075631	1988497	2300550	37288	8485568
26	8485568	2	40	321626248	37.90	40	40	40	0	40	40	2099806	2077228	1930151	2341005	37378	8485568
27	8485568	2	40	321548896	37.89	40	40	40	0	40	40	2038301	2146769	1912662	2350364	37472	8485568
28	8485568	2	40	321435582	37.88	40	40	40	0	40	40	2088570	2138741	1934807	2285865	37585	8485568
29	8485568	2	40	321454310	37.88	40	40	40	0	40	40	2093998	2018394	1962682	2372757	37737	8485568
30	8485568	2	40	321196326	37.85	40	40	40	0	40	40	1996995	2185934	1903771	2360981	37887	8485568
31	8485568	2	40	321334486	37.87	40	40	40	0	40	40	2076462	2121302	1982671	2267034	38099	8485568
32	8485568	2	40	321112710	37.84	40	40	40	0	40	40	2071749	2074857	1931145	2369530	38287	8485568
33	8485568	2	40	317982164	37.47	40	40	40	0	40	40	1996743	2155869	1882495	2330745	119716	8485568
34	8485568	2	40	320741964	37.80	40	40	40	0	40	40	2081763	2142859	1961541	2260087	39318	8485568
35	8485568	2	40	320948438	37.82	40	40	40	0	40	40	2090076	2072662	1949955	2333028	39847	8485568
