column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	16736408	2	40	631380090	37.72	40	40	40	0	40	40	1810956	5237172	8494813	1105910	87557	16736408
2	16736408	2	40	600837346	35.90	40	40	40	0	40	40	2051089	4829514	4107061	5624077	124667	16736408
3	16736408	2	40	596995638	35.67	40	40	40	0	40	40	2917265	5614180	3443045	4674361	87557	16736408
4	16736408	2	40	606023302	36.21	40	40	40	0	40	40	3875336	4370266	4280293	4122956	87557	16736408
5	16736408	2	40	607663302	36.31	40	40	40	0	40	40	4402620	3616190	4335110	4294931	87557	16736408
6	16736408	2	40	618525122	36.96	40	40	40	0	40	40	4854173	3542462	3845387	4406829	87557	16736408
7	16736408	2	40	620922334	37.10	40	40	40	0	40	40	3519636	2886751	2908409	7334055	87557	16736408
8	16736408	2	40	627487226	37.49	40	40	40	0	40	40	3709709	4108959	3270595	5559588	87557	16736408
9	16736408	2	40	629305582	37.60	40	40	40	0	40	40	3256287	4080203	3235067	6077294	87557	16736408
10	16736408	2	40	627354554	37.48	40	40	40	0	40	40	5552375	2986112	3448355	4662009	87557	16736408
11	16736408	2	40	629065902	37.59	40	40	40	0	40	40	4109943	4220298	4220077	4056271	129819	16736408
12	16736408	2	40	631832638	37.75	40	40	40	0	40	40	3539492	4426792	3827209	4855358	87557	16736408
13	16736408	2	40	633020578	37.82	40	40	40	0	40	40	4090582	3703824	3691696	5162749	87557	16736408
14	16736408	2	40	632619930	37.80	40	40	40	0	40	40	4046007	3745431	3576982	5280431	87557	16736408
15	16736408	2	40	633274262	37.84	40	40	40	0	40	40	4005493	4060488	3621885	4960985	87557	16736408
16	16736408	2	40	634626574	37.92	40	40	40	0	40	40	4023760	4009903	3777560	4837628	87557	16736408
17	16736408	2	40	634418730	37.91	40	40	40	0	40	40	4117478	4006824	3678897	4845652	87557	16736408
18	16736408	2	40	634588646	37.92	40	40	40	0	40	40	4044001	4095910	3786397	4722543	87557	16736408
19	16736408	2	40	635428582	37.97	40	40	40	0	40	40	4124397	4036305	3842673	4645476	87557	16736408
20	16736408	2	40	635289286	37.96	40	40	40	0	40	40	4217255	3906258	3724698	4800640	87557	16736408
21	16736408	2	40	635565310	37.98	40	40	40	0	40	40	4049025	4060741	3635638	4903447	87557	16736408
22	16736408	2	40	635809306	37.99	40	40	40	0	40	40	4195875	3928111	3853111	4671754	87557	16736408
23	16736408	2	40	635845830	37.99	40	40	40	0	40	40	4090092	3946478	3801438	4810795	87605	16736408
24	16736408	2	40	635527250	37.97	40	40	40	0	40	40	3957642	4167747	3750406	4772826	87787	16736408
25	16736408	2	40	635745520	37.99	40	40	40	0	40	40	3997477	4057468	3859410	4734155	87898	16736408
26	16736408	2	40	635114752	37.95	40	40	40	0	40	40	4095981	4028230	3656738	4867419	88040	16736408
27	16736408	2	40	635108932	37.95	40	40	40	0	40	40	3922031	4209819	3636949	4879403	88206	16736408
28	16736408	2	40	634940922	37.94	40	40	40	0	40	40	4001108	4111919	3716344	4818632	88405	16736408
29	16736408	2	40	635014694	37.94	40	40	40	0	40	40	4030925	3974442	3647578	4994856	88607	16736408
30	16736408	2	40	634431766	37.91	40	40	40	0	40	40	3858915	4307236	3625861	4855523	88873	16736408
31	16736408	2	40	634939156	37.94	40	40	40	0	40	40	4098738	4076035	3783269	4689182	89184	16736408
32	16736408	2	40	634582016	37.92	40	40	40	0	40	40	3998807	4104468	3724166	4819353	89614	16736408
33	16736408	2	40	628334944	37.54	40	40	40	0	40	40	3928662	4173134	3602774	4776556	255282	16736408
34	16736408	2	40	634171712	37.89	40	40	40	0	40	40	4105698	4086670	3854837	4597631	91572	16736408
35	16736408	2	40	634408960	37.91	40	40	40	0	40	40	4059723	4087419	3775254	4721326	92686	16736408
36	16642688	12	40	632877716	38.03	40	40	40	0	40	40	4036053	4206981	3745292	4654362	0	16736408
