column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	11950579	2	40	454354374	38.02	40	40	40	0	40	40	982056	6092913	4075724	787119	12767	11950579
2	11950579	2	40	430440804	36.02	40	40	40	0	40	40	1230981	4548085	2354954	3776783	39776	11950579
3	11950579	2	40	422189614	35.33	24	40	40	16	2	40	1533447	5414396	2544060	2445909	12767	11950579
4	11950579	2	40	429883914	35.97	40	40	40	0	40	40	2052963	4273766	3351904	2259179	12767	11950579
5	11950579	2	40	431183198	36.08	40	40	40	0	40	40	2841304	3096142	3318704	2681662	12767	11950579
6	11950579	2	40	439655650	36.79	40	40	40	0	40	40	3513722	2859823	2772286	2791981	12767	11950579
7	11950579	2	40	441635762	36.96	40	40	40	0	40	40	2600613	2499945	1999243	4838011	12767	11950579
8	11950579	2	40	447205910	37.42	40	40	40	0	40	40	2401589	3322106	2433330	3780787	12767	11950579
9	11950579	2	40	448861210	37.56	40	40	40	0	40	40	2076767	3113196	2486583	4261266	12767	11950579
10	11950579	2	40	447110758	37.41	40	40	40	0	40	40	3858559	2429300	2238658	3411295	12767	11950579
11	11950579	2	40	449270212	37.59	40	40	40	0	40	40	3170234	3233632	2583243	2920106	43364	11950579
12	11950579	2	40	451456286	37.78	40	40	40	0	40	40	2565667	2939979	2543771	3888395	12767	11950579
13	11950579	2	40	452194234	37.84	40	40	40	0	40	40	2793128	2936880	2415387	3792417	12767	11950579
14	11950579	2	40	452340302	37.85	40	40	40	0	40	40	2930790	3333415	2303406	3370201	12767	11950579
15	11950579	2	40	452684154	37.88	40	40	40	0	40	40	3065316	3133895	2311716	3426885	12767	11950579
16	11950579	2	40	454344398	38.02	40	40	40	0	40	40	2695991	3499842	2585845	3156134	12767	11950579
17	11950579	2	40	453811510	37.97	40	40	40	0	40	40	2719956	3426840	2672124	3118892	12767	11950579
18	11950579	2	40	453921586	37.98	40	40	40	0	40	40	2785414	3191216	3023405	2937777	12767	11950579
19	11950579	2	40	454748138	38.05	40	40	40	0	40	40	2551099	3466943	2796149	3123621	12767	11950579
20	11950579	2	40	454486862	38.03	40	40	40	0	40	40	3157788	2839835	2988451	2951738	12767	11950579
21	11950579	2	40	454590394	38.04	40	40	40	0	40	40	2812179	3105977	2810521	3209135	12767	11950579
22	11950579	2	40	454764366	38.05	40	40	40	0	40	40	2912795	3140467	2661728	3222822	12767	11950579
23	11950579	2	40	454864730	38.06	40	40	40	0	40	40	2980900	2979208	2386058	3591460	12953	11950579
24	11950579	2	40	454764886	38.05	40	40	40	0	40	40	2741805	3050229	2519205	3626303	13037	11950579
25	11950579	2	40	455039210	38.08	40	40	40	0	40	40	2654224	3186062	2565784	3531322	13187	11950579
26	11950579	2	40	454497786	38.03	40	40	40	0	40	40	2684338	3109050	2808938	3334980	13273	11950579
27	11950579	2	40	454856692	38.06	40	40	40	0	40	40	2415059	3022508	2994650	3504944	13418	11950579
28	11950579	2	40	454519090	38.03	40	40	40	0	40	40	2684621	3004471	2914727	3333067	13693	11950579
29	11950579	2	40	453878208	37.98	40	40	40	0	40	40	2912977	2799871	2893477	3329852	14402	11950579
30	11950579	2	40	453638568	37.96	40	40	40	0	40	40	2676849	3124310	2461918	3672478	15024	11950579
31	11950579	2	40	454337150	38.02	40	40	40	0	40	40	2537604	3136682	2748300	3512164	15829	11950579
32	11950579	2	40	453901892	37.98	40	40	40	0	40	40	2725143	3115872	2708361	3384251	16952	11950579
33	11950579	2	40	449439566	37.61	40	40	40	0	40	40	2497841	3202545	2600752	3509072	140369	11950579
34	11950579	2	40	453422172	37.94	40	40	40	0	40	40	2659158	3275519	2889668	3103886	22348	11950579
35	11950579	2	40	453344760	37.93	40	40	40	0	40	40	2650657	3407600	2755712	3109404	27206	11950579
36	11919579	12	40	451935560	37.92	40	40	40	0	40	40	2873866	3210889	2607077	3227747	0	11950579
37	11914224	12	40	452059200	37.94	40	40	40	0	40	40	2762335	3229538	2444423	3477928	0	11950579
38	11909425	12	40	451974400	37.95	40	40	40	0	40	40	3026661	2945056	2406867	3530841	0	11950579
39	11902709	12	40	451060252	37.90	40	40	40	0	40	40	3085712	3297254	2344398	3175345	0	11950579
40	11895653	12	40	451079564	37.92	40	40	40	0	40	40	2923001	3415496	2271635	3285521	0	11950579
41	11888046	12	40	451009668	37.94	40	40	40	0	40	40	2759305	3037885	2426073	3664783	0	11950579
42	11879450	12	40	450177140	37.90	40	40	40	0	40	40	3161243	2972173	2484155	3261879	0	11950579
43	11870222	12	40	450174548	37.92	40	40	40	0	40	40	2894836	3020555	2813796	3141035	0	11950579
44	11860089	12	40	449717404	37.92	40	40	40	0	40	40	2810438	3008779	2708630	3332242	0	11950579
45	11849742	12	40	448794292	37.87	40	40	40	0	40	40	3303084	3034635	2460362	3051661	0	11950579
46	11839295	12	40	448531076	37.88	40	40	40	0	40	40	3241817	3088091	2585050	2924337	0	11950579
47	11828920	12	40	448376600	37.91	40	40	40	0	40	40	2918974	3059632	2487906	3362408	0	11950579
48	11818560	12	40	447866240	37.90	40	40	40	0	40	40	2798382	3217882	2397555	3404741	0	11950579
49	11807732	2	40	445802062	37.76	40	40	40	0	40	40	2711520	3510510	2428231	3121006	36465	11950579
50	11795563	12	40	446585948	37.86	40	40	40	0	40	40	2751883	3606808	2302161	3134711	0	11950579
51	11782208	12	40	446422560	37.89	40	40	40	0	40	40	3094456	3050979	2471763	3165010	0	11950579
52	11767359	12	40	445598392	37.87	40	40	40	0	40	40	2880555	3119766	2578514	3188524	0	11950579
53	11752630	12	40	445250580	37.89	40	40	40	0	40	40	2750185	3275217	2415816	3311412	0	11950579
54	11738017	12	40	444003080	37.83	40	40	40	0	40	40	2690557	3181938	2339700	3525822	0	11950579
55	11721841	12	40	443799092	37.86	40	40	40	0	40	40	2657849	3104030	2412916	3547046	0	11950579
56	11706825	12	40	442685772	37.81	40	40	40	0	40	40	2762376	3399544	2358611	3186294	0	11950579
57	11692325	12	40	441982448	37.80	40	40	40	0	40	40	2733778	3207150	2390343	3361054	0	11950579
58	11677367	12	40	441899060	37.84	40	40	40	0	40	40	2624534	3020876	2547569	3484388	0	11950579
59	11661103	12	40	441501252	37.86	40	40	40	0	40	40	2410992	3008160	2738550	3503401	0	11950579
60	11643874	12	40	440284620	37.81	40	40	40	0	40	40	2703930	2973596	2620776	3345572	0	11950579
61	11623675	12	40	439676988	37.83	40	40	40	0	40	40	2951845	2818685	2668780	3184365	0	11950579
62	11602875	12	40	439246444	37.86	40	40	40	0	40	40	2657856	2779048	2987480	3178491	0	11950579
63	11581145	12	40	438581120	37.87	40	40	40	0	40	40	2487652	3037426	2834500	3221567	0	11950579
64	11560137	12	40	438013768	37.89	40	40	40	0	40	40	2517815	3183118	2622318	3236886	0	11950579
65	11538399	12	40	436321720	37.81	40	40	40	0	40	40	2613509	3139332	2652029	3133529	0	11950579
66	11517266	12	40	435291784	37.79	40	40	40	0	40	40	2788029	2861629	2676722	3190886	0	11950579
67	11494500	12	40	434073412	37.76	40	40	40	0	40	40	2439146	3008111	2666413	3380830	0	11950579
68	11470505	12	40	434649228	37.89	40	40	40	0	40	40	2355579	2787252	2765111	3562563	0	11950579
69	11444374	12	40	433684016	37.89	40	40	40	0	40	40	2362474	2866304	2358908	3856688	0	11950579
70	11415951	12	40	432150868	37.86	40	40	40	0	40	40	2429847	3089461	2439989	3456654	0	11950579
71	11387061	12	40	431327712	37.88	40	40	40	0	40	40	2596212	3098140	2352562	3340147	0	11950579
72	11353636	12	40	429627660	37.84	40	40	40	0	40	40	2748069	3011393	2407409	3186765	0	11950579
73	11320579	12	40	428696328	37.87	40	40	40	0	40	40	2571794	3141850	2728703	2878232	0	11950579
74	11285270	12	40	426894772	37.83	40	40	40	0	40	40	2599647	3320200	2604078	2761345	0	11950579
75	11249355	12	40	424944296	37.77	40	40	40	0	40	40	2631510	3252514	2482273	2883058	0	11950579
76	11206962	12	40	424106108	37.84	40	40	40	0	40	40	2527984	2903477	2594066	3181435	0	11950579
77	11161765	2	40	419896466	37.62	40	40	40	0	40	40	2653013	3028796	2329483	3122008	28465	11950579
78	11118279	12	40	419835392	37.76	40	40	40	0	40	40	2649998	3176405	2234018	3057858	0	11950579
79	11071894	12	40	418456348	37.79	40	40	40	0	40	40	2862270	3000156	2189035	3020433	0	11950579
80	11024419	12	40	416207072	37.75	40	40	40	0	40	40	2856225	2878796	2438203	2851195	0	11950579
81	10973395	12	40	414502888	37.77	40	40	40	0	40	40	2670146	3158460	2167364	2977425	0	11950579
82	10919160	2	40	411786074	37.71	40	40	40	0	40	40	2621177	3330506	2226848	2740628	1	11950579
83	10864446	12	40	410634416	37.80	40	40	40	0	40	40	2528764	3192960	2386754	2755968	0	11950579
84	10802392	12	40	407965684	37.77	40	40	40	0	40	40	2588724	2933466	2588660	2691542	0	11950579
85	10744808	12	40	405739560	37.76	40	40	40	0	40	40	2929396	2892796	2288959	2633657	0	11950579
86	10683124	12	40	403008172	37.72	40	40	40	0	40	40	2939849	2894854	2227214	2621207	0	11950579
87	10620339	12	40	400537600	37.71	40	40	40	0	40	40	2675997	3060481	2100014	2783847	0	11950579
88	10553246	12	40	398222396	37.73	40	40	40	0	40	40	2476138	2813137	2300965	2963006	0	11950579
