column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	9997141	2	40	378910878	37.90	40	40	40	0	40	40	1118321	3367097	4880987	597489	33247	9997141
2	9997141	2	40	361411016	36.15	40	40	40	0	40	40	1293202	2768201	2795289	3083445	57004	9997141
3	9997141	2	40	360498074	36.06	40	40	40	0	40	40	1706464	3357062	2103623	2796745	33247	9997141
4	9997141	2	40	364190854	36.43	40	40	40	0	40	40	2229481	2819034	2498554	2416825	33247	9997141
5	9997141	2	40	363981342	36.41	40	40	40	0	40	40	2493976	2356577	2551640	2561701	33247	9997141
6	9997141	2	40	370082662	37.02	40	40	40	0	40	40	2687339	2282513	2434620	2559422	33247	9997141
7	9997141	2	40	370547846	37.07	40	40	40	0	40	40	1837767	2066461	1820859	4238807	33247	9997141
8	9997141	2	40	374548222	37.47	40	40	40	0	40	40	1955887	2827542	1979382	3201083	33247	9997141
9	9997141	2	40	375484446	37.56	40	40	40	0	40	40	1766294	2693748	2083945	3419907	33247	9997141
10	9997141	2	40	374161418	37.43	40	40	40	0	40	40	2976609	2045051	2376969	2565265	33247	9997141
11	9997141	2	40	375202554	37.53	40	40	40	0	40	40	2124576	2840894	2739015	2232021	60635	9997141
12	9997141	2	40	376765742	37.69	40	40	40	0	40	40	1867584	2896147	2568644	2631519	33247	9997141
13	9997141	2	40	377514166	37.76	40	40	40	0	40	40	2255441	2463362	2456907	2788184	33247	9997141
14	9997141	2	40	377187390	37.73	40	40	40	0	40	40	2233362	2522761	2354640	2853131	33247	9997141
15	9997141	2	40	377547518	37.77	40	40	40	0	40	40	2137223	2713839	2368368	2744464	33247	9997141
16	9997141	2	40	378718702	37.88	40	40	40	0	40	40	2204073	2648104	2486409	2625308	33247	9997141
17	9997141	2	40	378406534	37.85	40	40	40	0	40	40	2249394	2680517	2408989	2624994	33247	9997141
18	9997141	2	40	378386158	37.85	40	40	40	0	40	40	2223521	2695382	2506216	2538775	33247	9997141
19	9997141	2	40	378887858	37.90	40	40	40	0	40	40	2214882	2679273	2554240	2515499	33247	9997141
20	9997141	2	40	378792566	37.89	40	40	40	0	40	40	2372073	2518006	2470194	2603621	33247	9997141
21	9997141	2	40	379005006	37.91	40	40	40	0	40	40	2183403	2601131	2524939	2654421	33247	9997141
22	9997141	2	40	379102922	37.92	40	40	40	0	40	40	2291137	2547900	2565169	2559688	33247	9997141
23	9997141	2	40	379111168	37.92	40	40	40	0	40	40	2255461	2535216	2514160	2658990	33314	9997141
24	9997141	2	40	378737026	37.88	40	40	40	0	40	40	2178634	2718276	2461429	2605383	33419	9997141
25	9997141	2	40	378965518	37.91	40	40	40	0	40	40	2259552	2614429	2511187	2578428	33545	9997141
26	9997141	2	40	378651952	37.88	40	40	40	0	40	40	2321887	2644274	2339907	2657377	33696	9997141
27	9997141	2	40	378325874	37.84	40	40	40	0	40	40	2185906	2718428	2402277	2656655	33875	9997141
28	9997141	2	40	378187820	37.83	40	40	40	0	40	40	2223257	2719850	2366145	2653781	34108	9997141
29	9997141	2	40	378284016	37.84	40	40	40	0	40	40	2181829	2590681	2413086	2777185	34360	9997141
30	9997141	2	40	377913224	37.80	40	40	40	0	40	40	2082569	2765961	2389007	2724932	34672	9997141
31	9997141	2	40	378023934	37.81	40	40	40	0	40	40	2193210	2622375	2473032	2673455	35069	9997141
32	9997141	2	40	377391396	37.75	40	40	40	0	40	40	2179884	2737839	2335479	2708377	35562	9997141
33	9997141	2	40	373803792	37.39	40	40	40	0	40	40	2102637	2742596	2389016	2631854	131038	9997141
34	9997141	2	40	376961374	37.71	40	40	40	0	40	40	2164189	2824071	2462701	2508451	37729	9997141
35	9997141	2	40	377390272	37.75	40	40	40	0	40	40	2220978	2674503	2438587	2624055	39018	9997141
36	9956913	12	40	376463396	37.81	40	40	40	0	40	40	2175478	2733715	2464017	2583703	0	9997141
37	9955385	12	40	376630868	37.83	40	40	40	0	40	40	2302989	2651282	2436348	2564766	0	9997141
38	9953740	12	40	376320084	37.81	40	40	40	0	40	40	2349094	2593420	2385495	2625731	0	9997141
39	9952088	12	40	375717296	37.75	40	40	40	0	40	40	2255741	2725392	2400483	2570472	0	9997141
40	9950463	12	40	375935772	37.78	40	40	40	0	40	40	2210905	2702044	2492359	2545155	0	9997141
41	9949011	12	40	375749628	37.77	40	40	40	0	40	40	2203105	2647363	2456640	2641903	0	9997141
42	9947439	12	40	375399444	37.74	40	40	40	0	40	40	2171590	2781236	2435078	2559535	0	9997141
43	9945683	12	40	375599676	37.77	40	40	40	0	40	40	2170017	2741297	2486313	2548056	0	9997141
44	9943927	12	40	375255780	37.74	40	40	40	0	40	40	2173600	2696141	2355198	2718988	0	9997141
45	9942174	12	40	375088332	37.73	40	40	40	0	40	40	2124522	2841464	2286717	2689471	0	9997141
46	9940482	12	40	374750848	37.70	40	40	40	0	40	40	2175296	2808222	2341606	2615358	0	9997141
47	9938746	12	40	374647748	37.70	40	40	40	0	40	40	2161360	2700536	2432859	2643991	0	9997141
48	9936971	12	40	374380072	37.68	40	40	40	0	40	40	2137345	2769463	2358756	2671407	0	9997141
49	9935106	2	40	372954690	37.54	40	40	40	0	40	40	2186185	2765089	2361978	2589413	32441	9997141
50	9932839	12	40	374086752	37.66	40	40	40	0	40	40	2172951	2771416	2383617	2604855	0	9997141
51	9930233	12	40	374090688	37.67	40	40	40	0	40	40	2143463	2938268	2249784	2598718	0	9997141
52	9927109	12	40	373981828	37.67	40	40	40	0	40	40	2154465	2791161	2415705	2565778	0	9997141
53	9924299	12	40	373597980	37.64	40	40	40	0	40	40	2159671	2788000	2267083	2709545	0	9997141
54	9921267	12	40	373147676	37.61	40	40	40	0	40	40	2105097	2892029	2280239	2643902	0	9997141
55	9918259	12	40	373222696	37.63	40	40	40	0	40	40	2173543	2870803	2336576	2537337	0	9997141
56	9915332	12	40	372952400	37.61	40	40	40	0	40	40	2208433	2870756	2254429	2581714	0	9997141
57	9912421	12	40	372566248	37.59	40	40	40	0	40	40	2080589	2927131	2306359	2598342	0	9997141
58	9909574	12	40	372705508	37.61	40	40	40	0	40	40	2171210	2854796	2302679	2580889	0	9997141
59	9906500	12	40	372426980	37.59	40	40	40	0	40	40	2201946	2725083	2281706	2697765	0	9997141
60	9903112	12	40	372210732	37.59	40	40	40	0	40	40	2178991	2859460	2289260	2575401	0	9997141
61	9899432	12	40	371994340	37.58	40	40	40	0	40	40	2211267	2805012	2367960	2515193	0	9997141
62	9895135	12	40	371604564	37.55	40	40	40	0	40	40	2188811	2712809	2267704	2725811	0	9997141
63	9890320	12	40	371616944	37.57	40	40	40	0	40	40	2093862	2742483	2314761	2739214	0	9997141
64	9884877	12	40	371475084	37.58	40	40	40	0	40	40	2146024	2740201	2370791	2627861	0	9997141
65	9879135	12	40	371229536	37.58	40	40	40	0	40	40	2206555	2642633	2343435	2686512	0	9997141
66	9873181	12	40	370573360	37.53	40	40	40	0	40	40	2154424	2746123	2358944	2613690	0	9997141
67	9866952	12	40	370509676	37.55	40	40	40	0	40	40	2177827	2658261	2435143	2595721	0	9997141
68	9860536	12	40	370386760	37.56	40	40	40	0	40	40	2175362	2607178	2370778	2707218	0	9997141
69	9853438	12	40	369881256	37.54	40	40	40	0	40	40	2094988	2829975	2299991	2628484	0	9997141
70	9845730	12	40	369497248	37.53	40	40	40	0	40	40	2217974	2670071	2422315	2535370	0	9997141
71	9837036	12	40	368657576	37.48	40	40	40	0	40	40	2158653	2744359	2352429	2581595	0	9997141
72	9826945	12	40	368324220	37.48	40	40	40	0	40	40	2144392	2723195	2329309	2630049	0	9997141
73	9815852	12	40	367952908	37.49	40	40	40	0	40	40	2143753	2634172	2458572	2579355	0	9997141
74	9803320	12	40	367300316	37.47	40	40	40	0	40	40	2186697	2610388	2457099	2549136	0	9997141
75	9789516	12	40	366515908	37.44	40	40	40	0	40	40	2146413	2800672	2376055	2466376	0	9997141
76	9774765	12	40	366371876	37.48	40	40	40	0	40	40	2139136	2695332	2449623	2490674	0	9997141
77	9759739	2	40	364063650	37.30	40	40	40	0	40	40	2136170	2772237	2256504	2571389	23439	9997141
78	9743551	12	40	364786244	37.44	40	40	40	0	40	40	2189434	2670588	2211440	2672089	0	9997141
79	9726249	12	40	364222928	37.45	40	40	40	0	40	40	2150396	2714177	2245080	2616596	0	9997141
80	9708367	12	40	363389076	37.43	40	40	40	0	40	40	2251785	2641699	2274150	2540733	0	9997141
81	9688453	12	40	362388576	37.40	40	40	40	0	40	40	2137635	2906315	2190722	2453781	0	9997141
82	9666132	12	40	361424068	37.39	40	40	40	0	40	40	2177523	2754132	2247238	2487239	0	9997141
