column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	11378223	2	40	430004690	37.79	40	40	40	0	40	40	1262011	3575309	5742179	752123	46601	11378223
2	11378223	2	40	413390132	36.33	40	40	40	0	40	40	1397176	3316376	2745345	3846494	72832	11378223
3	11378223	2	40	411266358	36.15	40	40	40	0	40	40	2013374	3912986	2222738	3182524	46601	11378223
4	11378223	2	40	416279050	36.59	40	40	40	0	40	40	2680158	3043823	2773428	2834213	46601	11378223
5	11378223	2	40	416193170	36.58	40	40	40	0	40	40	3191855	2384564	2795094	2960109	46601	11378223
6	11378223	2	40	422655246	37.15	40	40	40	0	40	40	3523609	2292382	2454615	3061016	46601	11378223
7	11378223	2	40	424422026	37.30	40	40	40	0	40	40	2643547	1810498	1851324	5026253	46601	11378223
8	11378223	2	40	426700150	37.50	40	40	40	0	40	40	2746546	2623426	2145241	3816409	46601	11378223
9	11378223	2	40	428573258	37.67	40	40	40	0	40	40	2423903	2536301	2080680	4290738	46601	11378223
10	11378223	2	40	426877922	37.52	40	40	40	0	40	40	4055716	1914423	2206650	3154833	46601	11378223
11	11378223	2	40	428267086	37.64	40	40	40	0	40	40	3111692	2689291	2703418	2796669	77153	11378223
12	11378223	2	40	429947934	37.79	40	40	40	0	40	40	2621330	2809718	2538275	3362299	46601	11378223
13	11378223	2	40	430730474	37.86	40	40	40	0	40	40	2999025	2411734	2413700	3507163	46601	11378223
14	11378223	2	40	430229518	37.81	40	40	40	0	40	40	3035863	2446466	2315604	3533689	46601	11378223
15	11378223	2	40	430654730	37.85	40	40	40	0	40	40	2950047	2597182	2365028	3419365	46601	11378223
16	11378223	2	40	431663102	37.94	40	40	40	0	40	40	3016880	2548589	2485234	3280919	46601	11378223
17	11378223	2	40	431276818	37.90	40	40	40	0	40	40	3041686	2585972	2423823	3280141	46601	11378223
18	11378223	2	40	431440162	37.92	40	40	40	0	40	40	3017735	2686569	2358481	3268837	46601	11378223
19	11378223	2	40	432047822	37.97	40	40	40	0	40	40	3060168	2579214	2464742	3227498	46601	11378223
20	11378223	2	40	431942178	37.96	40	40	40	0	40	40	3084374	2566585	2406567	3274096	46601	11378223
21	11378223	2	40	432138922	37.98	40	40	40	0	40	40	3009508	2668367	2361728	3292019	46601	11378223
22	11378223	2	40	432366182	38.00	40	40	40	0	40	40	3119446	2585577	2458299	3168300	46601	11378223
23	11378223	2	40	432394206	38.00	40	40	40	0	40	40	3059713	2608902	2388032	3274947	46629	11378223
24	11378223	2	40	432196226	37.98	40	40	40	0	40	40	2939102	2721318	2393995	3277065	46743	11378223
25	11378223	2	40	432337414	38.00	40	40	40	0	40	40	3009055	2627597	2451075	3243667	46829	11378223
26	11378223	2	40	432014972	37.97	40	40	40	0	40	40	3000355	2580373	2401259	3349318	46918	11378223
27	11378223	2	40	431970184	37.96	40	40	40	0	40	40	2954307	2681245	2365699	3329974	46998	11378223
28	11378223	2	40	431953868	37.96	40	40	40	0	40	40	3028002	2616866	2447943	3238304	47108	11378223
29	11378223	2	40	431984588	37.97	40	40	40	0	40	40	3022695	2571648	2428955	3307697	47228	11378223
30	11378223	2	40	431489020	37.92	40	40	40	0	40	40	2951727	2762312	2358002	3258806	47376	11378223
31	11378223	2	40	431872266	37.96	40	40	40	0	40	40	3047399	2652435	2458407	3172413	47569	11378223
32	11378223	2	40	431702714	37.94	40	40	40	0	40	40	3017492	2586435	2415802	3310671	47823	11378223
33	11378223	2	40	427576356	37.58	40	40	40	0	40	40	2932947	2706709	2371916	3210913	155738	11378223
34	11378223	2	40	431479378	37.92	40	40	40	0	40	40	3068262	2624886	2477394	3158730	48951	11378223
35	11378223	2	40	431626204	37.93	40	40	40	0	40	40	3062560	2599688	2404124	3262205	49646	11378223
36	11327936	12	40	430566860	38.01	40	40	40	0	40	40	2982194	2706203	2408440	3231099	0	11378223
37	11327198	12	40	430830584	38.04	40	40	40	0	40	40	3060255	2624549	2487582	3154812	0	11378223
38	11326451	12	40	430651820	38.02	40	40	40	0	40	40	3041462	2626837	2393060	3265092	0	11378223
39	11325711	12	40	430346228	38.00	40	40	40	0	40	40	2937902	2736047	2388623	3263139	0	11378223
40	11325012	12	40	430540404	38.02	40	40	40	0	40	40	3044648	2623810	2466781	3189773	0	11378223
41	11324383	12	40	430335292	38.00	40	40	40	0	40	40	3000571	2601594	2421030	3301188	0	11378223
42	11323725	12	40	430123152	37.98	40	40	40	0	40	40	2948604	2709361	2372851	3292909	0	11378223
43	11323025	12	40	430132620	37.99	40	40	40	0	40	40	3065002	2658539	2439605	3159879	0	11378223
44	11322191	12	40	429820772	37.96	40	40	40	0	40	40	3015664	2662184	2393169	3251174	0	11378223
45	11321401	12	40	429899280	37.97	40	40	40	0	40	40	2949815	2753691	2375325	3242570	0	11378223
46	11320621	12	40	429675188	37.96	40	40	40	0	40	40	3062159	2687018	2469963	3101481	0	11378223
47	11319794	12	40	429713508	37.96	40	40	40	0	40	40	3051017	2634316	2415308	3219153	0	11378223
48	11318933	12	40	429621344	37.96	40	40	40	0	40	40	2971327	2721026	2394740	3231840	0	11378223
49	11318010	2	40	428358082	37.85	40	40	40	0	40	40	3032683	2646066	2433002	3171228	35031	11378223
50	11316887	12	40	429423216	37.95	40	40	40	0	40	40	2984021	2644486	2417167	3271213	0	11378223
51	11315581	12	40	429569356	37.96	40	40	40	0	40	40	2946659	2708347	2368028	3292547	0	11378223
52	11314158	12	40	429488472	37.96	40	40	40	0	40	40	3023909	2646417	2472798	3171034	0	11378223
53	11312755	12	40	429189176	37.94	40	40	40	0	40	40	3016749	2620667	2430596	3244743	0	11378223
54	11311351	12	40	428615424	37.89	40	40	40	0	40	40	2933721	2788435	2375849	3213346	0	11378223
55	11309961	12	40	428990132	37.93	40	40	40	0	40	40	3014299	2680262	2466987	3148413	0	11378223
56	11308506	12	40	428882380	37.93	40	40	40	0	40	40	3001447	2622329	2433641	3251089	0	11378223
57	11306970	12	40	428653712	37.91	40	40	40	0	40	40	2961271	2736374	2374714	3234611	0	11378223
58	11305357	12	40	428606996	37.91	40	40	40	0	40	40	3036004	2668164	2460891	3140298	0	11378223
59	11303542	12	40	428659000	37.92	40	40	40	0	40	40	3015781	2645515	2397020	3245226	0	11378223
60	11301509	12	40	428425312	37.91	40	40	40	0	40	40	2975567	2706928	2375846	3243168	0	11378223
61	11299211	12	40	428388716	37.91	40	40	40	0	40	40	3041038	2635392	2476014	3146767	0	11378223
62	11296709	12	40	428143976	37.90	40	40	40	0	40	40	3005024	2611408	2420501	3259776	0	11378223
63	11294054	12	40	428137972	37.91	40	40	40	0	40	40	2940013	2740121	2394681	3219239	0	11378223
64	11291214	12	40	428081332	37.91	40	40	40	0	40	40	3019561	2675118	2484158	3112377	0	11378223
65	11288228	12	40	427934196	37.91	40	40	40	0	40	40	2996800	2645489	2435132	3210807	0	11378223
66	11285097	12	40	427546936	37.89	40	40	40	0	40	40	2957317	2752258	2382335	3193187	0	11378223
67	11281719	12	40	427673252	37.91	40	40	40	0	40	40	3053064	2653906	2458172	3116577	0	11378223
68	11278151	12	40	427570624	37.91	40	40	40	0	40	40	3001097	2635819	2447947	3193288	0	11378223
69	11274259	12	40	427264144	37.90	40	40	40	0	40	40	2924660	2764380	2377605	3207614	0	11378223
70	11269870	12	40	427212836	37.91	40	40	40	0	40	40	3005619	2647896	2458114	3158241	0	11378223
71	11265004	12	40	426934976	37.90	40	40	40	0	40	40	2977934	2615615	2402986	3268469	0	11378223
72	11259660	12	40	426646820	37.89	40	40	40	0	40	40	2925213	2713879	2366166	3254402	0	11378223
73	11253830	12	40	426510228	37.90	40	40	40	0	40	40	3006480	2660870	2442443	3144037	0	11378223
74	11247102	12	40	426155008	37.89	40	40	40	0	40	40	2982897	2633026	2404651	3226528	0	11378223
75	11239792	12	40	425703352	37.87	40	40	40	0	40	40	2933015	2743127	2387943	3175707	0	11378223
76	11232091	12	40	425593308	37.89	40	40	40	0	40	40	3028831	2644875	2464784	3093601	0	11378223
77	11223732	2	40	423217856	37.71	40	40	40	0	40	40	2968955	2623787	2394707	3209875	26408	11378223
78	11214905	12	40	424367228	37.84	40	40	40	0	40	40	2925817	2704373	2345861	3238854	0	11378223
79	11205689	12	40	424207024	37.86	40	40	40	0	40	40	3020041	2628728	2432945	3123975	0	11378223
80	11195481	12	40	423809196	37.86	40	40	40	0	40	40	3013989	2629815	2372069	3179608	0	11378223
81	11184260	12	40	423362584	37.85	40	40	40	0	40	40	2937876	2714250	2327311	3204823	0	11378223
82	11172046	12	40	422758060	37.84	40	40	40	0	40	40	3014711	2605259	2407855	3144221	0	11378223
83	11158594	12	40	422389124	37.85	40	40	40	0	40	40	2994390	2607685	2358049	3198470	0	11378223
84	11143460	12	40	421656996	37.84	40	40	40	0	40	40	2891391	2714459	2353466	3184144	0	11378223
85	11127041	12	40	421085620	37.84	40	40	40	0	40	40	3006838	2620079	2407056	3093068	0	11378223
86	11108952	12	40	420252776	37.83	40	40	40	0	40	40	2957146	2602205	2373569	3176032	0	11378223
87	11089793	12	40	419435372	37.82	40	40	40	0	40	40	2901170	2714486	2322297	3151840	0	11378223
88	11069698	12	40	418687304	37.82	40	40	40	0	40	40	2967275	2630735	2407415	3064273	0	11378223
89	11047832	2	40	416568688	37.71	40	40	40	0	40	40	2960855	2587478	2311528	3158565	29406	11378223
90	11024656	12	40	416697636	37.80	40	40	40	0	40	40	2901055	2663988	2308942	3150671	0	11378223
91	11000066	12	40	415961956	37.81	40	40	40	0	40	40	2952796	2595983	2388750	3062537	0	11378223
92	10972762	12	40	414748924	37.80	40	40	40	0	40	40	2946379	2564059	2333782	3128542	0	11378223
93	10942893	12	40	413426072	37.78	40	40	40	0	40	40	2878451	2663362	2303122	3097958	0	11378223
94	10911897	12	40	412041272	37.76	40	40	40	0	40	40	2939402	2575375	2356849	3040271	0	11378223
95	10878008	12	40	411044476	37.79	40	40	40	0	40	40	2916584	2509995	2309566	3141863	0	11378223
96	10841951	12	40	409408520	37.76	40	40	40	0	40	40	2843309	2612852	2275730	3110060	0	11378223
97	10804764	12	40	407975372	37.76	40	40	40	0	40	40	2959178	2508850	2341401	2995335	0	11378223
98	10765997	12	40	406318320	37.74	40	40	40	0	40	40	2892436	2473544	2304028	3095989	0	11378223
99	10725599	12	40	404586524	37.72	40	40	40	0	40	40	2840098	2582985	2258343	3044173	0	11378223
