column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	10414355	2	40	394355952	37.87	40	40	40	0	40	40	1370059	3246468	5072247	695577	30004	10414355
2	10414355	2	40	376300290	36.13	40	40	40	0	40	40	1570799	2471349	2870263	3448017	53927	10414355
3	10414355	2	40	375020620	36.01	40	40	40	0	40	40	2085918	3149690	2078065	3070678	30004	10414355
4	10414355	2	40	380574584	36.54	40	40	40	0	40	40	2614775	2598451	2470403	2700722	30004	10414355
5	10414355	2	40	380781760	36.56	40	40	40	0	40	40	2917366	2160573	2547242	2759170	30004	10414355
6	10414355	2	40	385841092	37.05	40	40	40	0	40	40	3096723	2097280	2396690	2793658	30004	10414355
7	10414355	2	40	388064660	37.26	40	40	40	0	40	40	2153464	1888467	1792212	4550208	30004	10414355
8	10414355	2	40	390816456	37.53	40	40	40	0	40	40	2296860	2681557	1959048	3446886	30004	10414355
9	10414355	2	40	390606764	37.51	40	40	40	0	40	40	2029122	2571861	2029153	3754215	30004	10414355
10	10414355	2	40	390192712	37.47	40	40	40	0	40	40	3401808	1937219	2279987	2765337	30004	10414355
11	10414355	2	40	391113158	37.56	40	40	40	0	40	40	2496901	2695900	2739612	2424145	57797	10414355
12	10414355	2	40	393034164	37.74	40	40	40	0	40	40	2174616	2784890	2484222	2940623	30004	10414355
13	10414355	2	40	393738368	37.81	40	40	40	0	40	40	2528108	2295690	2407370	3153183	30004	10414355
14	10414355	2	40	393474156	37.78	40	40	40	0	40	40	2526869	2326876	2305073	3225533	30004	10414355
15	10414355	2	40	393792108	37.81	40	40	40	0	40	40	2454316	2535413	2315861	3078761	30004	10414355
16	10414355	2	40	394822988	37.91	40	40	40	0	40	40	2504508	2508851	2416935	2954057	30004	10414355
17	10414355	2	40	394510136	37.88	40	40	40	0	40	40	2562706	2501195	2360373	2960077	30004	10414355
18	10414355	2	40	394582044	37.89	40	40	40	0	40	40	2514284	2594905	2360634	2914528	30004	10414355
19	10414355	2	40	395101964	37.94	40	40	40	0	40	40	2550702	2521954	2464939	2846756	30004	10414355
20	10414355	2	40	394877064	37.92	40	40	40	0	40	40	2594779	2458866	2387354	2943352	30004	10414355
21	10414355	2	40	394968248	37.93	40	40	40	0	40	40	2500358	2566253	2350395	2967345	30004	10414355
22	10414355	2	40	395237264	37.95	40	40	40	0	40	40	2582297	2478593	2443594	2879867	30004	10414355
