column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	9584976	2	40	356841164	37.23	40	40	40	0	40	40	836810	3265168	4745446	568296	169256	9584976
2	9584976	2	40	341711222	35.65	40	40	40	0	40	40	1060801	2719591	2724815	2888232	191537	9584976
3	9584976	2	40	339515248	35.42	40	40	40	0	40	40	1412495	3285611	2442455	2275159	169256	9584976
4	9584976	2	40	344460232	35.94	40	40	40	0	40	40	2070024	2580732	2800789	1964175	169256	9584976
5	9584976	2	40	345932568	36.09	40	40	40	0	40	40	2425242	2160928	2669516	2160034	169256	9584976
6	9584976	2	40	351115064	36.63	40	40	40	0	40	40	2691378	2035075	2449876	2239391	169256	9584976
7	9584976	2	40	351151388	36.64	40	40	40	0	40	40	1875693	1638866	2071605	3829556	169256	9584976
8	9584976	2	40	355230356	37.06	40	40	40	0	40	40	2024991	2125109	2259317	3006303	169256	9584976
9	9584976	2	40	355871236	37.13	40	40	40	0	40	40	1836352	2214688	2185581	3179099	169256	9584976
10	9584976	2	40	354997372	37.04	40	40	40	0	40	40	2991235	1599955	2349265	2475265	169256	9584976
11	9584976	2	40	356162752	37.16	40	40	40	0	40	40	2253374	2218044	2812713	2106401	194444	9584976
12	9584976	2	40	357502204	37.30	40	40	40	0	40	40	1809950	2362586	2753309	2489875	169256	9584976
13	9584976	2	40	358136924	37.36	40	40	40	0	40	40	2164785	1998427	2628379	2624129	169256	9584976
14	9584976	2	40	358284000	37.38	40	40	40	0	40	40	2095182	1983823	2584573	2752142	169256	9584976
15	9584976	2	40	358562212	37.41	40	40	40	0	40	40	2084591	2191318	2603824	2535987	169256	9584976
16	9584976	2	40	359473024	37.50	40	40	40	0	40	40	2053177	2216331	2678153	2468059	169256	9584976
17	9584976	2	40	359167980	37.47	40	40	40	0	40	40	2090746	2249195	2641839	2433940	169256	9584976
18	9584976	2	40	359311440	37.49	40	40	40	0	40	40	2103542	2196112	2820377	2295689	169256	9584976
19	9584976	2	40	359692472	37.53	40	40	40	0	40	40	2055449	2249220	2799142	2311909	169256	9584976
20	9584976	2	40	359649016	37.52	40	40	40	0	40	40	2236349	2115268	2691019	2373084	169256	9584976
21	9584976	2	40	359878876	37.55	40	40	40	0	40	40	2152501	2119168	2690254	2453797	169256	9584976
22	9584976	2	40	359744152	37.53	40	40	40	0	40	40	2189219	2044595	2824155	2357751	169256	9584976
23	9584976	2	40	359846136	37.54	40	40	40	0	40	40	2159161	2023268	2820768	2412069	169710	9584976
24	9584976	2	40	359531004	37.51	40	40	40	0	40	40	2033493	2154392	2858480	2368307	170304	9584976
25	9584976	2	40	359314680	37.49	40	40	40	0	40	40	2085586	2203223	2782534	2342589	171044	9584976
26	9584976	2	40	358475228	37.40	40	40	40	0	40	40	2182535	2172243	2631920	2426388	171890	9584976
27	9584976	2	40	357832550	37.33	40	40	40	0	40	40	2086546	2202175	2547962	2575126	173167	9584976
28	9584976	2	40	356895372	37.23	40	40	40	0	40	40	2092530	2132034	2568831	2616749	174832	9584976
29	9584976	2	40	356007064	37.14	40	40	40	0	40	40	2115000	2077073	2527729	2688332	176842	9584976
30	9584976	2	40	354407422	36.98	40	40	40	0	40	40	2090542	2362723	2426299	2526223	179189	9584976
31	9584976	2	40	353831632	36.92	40	40	40	0	40	40	2271470	2244563	2459966	2427061	181916	9584976
32	9584976	2	40	352826224	36.81	40	40	40	0	40	40	2199922	2271155	2392695	2536024	185180	9584976
33	9584976	2	40	348879908	36.40	40	40	40	0	40	40	2152186	2283707	2324636	2542569	281878	9584976
34	9584976	2	40	351589714	36.68	40	40	40	0	40	40	2195332	2335040	2414932	2443331	196341	9584976
35	9584976	2	40	351123624	36.63	40	40	40	0	40	40	2271067	2352922	2256022	2501995	202970	9584976
36	9375267	12	40	349551292	37.28	40	40	40	0	40	40	2296489	2348057	2242167	2488554	0	9584976
37	9367386	12	40	349256376	37.28	40	40	40	0	40	40	2255908	2302535	2257534	2551409	0	9584976
38	9360313	12	40	348715260	37.25	40	40	40	0	40	40	2196906	2300600	2306652	2556155	0	9584976
39	9352320	12	40	347695756	37.18	40	40	40	0	40	40	2113252	2571286	2191208	2476574	0	9584976
40	9345169	12	40	347068288	37.14	40	40	40	0	40	40	2150314	2539490	2200118	2455247	0	9584976
41	9338913	12	40	346338940	37.09	40	40	40	0	40	40	2162479	2445698	2171674	2559062	0	9584976
42	9333028	12	40	345683764	37.04	40	40	40	0	40	40	2178275	2478873	2148679	2527201	0	9584976
43	9326882	12	40	345338624	37.03	40	40	40	0	40	40	2148211	2507290	2149672	2521709	0	9584976
44	9320450	12	40	344540628	36.97	40	40	40	0	40	40	2145879	2552483	2038380	2583708	0	9584976
45	9314428	12	40	344001524	36.93	40	40	40	0	40	40	2073046	2632180	1949997	2659205	0	9584976
46	9309156	12	40	343117712	36.86	40	40	40	0	40	40	2157464	2691968	2002868	2456856	0	9584976
47	9303890	12	40	342727404	36.84	40	40	40	0	40	40	2116772	2537156	1995935	2654027	0	9584976
48	9298676	12	40	342042476	36.78	40	40	40	0	40	40	1995812	2728413	1994064	2580387	0	9584976
49	9293131	2	40	340509816	36.64	40	40	40	0	40	40	2039174	2731682	1937241	2554006	31028	9584976
50	9286875	12	40	341062144	36.73	40	40	40	0	40	40	2018005	2743650	2084960	2440260	0	9584976
51	9280331	12	40	340753144	36.72	40	40	40	0	40	40	2046453	2800917	1933335	2499626	0	9584976
52	9273077	12	40	340296052	36.70	40	40	40	0	40	40	2015285	2647940	2005352	2604500	0	9584976
53	9266318	12	40	339726444	36.66	40	40	40	0	40	40	2059956	2621276	1850320	2734766	0	9584976
54	9259906	12	40	338775024	36.59	40	40	40	0	40	40	2020160	2782341	1957054	2500351	0	9584976
55	9253179	12	40	338683992	36.60	40	40	40	0	40	40	2070115	2692230	2117509	2373325	0	9584976
56	9246674	12	40	338388664	36.60	40	40	40	0	40	40	2134893	2736195	1969002	2406584	0	9584976
57	9240332	12	40	337806508	36.56	40	40	40	0	40	40	2042809	2843549	1889172	2464802	0	9584976
58	9234320	12	40	337600404	36.56	40	40	40	0	40	40	2169830	2857608	1869214	2337668	0	9584976
59	9227295	12	40	337262976	36.55	40	40	40	0	40	40	2108318	2757181	1886541	2475255	0	9584976
60	9220018	12	40	336689984	36.52	40	40	40	0	40	40	2085287	2831415	1824045	2479271	0	9584976
61	9212494	12	40	336231572	36.50	40	40	40	0	40	40	2228141	2669678	1932190	2382485	0	9584976
62	9204832	12	40	335652776	36.46	40	40	40	0	40	40	2262916	2578990	1950505	2412421	0	9584976
63	9196133	12	40	335276196	36.46	40	40	40	0	40	40	2174059	2590454	1909354	2522266	0	9584976
64	9187033	12	40	334814216	36.44	40	40	40	0	40	40	2214541	2581288	1936806	2454398	0	9584976
65	9177838	12	40	334379948	36.43	40	40	40	0	40	40	2167874	2619998	1914184	2475782	0	9584976
66	9169042	12	40	333521360	36.37	40	40	40	0	40	40	2186234	2637176	1957230	2388402	0	9584976
67	9159486	12	40	333161336	36.37	40	40	40	0	40	40	2205661	2570522	1977573	2405730	0	9584976
68	9149804	12	40	332860024	36.38	40	40	40	0	40	40	2149187	2534630	1940399	2525588	0	9584976
69	9139166	12	40	332248980	36.35	40	40	40	0	40	40	2043471	2689397	1874323	2531975	0	9584976
70	9127405	12	40	331817048	36.35	40	40	40	0	40	40	2257178	2474499	1933643	2462085	0	9584976
71	9113903	12	40	331274436	36.35	40	40	40	0	40	40	2158821	2477192	1970700	2507190	0	9584976
72	9097106	12	40	330619228	36.34	40	40	40	0	40	40	2200404	2502813	1891637	2502252	0	9584976
73	9082760	12	40	329996324	36.33	40	40	40	0	40	40	2168765	2546368	2031880	2335747	0	9584976
74	9067016	12	40	329043152	36.29	40	40	40	0	40	40	2162593	2455902	2133924	2314597	0	9584976
