"genes","cluster"
"K00209",13
"K00259",13
"K00325",13
"K00426",13
"K00702",13
"K00754",13
"K00766",13
"K00826",13
"K00912",13
"K00941",13
"K00971",13
"K01007",13
"K01173",13
"K01181",13
"K01187",13
"K01196",13
"K01235",13
"K01284",13
"K01356",13
"K01546",13
"K01567",13
"K01581",13
"K01607",13
"K01609",13
"K01657",13
"K01664",13
"K01665",13
"K01858",13
"K01896",13
"K01897",13
"K01993",13
"K02230",13
"K02429",13
"K02551",13
"K02565",13
"K02621",13
"K03149",13
"K03286",13
"K03289",13
"K03332",13
"K03427",13
"K03490",13
"K03503",13
"K03602",13
"K03641",13
"K03687",13
"K03694",13
"K03756",13
"K03771",13
"K03773",13
"K03790",13
"K03801",13
"K03929",13
"K04079",13
"K04096",13
"K04758",13
"K05616",13
"K05919",13
"K05989",13
"K06041",13
"K06139",13
"K06215",13
"K06921",13
"K06994",13
"K07085",13
"K07213",13
"K07475",13
"K07482",13
"K08138",13
"K08223",13
"K08656",13
"K09132",13
"K09773",13
"K09807",13
"K10413",13
"K10973",13
"K12251",13
"K12524",13
"K12982",13
"K13888",13
"K14445",13
"K14652",13
"K14986",13
"K16011",13
"K16076",13
"K18703",13
"K19036",13
"K19312",13
"K19721",13
"K19783",13
"K19789",13
"K21394",13
"K21456",13
"K21573",13
"K21574",13
"K22430",13
"K22926",13
"K23010",13
"K23147",13
"K25028",13
"K26765",13
"K27323",13
"K27502",13
