F-50179058,95.74
F-50179060,96.42
F-50179062,96.32
F-50179064,95.43
F-50179066,95.36
F-50179068,96.15
F-50179071,95.11
F-50179073,94.04
F-50179075,95.53
F-50179077,95.17
F-50179079,91.72
F-50179081,94.67
F-50179083,94.78
F-50179085,95.09
F-50179087,93.95
F-50179089,96.08
F-50179091,94.25
F-50179093,94.88
F-50179095,95.98
F-50179097,94.21
F-50179099,95.68
F-50179101,94.88
F-50179103,94.94
F-50179105,95.13
F-50179106,93.93
F-50179108,95.34
F-50179110,94.11
F-50179112,94.95
F-50179114,94.15
F-50179116,94.84
F-50179118,95.48
F-50179120,94.71
F-50179122,94.38
F-50179123,95.71
F-50179125,95.01
F-50179127,93.15
F-50179129,96.22
F-50179131,95.74
F-50179133,95.39
F-50179135,95.05
F-50179137,95.33
F-50179139,96.26
F-50179141,95.94
F-50179143,94.80
F-50179145,95.61
F-50179147,95.64
F-50179149,95.47
F-50179151,95.97
F-50179153,95.30
F-50179155,95.74
F-50179157,95.70
F-50179159,96.29
F-50179161,95.85
F-50179163,96.12
F-50179165,95.58
F-50179167,95.89
F-50179169,95.98
F-50179171,95.22
F-50179173,94.64
F-50179176,95.86
F-50179182,95.43
F-50179184,96.06
F-50179186,95.57
F-50179188,95.54
F-50179190,95.80
F-50179192,96.25
F-50179194,96.16
F-50179196,95.83
F-50179198,95.92
F-50179200,95.29
F-50179201,96.11
F-50179203,95.82
F-50179205,96.11
F-50179207,95.75
F-50179209,95.22
F-50179211,96.56
F-50179213,96.40
F-50179215,95.46
F-50179217,94.80
F-50179219,95.85
F-50179221,95.70
F-50179223,95.11
F-50179225,94.38
F-50179227,95.80
F-50179229,95.61
F-50179231,94.12
F-50179233,95.49
F-50179235,95.76
F-50179237,96.25
F-50179239,95.64
F-50179241,95.11
F-50179243,95.72
F-50179245,95.16
F-50179247,96.14
F-50179249,96.19
F-50179251,95.99
F-50179253,96.35
F-50179255,95.70
F-50179257,95.87
F-50179259,95.94
F-50179261,95.75
F-50179263,96.25
F-50179265,95.86
F-50179267,95.74
F-50179269,95.89
F-50179271,95.95
F-50179271,95.95
