"genes","cluster"
"K00002",2
"K00027",2
"K00033",2
"K00075",2
"K00094",2
"K00162",2
"K00226",2
"K00384",2
"K00547",2
"K00549",2
"K00554",2
"K00558",2
"K00561",2
"K00564",2
"K00615",2
"K00616",2
"K00687",2
"K00787",2
"K00850",2
"K00865",2
"K00872",2
"K00886",2
"K00936",2
"K00943",2
"K00974",2
"K01002",2
"K01068",2
"K01226",2
"K01493",2
"K01494",2
"K01515",2
"K01523",2
"K01524",2
"K01525",2
"K01621",2
"K01626",2
"K01635",2
"K01693",2
"K01785",2
"K01807",2
"K01839",2
"K01902",2
"K01919",2
"K01956",2
"K01972",2
"K01990",2
"K02041",2
"K02068",2
"K02103",2
"K02113",2
"K02240",2
"K02242",2
"K02433",2
"K02438",2
"K02518",2
"K02519",2
"K02529",2
"K02622",2
"K02753",2
"K02760",2
"K02770",2
"K02773",2
"K02788",2
"K02840",2
"K02871",2
"K02909",2
"K02948",2
"K02952",2
"K03070",2
"K03218",2
"K03235",2
"K03292",2
"K03366",2
"K03437",2
"K03466",2
"K03475",2
"K03489",2
"K03495",2
"K03570",2
"K03587",2
"K03595",2
"K03596",2
"K03604",2
"K03657",2
"K03724",2
"K03727",2
"K03759",2
"K03763",2
"K03976",2
"K03977",2
"K04047",2
"K04066",2
"K04094",2
"K04517",2
"K04935",2
"K05350",2
"K05366",2
"K05635",2
"K05636",2
"K05808",2
"K05810",2
"K05985",2
"K06019",2
"K06188",2
"K06287",2
"K06607",2
"K06726",2
"K06885",2
"K06889",2
"K06890",2
"K06919",2
"K06948",2
"K06950",2
"K06959",2
"K06997",2
"K07006",2
"K07025",2
"K07407",2
"K07442",2
"K07685",2
"K08153",2
"K08194",2
"K08256",2
"K08281",2
"K08369",2
"K08659",2
"K09568",2
"K09692",2
"K09693",2
"K09772",2
"K09809",2
"K09963",2
"K09999",2
"K10006",2
"K10007",2
"K10117",2
"K10237",2
"K11618",2
"K11694",2
"K11695",2
"K11733",2
"K11741",2
"K12132",2
"K12574",2
"K12952",2
"K13527",2
"K13571",2
"K13891",2
"K13953",2
"K14194",2
"K14254",2
"K15051",2
"K15770",2
"K15771",2
"K15772",2
"K16012",2
"K16209",2
"K16650",2
"K16786",2
"K16898",2
"K16918",2
"K17234",2
"K17759",2
"K18788",2
"K18926",2
"K19089",2
"K19123",2
"K19124",2
"K19158",2
"K19223",2
"K19265",2
"K19285",2
"K19424",2
"K19648",2
"K21053",2
"K21739",2
"K22212",2
"K22306",2
"K22390",2
"K22394",2
"K22441",2
"K23144",2
"K23237",2
"K23393",2
"K24017",2
"K24040",2
"K24163",2
"K25031",2
"K25045",2
"K25617",2
"K25814",2
"K26605",2
"K26607",2
"K27069",2
"K27343",2
