"genes","cluster"
"K00001",1
"K00057",1
"K00196",1
"K00236",1
"K00266",1
"K00313",1
"K00324",1
"K00366",1
"K00427",1
"K00620",1
"K00662",1
"K00668",1
"K00688",1
"K00762",1
"K00764",1
"K00852",1
"K00864",1
"K00873",1
"K00885",1
"K00895",1
"K00939",1
"K00980",1
"K00996",1
"K01069",1
"K01176",1
"K01191",1
"K01197",1
"K01198",1
"K01205",1
"K01208",1
"K01223",1
"K01232",1
"K01240",1
"K01243",1
"K01250",1
"K01304",1
"K01420",1
"K01520",1
"K01577",1
"K01641",1
"K01679",1
"K01705",1
"K01766",1
"K01772",1
"K01784",1
"K01809",1
"K01885",1
"K01926",1
"K01989",1
"K01995",1
"K02004",1
"K02025",1
"K02027",1
"K02031",1
"K02032",1
"K02033",1
"K02034",1
"K02073",1
"K02111",1
"K02112",1
"K02136",1
"K02137",1
"K02138",1
"K02141",1
"K02245",1
"K02283",1
"K02302",1
"K02337",1
"K02441",1
"K02444",1
"K02468",1
"K02493",1
"K02530",1
"K02614",1
"K02745",1
"K02761",1
"K02774",1
"K02786",1
"K02794",1
"K02795",1
"K02810",1
"K02819",1
"K02834",1
"K02875",1
"K02894",1
"K02896",1
"K02927",1
"K02949",1
"K03046",1
"K03086",1
"K03189",1
"K03196",1
"K03215",1
"K03282",1
"K03438",1
"K03491",1
"K03492",1
"K03545",1
"K03568",1
"K03576",1
"K03700",1
"K03723",1
"K03828",1
"K03931",1
"K03982",1
"K04015",1
"K04095",1
"K04460",1
"K04569",1
"K04691",1
"K04835",1
"K05665",1
"K05687",1
"K05759",1
"K05822",1
"K05878",1
"K05887",1
"K05992",1
"K06240",1
"K06346",1
"K06396",1
"K06436",1
"K06558",1
"K06902",1
"K06924",1
"K07009",1
"K07082",1
"K07117",1
"K07137",1
"K07149",1
"K07260",1
"K07400",1
"K07406",1
"K07483",1
"K07486",1
"K07491",1
"K07496",1
"K07508",1
"K07650",1
"K07749",1
"K07770",1
"K08093",1
"K08168",1
"K08170",1
"K08179",1
"K08222",1
"K08314",1
"K08320",1
"K08352",1
"K08486",1
"K08600",1
"K08643",1
"K08712",1
"K08724",1
"K08786",1
"K09014",1
"K09121",1
"K09426",1
"K09503",1
"K09697",1
"K09775",1
"K09997",1
"K10021",1
"K10108",1
"K10238",1
"K10355",1
"K10543",1
"K10563",1
"K10716",1
"K10808",1
"K10984",1
"K10985",1
"K10986",1
"K11069",1
"K11070",1
"K11071",1
"K11072",1
"K11074",1
"K11075",1
"K11121",1
"K11144",1
"K11183",1
"K11200",1
"K11251",1
"K11635",1
"K11661",1
"K11693",1
"K12409",1
"K12598",1
"K12666",1
"K13525",1
"K13542",1
"K13678",1
"K13936",1
"K14136",1
"K14261",1
"K14348",1
"K14441",1
"K14709",1
"K14717",1
"K14802",1
"K15100",1
"K15172",1
"K15780",1
"K16196",1
"K16202",1
"K16371",1
"K16509",1
"K16566",1
"K16904",1
"K16960",1
"K17077",1
"K17236",1
"K17473",1
"K17828",1
"K18126",1
"K18231",1
"K18333",1
"K18692",1
"K18748",1
"K18888",1
"K19001",1
"K19286",1
"K19851",1
"K19955",1
"K19984",1
"K20062",1
"K20471",1
"K20527",1
"K21237",1
"K21465",1
"K21528",1
"K21591",1
"K21682",1
"K21960",1
"K22115",1
"K22255",1
"K22373",1
"K22397",1
"K22605",1
"K23188",1
"K23259",1
"K23486",1
"K23684",1
"K23786",1
"K24200",1
"K24206",1
"K24847",1
"K25288",1
"K25861",1
"K26113",1
"K26114",1
"K26115",1
"K26392",1
"K27536",1
