"genes","cluster"
"K00036",9
"K00125",9
"K00193",9
"K00198",9
"K00243",9
"K00297",9
"K00364",9
"K00525",9
"K00526",9
"K00528",9
"K00566",9
"K00604",9
"K00610",9
"K00613",9
"K00627",9
"K00655",9
"K00689",9
"K00712",9
"K00760",9
"K00763",9
"K00789",9
"K00795",9
"K00845",9
"K00848",9
"K00887",9
"K00917",9
"K00925",9
"K00926",9
"K00942",9
"K00945",9
"K00948",9
"K00954",9
"K00969",9
"K00976",9
"K00995",9
"K01000",9
"K01005",9
"K01077",9
"K01119",9
"K01246",9
"K01256",9
"K01358",9
"K01430",9
"K01464",9
"K01465",9
"K01482",9
"K01537",9
"K01604",9
"K01628",9
"K01633",9
"K01652",9
"K01658",9
"K01659",9
"K01681",9
"K01695",9
"K01760",9
"K01776",9
"K01813",9
"K01819",9
"K01821",9
"K01873",9
"K01878",9
"K01879",9
"K01892",9
"K01910",9
"K01911",9
"K01925",9
"K01939",9
"K01947",9
"K01966",9
"K02000",9
"K02013",9
"K02037",9
"K02039",9
"K02062",9
"K02119",9
"K02160",9
"K02221",9
"K02237",9
"K02238",9
"K02243",9
"K02313",9
"K02343",9
"K02348",9
"K02372",9
"K02472",9
"K02563",9
"K02600",9
"K02687",9
"K02805",9
"K02825",9
"K02835",9
"K02837",9
"K02838",9
"K02860",9
"K02867",9
"K02884",9
"K02888",9
"K02899",9
"K02906",9
"K02914",9
"K02919",9
"K02926",9
"K02946",9
"K02950",9
"K02956",9
"K02959",9
"K02967",9
"K02968",9
"K02970",9
"K02982",9
"K02986",9
"K02992",9
"K02994",9
"K03060",9
"K03111",9
"K03116",9
"K03118",9
"K03151",9
"K03169",9
"K03177",9
"K03217",9
"K03319",9
"K03331",9
"K03340",9
"K03387",9
"K03388",9
"K03431",9
"K03488",9
"K03499",9
"K03502",9
"K03524",9
"K03529",9
"K03534",9
"K03536",9
"K03544",9
"K03565",9
"K03569",9
"K03574",9
"K03609",9
"K03621",9
"K03637",9
"K03639",9
"K03672",9
"K03722",9
"K03762",9
"K03798",9
"K03800",9
"K03824",9
"K03830",9
"K03925",9
"K03979",9
"K04021",9
"K04023",9
"K04030",9
"K04031",9
"K04042",9
"K04063",9
"K04072",9
"K04074",9
"K04080",9
"K04564",9
"K04567",9
"K04651",9
"K04769",9
"K04940",9
"K05305",9
"K05351",9
"K05364",9
"K05592",9
"K05804",9
"K05809",9
"K06023",9
"K06024",9
"K06153",9
"K06173",9
"K06183",9
"K06216",9
"K06382",9
"K06390",9
"K06408",9
"K06895",9
"K06920",9
"K06933",9
"K06940",9
"K06942",9
"K06949",9
"K06960",9
"K07007",9
"K07015",9
"K07029",9
"K07033",9
"K07038",9
"K07042",9
"K07058",9
"K07067",9
"K07071",9
"K07097",9
"K07112",9
"K07166",9
"K07173",9
"K07219",9
"K07220",9
"K07258",9
"K07321",9
"K07402",9
"K07441",9
"K07444",9
"K07456",9
"K07467",9
"K07566",9
"K07568",9
"K07652",9
"K07658",9
"K07704",9
"K07708",9
"K07718",9
"K07727",9
"K07738",9
"K07757",9
"K07776",9
"K08159",9
"K08296",9
"K08302",9
"K08303",9
"K08316",9
"K08326",9
"K08722",9
"K08998",9
"K09167",9
"K09681",9
"K09684",9
"K09685",9
"K09695",9
"K09698",9
"K09710",9
"K09748",9
"K09761",9
"K09762",9
"K09767",9
"K09768",9
"K09787",9
"K09790",9
"K09811",9
"K09812",9
"K09888",9
"K09972",9
"K10003",9
"K10005",9
"K10039",9
"K10040",9
"K10119",9
"K10213",9
"K10429",9
"K10781",9
"K10831",9
"K10844",9
"K11102",9
"K11176",9
"K11180",9
"K11636",9
"K11754",9
"K12308",9
"K12369",9
"K12555",9
"K12556",9
"K12700",9
"K12991",9
"K13283",9
"K13292",9
"K13714",9
"K13920",9
"K14059",9
"K14164",9
"K14205",9
"K14260",9
"K14982",9
"K14983",9
"K15376",9
"K15497",9
"K15533",9
"K15580",9
"K15581",9
"K15582",9
"K15583",9
"K15599",9
"K15913",9
"K16170",9
"K16199",9
"K16200",9
"K16201",9
"K16346",9
"K16511",9
"K16795",9
"K16899",9
"K16961",9
"K17723",9
"K17810",9
"K17996",9
"K18104",9
"K18278",9
"K18446",9
"K18534",9
"K18591",9
"K18881",9
"K18890",9
"K18940",9
"K18991",9
"K19108",9
"K19180",9
"K19220",9
"K19225",9
"K19267",9
"K19333",9
"K19421",9
"K19689",9
"K19784",9
"K21138",9
"K21275",9
"K21303",9
"K21304",9
"K21416",9
"K21469",9
"K21471",9
"K21474",9
"K21567",9
"K21703",9
"K21816",9
"K22043",9
"K22068",9
"K22107",9
"K22278",9
"K22480",9
"K22927",9
"K23060",9
"K23187",9
"K23545",9
"K23675",9
"K23876",9
"K24042",9
"K24119",9
"K24831",9
"K24949",9
"K24950",9
"K25004",9
"K25158",9
"K25261",9
"K25314",9
"K25434",9
"K25619",9
"K25670",9
"K26210",9
"K26212",9
"K26818",9
"K26993",9
"K27187",9
"K27188",9
"K27190",9
"K27264",9
"K27271",9
