"genes","cluster"
"K00004",4
"K00010",4
"K00021",4
"K00040",4
"K00048",4
"K00059",4
"K00074",4
"K00076",4
"K00078",4
"K00100",4
"K00123",4
"K00124",4
"K00128",4
"K00170",4
"K00227",4
"K00244",4
"K00248",4
"K00284",4
"K00287",4
"K00288",4
"K00326",4
"K00370",4
"K00414",4
"K00415",4
"K00609",4
"K00626",4
"K00641",4
"K00654",4
"K00658",4
"K00697",4
"K00698",4
"K00700",4
"K00703",4
"K00706",4
"K00728",4
"K00761",4
"K00809",4
"K00813",4
"K00814",4
"K00831",4
"K00844",4
"K00847",4
"K00888",4
"K00931",4
"K00965",4
"K00975",4
"K01006",4
"K01085",4
"K01126",4
"K01138",4
"K01151",4
"K01190",4
"K01192",4
"K01200",4
"K01201",4
"K01207",4
"K01218",4
"K01222",4
"K01238",4
"K01255",4
"K01301",4
"K01318",4
"K01338",4
"K01372",4
"K01405",4
"K01428",4
"K01442",4
"K01443",4
"K01530",4
"K01535",4
"K01568",4
"K01613",4
"K01616",4
"K01620",4
"K01623",4
"K01625",4
"K01667",4
"K01684",4
"K01715",4
"K01788",4
"K01802",4
"K01812",4
"K01814",4
"K01835",4
"K01904",4
"K01905",4
"K01975",4
"K01996",4
"K01997",4
"K02006",4
"K02010",4
"K02012",4
"K02051",4
"K02072",4
"K02110",4
"K02114",4
"K02133",4
"K02173",4
"K02256",4
"K02347",4
"K02392",4
"K02500",4
"K02558",4
"K02567",4
"K02750",4
"K02800",4
"K02823",4
"K02858",4
"K02865",4
"K02866",4
"K02868",4
"K02870",4
"K02872",4
"K02877",4
"K02880",4
"K02882",4
"K02883",4
"K02885",4
"K02891",4
"K02893",4
"K02900",4
"K02901",4
"K02905",4
"K02908",4
"K02910",4
"K02912",4
"K02915",4
"K02917",4
"K02918",4
"K02920",4
"K02921",4
"K02923",4
"K02925",4
"K02930",4
"K02932",4
"K02934",4
"K02936",4
"K02937",4
"K02938",4
"K02940",4
"K02941",4
"K02942",4
"K02943",4
"K02947",4
"K02951",4
"K02953",4
"K02955",4
"K02957",4
"K02958",4
"K02960",4
"K02962",4
"K02964",4
"K02966",4
"K02969",4
"K02971",4
"K02973",4
"K02974",4
"K02975",4
"K02976",4
"K02977",4
"K02978",4
"K02979",4
"K02980",4
"K02981",4
"K02983",4
"K02984",4
"K02985",4
"K02987",4
"K02989",4
"K02991",4
"K02993",4
"K02995",4
"K02997",4
"K02998",4
"K03006",4
"K03018",4
"K03087",4
"K03103",4
"K03231",4
"K03234",4
"K03255",4
"K03283",4
"K03307",4
"K03327",4
"K03329",4
"K03335",4
"K03336",4
"K03386",4
"K03409",4
"K03436",4
"K03441",4
"K03442",4
"K03483",4
"K03486",4
"K03500",4
"K03521",4
"K03522",4
"K03525",4
"K03526",4
"K03547",4
"K03592",4
"K03613",4
"K03614",4
"K03617",4
"K03631",4
"K03635",4
"K03704",4
"K03712",4
"K03737",4
"K03781",4
"K03785",4
"K03809",4
"K03854",4
"K03856",4
"K03969",4
"K04014",4
"K04026",4
"K04513",4
"K04565",4
"K04711",4
"K04770",4
"K05020",4
"K05546",4
"K05565",4
"K05601",4
"K05637",4
"K05816",4
"K05863",4
"K05864",4
"K05898",4
"K06009",4
"K06155",4
"K06179",4
"K06185",4
"K06269",4
"K06270",4
"K06379",4
"K06413",4
"K06630",4
"K06699",4
"K06872",4
"K06907",4
"K06910",4
"K06915",4
"K06925",4
"K06969",4
"K06990",4
"K07005",4
"K07096",4
"K07106",4
"K07126",4
"K07171",4
"K07180",4
"K07203",4
"K07273",4
"K07284",4
"K07300",4
"K07307",4
"K07393",4
"K07450",4
"K07451",4
"K07481",4
"K07485",4
"K07512",4
"K07552",4
"K07638",4
"K07646",4
"K07665",4
"K07677",4
"K07750",4
"K07816",4
"K07936",4
"K07937",4
"K07964",4
"K08150",4
"K08176",4
"K08257",4
"K08286",4
"K08287",4
"K08348",4
"K08711",4
"K08963",4
"K09023",4
"K09464",4
"K09468",4
"K09474",4
"K09490",4
"K09510",4
"K09580",4
"K09700",4
"K09862",4
"K09935",4
"K09969",4
"K10004",4
"K10014",4
"K10037",4
"K10066",4
"K10251",4
"K10357",4
"K10541",4
"K10542",4
"K10591",4
"K10625",4
"K10678",4
"K10773",4
"K10866",4
"K10907",4
"K10967",4
"K11103",4
"K11104",4
"K11245",4
"K11253",4
"K11254",4
"K11269",4
"K11292",4
"K11684",4
"K11746",4
"K11811",4
"K11880",4
"K12261",4
"K12264",4
"K12410",4
"K12411",4
"K12471",4
"K12472",4
"K12573",4
"K12618",4
"K12734",4
"K12812",4
"K12854",4
"K12940",4
"K12956",4
"K13051",4
"K13289",4
"K13310",4
"K13333",4
"K13566",4
"K13652",4
"K13721",4
"K13730",4
"K13771",4
"K13797",4
"K14005",4
"K14290",4
"K14389",4
"K14411",4
"K14455",4
"K14572",4
"K14575",4
"K14679",4
"K14682",4
"K14753",4
"K15040",4
"K15102",4
"K15192",4
"K15342",4
"K15455",4
"K15458",4
"K15634",4
"K15721",4
"K15739",4
"K15778",4
"K16043",4
"K16055",4
"K16073",4
"K16213",4
"K16230",4
"K16261",4
"K16962",4
"K17086",4
"K17275",4
"K17301",4
"K17741",4
