mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K00012 475.97 663.93 526.16 845.42 254.73 409.83 478.94 93 194.7 84.15 153.24 251.64 985.17 294.57 334.01 324.98 145.48 485.91 403.92 433.29 846.82 566.86 231.37 261.32 202.96 211.48 398.73 285.54 613.77 324.47 340.47 401.87 1935.56 328.72 209 1988.67 318.28 649.93 308.86 248.87 308.1 1594.11 286.15 1230.89 816.66 91.91 1044.92 409.88 462.33 96.67 556.67 1070.99 822.48 117.9 456.76 1180.89 537.49 175.59 827.68 606.77 2343.5 417.85 397.18 409.88 823.33 947.81 271.94 656.79 259.19 1825.76 317.78 1111.89 332.31 1128.58 885.98 606.17 637.67 357.14 638.35 444.89 436.45 161 378.12 460.87 134.22 553.97 1043.3 149.05 1187.84 263.06 576.92 527.69 1232.65 1212.38 461.82 1157.39 1470.16 339.33 516.78 455.29 370.59 831.85 1144.24 522.69 813.94
K00013 1862 983.33 804.59 4174.02 1681.69 2464.47 4283.71 3050.44 2522.15 2083 1513 3938.4 15112.59 3763 3591 2081.88 3613.46 2283.03 1672.57 3888.36 3231.14 2909 2442.46 2553.88 2940.94 2990 3726.45 3749.24 2448.37 1351 2931.16 2114 10251 5212.39 3023.83 210 3262.74 9385.18 2352 958.34 2254.84 3898.19 5141 6103.15 3520 3015 4869 3630.12 5490.58 788 2415 1751.97 2517.74 1533 6005 407 4520.07 2306 3283.8 2143 3896.58 1244 5803.45 5582 2759.71 1225.7 1193.38 1416.16 1153.34 1910.71 1836 5360.51 5151.63 1237.54 1622.22 1465 2450 2891.52 3465.59 2557.15 2207.21 2899 4151.99 3778.99 2050.29 1658 1445 609 6246 2058.76 4481.42 1352.42 2683.18 4136 2802.99 998.3 1429.99 2894 2053.1 1862 162 210 1960 6650.72 2646
K00014 33 46.46 249.35 125.59 29 21 56 7 15.48 8 16 21 81 10 31 16 10 41 42 37.46 26 47.29 32 26 5 9 22 18 48 14.94 31.87 25 184 13 13 56 18 24 33 20 56 171.68 44.42 169.27 110 8 132.94 15 61 12 78 81.48 30 25 53.95 108 59 17 108 108 171.04 43.81 39 56 145.49 47.24 34 26 26 189.49 31 74 26 113.84 133 27 70 19.3 84.82 58 67 29 46 65 25 47 135.59 37 86 35 67.54 24.48 103.3 113 16 146.3 148.01 52 70.29 88.07 59 68 156.22 46 103.01
K00015 59.59 149.14 207.71 532.2 47.07 42.82 135 64.21 82.77 26.27 50.22 109.66 321.58 25.66 145.69 90.9 62.95 193.41 134.27 175.31 177.7 225.92 120.42 86.7 28.55 65.8 84.13 83.58 72.47 143.21 202.21 115.36 87.79 93.64 72.27 22 97.51 48 137.45 102.91 108.81 453.1 55.74 290.68 177.28 19 502.31 59.98 247.45 17.87 277.71 226.74 98.65 83.33 104.61 271.93 126.76 30.87 172.7 166.55 1521.09 205.54 106.9 70.74 321.12 98.93 123.04 116.97 69.16 376.58 173.55 249.42 184.18 356.85 149.96 92.8 213.11 73 303.08 85.49 253.2 51.34 147.68 270.27 32 280.34 80.56 133.19 284.16 92.2 187.85 166.4 249.95 303.88 44.88 282 231.29 63.9 284.56 88.3 185.99 59.21 295.36 77.15 285.67
K00016 10464.92 7159.17 2319.13 2665.23 10022.78 2776.75 5689.45 5835.1 4348.46 1531.75 1215.13 8472.56 7437.78 5481.55 4890.68 5453.37 8813.21 6522.12 5185.12 5742.87 10644.47 11300.22 1548.57 5681.99 3633.12 4667.69 6823.16 7444.15 5666.77 8444.63 5429.88 5431.77 809.22 6471.7 6850.82 2762.67 7644.1 1292.08 10675.6 7330.18 3447.88 1237.83 1035.16 1783.76 2446.77 3588 1012.92 5186.51 3372.02 4264.15 2753.55 7222.31 8131.59 479.44 2805.68 1007.02 5875.85 1109.38 1989.67 4683.76 4992.78 1891.78 5443.66 2833.01 2755.94 5493.4 6793.91 4628.78 1974.49 3163.31 1422.04 7742.76 4001.02 4748.95 16052.61 4827.35 3524.21 2408.23 7458.6 2618.49 4069.26 1483.07 2629.57 1919.61 1012.8 3599.4 8014.13 4145.47 2969.17 9550.7 646.62 4040.75 4194.17 3985.8 6563.66 2494.96 3252.59 15576.6 443.33 8652.75 223.58 19643.43 2352.68 13515.79 638.73
K00018 147.31 94.81 141.49 162.61 47.57 38.01 137.48 89.63 15 413 36.18 22.59 178.26 468.68 64.74 31 84.31 44.59 54.93 72.92 253.11 50.78 35.65 26.5 15.8 15.86 1100.92 423.41 60.55 37.36 48.81 111 41.13 212.29 130 27.05 36 116 63.03 30 18.26 116.45 48.28 90.2 87.52 8 123.31 34.46 80.49 15 84.93 85.2 97.36 48.8 80.81 124.88 319.04 39.23 139.19 139.33 166.24 63.81 43.81 95.8 145.3 94.85 99.38 35.64 40.52 65.06 39.05 153.68 87 58.77 169.74 50.93 198.54 47 113.25 63.07 179.03 32.3 62 273.43 45.38 95.3 80.83 43.56 343.2 46.19 64.19 51.79 104.4 136.84 50.5 136.39 80.42 92.75 52.86 66.92 60.78 37.79 74.19 53.51 70.06
K00019 3 4 2 10 2 4 3 0 0 2 6 1 6 1 2.99 0 2 2 1 3 2 0 7 0 0 2 0 6 1 0 0 6 0 2 2.44 4 1.98 7.29 4 0 0 10 3.96 12 20 1 9 1 26 0 11.92 10 4 0 48 8 3 0 4 14.13 49 11.87 0 7.44 51 2 2 1 1 15 10.41 19 2 7 8 0 9 1 84 8 9 3 8 9.45 3 3.43 2 14 21 8.4 8.56 0 16 7 0 5 4.91 3.98 6 1.33 5 3 6 3 6
K00020 0 6 0 1 2 0 4 1 0 0 0 1 3 0 1 2 0 1 0 2 4 0 1 1 0 0 1 1 0 1 0 0 1 4 3 3 0 0 0 2 0 0 0 2 1 0 0 0 1 2 0 4 2 0 1 4 0 0 0 7 1 0 1 0 1 7 0 1 1 3 1 4 1 1 1 0 4 0 2 3 2 1 2 0 0 3 6 1 0 3 2 0 2 2 3 2 0 0 1 1 1 0 0 3 3
K00021 0 0 7 5 0 0 7 7 0 0 4 3 0 1 3 8 5 2 0 2 0 3 0 3 0 7 2 2 0 0 0 13 0 10 1 0 3 1 2 9 9 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 2 1 0 0 1 0 8 0 0 0 0 13 1 1 1 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0
K00022 69 48.48 26.64 83.76 0 1 320.1 51.89 1 2.4 3 61.89 40.89 6.35 25.32 9.86 42.84 25 17.31 12 35.38 29.1 11.94 47 14.06 76.85 22.3 18.28 12.73 14.55 45.58 78.68 2 151.39 32.74 0 39.39 2.29 51.07 61.12 7.32 1.99 5 2 29.47 6 2 75 97 8 13.48 73.86 46.98 2.33 30 0 2 3.19 1 0 9 54.44 0 10 125.93 0 92 22.93 21.48 40.72 148 42.96 7.5 46 5 32.03 12.41 19 529.77 36.57 112.89 16.41 10 28 21.89 73.48 1 16.3 18.4 15 11 146.04 91.77 6 52 8 1 5 1 39.17 0 1 1 3 0
K00023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1
K00024 185.66 789.24 1225.9 3347.3 451.05 497.56 3678.77 660.76 911.68 446.88 292.27 1527.17 3809.25 786.55 1715.8 291.01 1464.15 6435.89 1466.01 1226.86 2464.35 3014.41 1001.88 1223.82 659.46 2104.25 1466.39 1254.21 1955.44 455.22 2583.15 2557.26 4738.47 821.75 709.68 20335.1 1560.05 6307.44 2483.01 766.87 561.66 2175.03 435.82 2600.43 1987.81 165.74 4011.56 396.25 5543.61 93.92 2717.49 1966.77 227.2 499.28 1362.41 1757.59 808.99 345 1298.77 1374.71 6482.7 1009.93 695.67 840.55 3143.51 367.33 436.44 1624.11 1044.65 2886.31 1521.48 2144.17 882.06 2488.34 1693.1 687.66 694.79 267.88 3475.3 1892.84 1294.91 945.96 1223.07 1902.65 706.05 1679.76 1160.77 464.73 2670.2 664.96 1881.39 4659.34 3610.63 1860.24 279.55 2555.23 2431.68 623.55 877.13 756.31 1559.15 1220.17 2620.43 254.67 3422.1
K00025 1 21 0 20 3 6 6 4 6 0 0 13 22 6 8 4 2 14 8 10 2 37 1 9 3 7 19 4 42 3 4 6 162 12 4 0 21 25 17 6 28 38 10 34 27 0 23 0 9 1 18 23 4 3 12 29 7 9 50 45 29 31 10 15 16 9 12 19 11 115 5 9 8 37 41 17 18 1 10 23 27 4 16 9 1 25 42 15 11 2 16 4 27 51 0 158 65 8 12 18 12 6 60 12 53
K00026 4 13 152 175 1 21.01 117 137 0 79 5 22 23.12 12 76 187 62 66 8 124 63 49 35 100 7.99 82 234 30 26 10 18 126 23 244 79 0 26 18 105 54 52 43 11 16 11.99 2 9 4 13 1.99 13 15 8.01 8 13 8 6 51 21.27 94 88.02 40 0.99 7.01 15 2 9 19 18 93 48 9 6 53 25.63 20 22 2 73 27.99 290 7 54 14 1.99 30 30 36 23 9 13 17.99 50 237 2 33.02 44 22.99 8 18 4 8 50.99 8 36
K00027 259.18 1864.07 364.23 547.7 359.53 261.9 2135.26 318 758.17 450.14 236.99 631.31 2241.34 845.46 466 957.72 553 499.49 1165.32 582.33 934.29 728.66 592.76 359.12 391.76 285 656.43 520.34 1184.19 1334.43 606.7 548.99 448.78 858.72 507.16 1724.66 661.17 719.42 736.54 1401.48 441.26 786.98 140.98 890.57 552.71 310.49 581.23 360.69 705.44 170.81 694.4 1760.01 1029.29 135.66 386.57 991.05 626.56 131.92 850.5 460.3 2225.73 460.52 199.17 433 774.29 478.85 1067.47 853.25 772.5 1316.41 304.2 1237.97 871.88 1109.01 777.03 1224.58 1071.13 372.77 1029.38 1036.14 1060.22 223.69 340.82 565.25 201.51 1004.61 1125 780.42 778.99 335.39 448.77 744.85 824 1220.89 612.22 1506.97 1473.36 384.17 439.33 533.91 192 787.94 443.55 387.17 740
K00029 1089.54 413.78 764.27 2527.06 766.51 1033.48 2053.48 1144.06 1028.59 799.65 710.54 1567.43 5977.03 1623.2 2018.46 764.03 1496.14 1730.22 883.3 2035.36 1884.71 1614.44 1382.2 1447.7 1180.16 1207.1 1837.34 2007.49 1136.44 130.77 1506.79 1660.05 4766.17 2114.52 1382.95 420 1282.06 4348.64 1020.72 404.89 1041 3273.32 2176.94 2991.84 2183.32 1241.32 2572.16 1238.01 3111.46 273.71 1930.62 1063.01 783.82 832.62 3057.32 860.61 2613.02 1014.8 2132.12 1591.84 5197.15 729.21 2172.49 2620.03 1952.05 772.18 337.26 779.2 782.06 1588.63 1126.62 3158.9 2963.19 1264.88 1493.73 756.76 1118.38 1304.98 2318.93 1531.93 1324.73 1314.28 2075 1836.43 1207.33 1022.47 1257.31 163 3764.42 1075.85 2537.88 950.91 2107.67 2563.55 1102.11 1201.66 2652.16 1352.98 1141.46 1126.2 416.82 720.95 1807.7 2808.41 2310.85
K00030 59.06 101.01 146 330 95.88 68.91 285.73 252.44 144.43 212.52 27 78.84 204.25 278.99 146.81 291.59 156.01 82 92.85 226.14 187 86.78 66.8 137 110 105.13 580.66 194.26 396.13 48 68.93 180 853.64 485.28 219.02 74.02 83.04 784.95 131 62 59.26 162.79 127.21 317.43 62.35 48 421.91 43 82 26 75.09 133.36 145.97 36 161 339.13 165.68 119.01 168.39 132.61 133.4 72.71 112 109.9 79.63 187.6 67.99 63 26 291.63 88 182.36 105 71 239.76 61 177.17 68 188 37.95 644.01 29.42 151.8 89 27 128.22 163.75 102.67 141.78 94.91 231.85 48 124 337.97 66 134.63 100.86 51.62 142.01 81.01 79 110.39 104.98 130.92 366.92
K00031 315.24 1216.99 661.71 855 341.02 268.96 749 352.94 523.8 176.19 132.06 838.58 1145.48 356 442.68 383.8 366.18 656.71 619.76 573.15 708.53 979.27 208 506.69 238.54 413.95 521.36 349.3 874.24 622 580.8 492.99 3664.41 405.21 442.06 881.02 631 877.97 671.7 520.85 1028.13 1528.95 563.69 1064.12 622.39 192.76 1070.1 226.89 699.44 206 1055.73 1470.89 562.3 395.39 761.87 1376.72 650.27 297.66 1358.85 981.71 2297.14 764.57 424 662.48 975.33 370.78 1058.76 768.33 655.47 1875.3 379.36 892.27 598.15 1241.54 922.54 625.78 728.22 205.75 866.58 612.59 756.98 542.63 629.33 686.36 221.01 1264.79 778.05 1332 996.11 423.64 1228.38 504.64 900.9 1199.14 313.17 2898.57 1836.93 406.87 538.98 585.29 512.16 579.75 1323.93 295.99 1608.8
K00033 8637.49 119.35 304.44 692.12 439.2 20282 765.98 513.8 1011.39 270.86 225.68 511.85 1125.08 444.37 533.9 764.93 575.77 478.05 508.1 771.19 1104.48 149.8 1355.94 380.22 473.28 107.38 847.21 819.89 182.66 289.92 745.73 278.97 137 940.24 447.04 749.6 468.2 315.74 276.8 435.11 148.81 568.07 212.92 392.46 267.02 2351.05 407.48 8095.78 361.04 254.49 255.94 313.7 3879.06 101.36 1746.13 267 198.76 22.5 267.12 814.72 368 330.94 3368.26 719.92 793.86 12590.46 131.42 5206.74 89.45 974.4 485.8 583.86 4850.9 428.83 757.21 300.16 309.35 1832.23 368.02 219.73 382.69 202.65 2696.4 571.63 3001.7 313.56 90 164.95 263.13 287.05 117 2059.11 688.45 496.84 4343.69 219 1851.53 1188.63 98.76 1987.89 42 1213.03 214.51 449.7 78.12
K00034 1 0 0 3 1 4 0 1 0 1 1 1 3 1 4 3 1 2 0 1 0 4 0 1 2 0 0 4 1 0 1 2 1 0 2 0 1 2 2 0 0.99 0 4 2 1 2 5 0 2.99 0 0 0 2 0 6 2 1 0 2.99 0 5 0 3 5 2 1 0 1 0 1 1 5 2 1 3 0 1 0 0 4 1 1 8 8 1 1 1 0 7 0 4 1 5 3 0 5.01 1 2 4 1 3 5 3 1 12
K00036 1482 3 26 54 139.73 43.91 14.03 0 32.64 19 12.87 10.51 76.79 15.19 16.62 6 21.9 7 15.63 18 21.49 9.31 30 5 46.74 1 25 49 9.35 16.9 20 5.9 91.76 34 21 669.76 13.61 27.85 9 1 6 122.68 20 38.58 28.07 38 42.23 132 24.56 4 39 20 458 1.64 38 30.1 44.21 4.63 26.64 21.94 241.34 58 78 18 69.97 6 19.91 35.42 10.9 74.53 12.87 21.73 23.88 74.12 45.22 25.03 23 52 28.92 24.29 42 18.52 29 25 19.4 27.59 25.02 17.08 23.79 19.14 17 24.08 46.86 36.71 568 50.53 62.73 67 13 467.13 8 202.68 4 129.39 21.4
K00040 2920.12 13205.67 9465.46 5668.44 1614.66 2491.41 10514.46 16264.59 31368.27 3427.02 2219.25 24537.3 31307.58 22303.47 7701.45 13332.84 41379.9 10028.64 11852.46 8744.79 21396.63 21202.05 2932.59 8789.58 15786.9 10276.32 14976.75 24376.26 20492.3 11344.34 8591.58 7664.22 11107.41 18080.61 20847.57 6002.24 35744.61 6661.26 20519.64 37028.73 23119.5 7454.91 4062.93 5287.71 4524.18 3743.46 5671.32 6080.19 11473.74 4878.9 5643.96 31043.58 22163.46 1858.41 4580.6 1477.8 3732.59 4310.4 6229.68 2450.48 7717.35 3533.64 4162.35 5506.08 7876.26 2284.02 13096.35 12360 5348.01 7169.45 3198.84 16741.41 6438.45 8544.24 2740.93 6057.9 6975.24 3413.49 8597.46 7089.9 7979.22 3280.44 3786.81 4432.68 1743.9 8099.16 1818.18 22689.84 7525.38 3368.61 5720.82 5107.59 8000.37 8428.56 23649.87 9818.58 5406.57 2088.46 3388.98 2856.24 737.76 1816.69 8783.42 4190.37 4046.58
K00041 1796.25 2956.24 5077.54 3544 1364.45 1875.02 4404.92 4035.47 2434.58 1265.32 1200.15 5785.21 10561.61 4102.74 2740.31 2418.35 8056.4 3509.56 1993.21 3124.64 9436.54 4951.37 1866.84 3386.07 5461.72 2863.92 5112.14 7302.95 3372.49 4484.63 3417.59 2150.89 6153.59 4319.33 3470.8 188 4866.49 4400.19 5016.18 1936.07 7185.1 6972.84 3493.69 8709.09 3174.93 2597.47 4846.6 4181.56 4786.43 1257.61 3359.07 18498.81 12208.57 2091.21 5724.31 1399.69 6957.22 2240.42 3592.74 3375.11 3198.01 1625.82 6628.4 5274.54 4796.67 2058.69 1216.59 8065.77 1384.11 4169.36 1943.49 10378.13 6883.26 1978.86 1601.96 2903.8 6425.54 4490.28 5245.64 2640.7 2538.94 2392.91 3861.16 3729.86 2203.2 1753.76 1703.09 1455.05 5485.86 1696.85 3965.76 3845.26 3169.92 4415.5 11393.3 1583.68 1418.07 3026.84 2194.3 1137.79 493.35 297.43 2285.27 6256.54 2826.78
K00042 78 58 10 78 12 12 48 38 12 22 18 32 62 48 36 2 18 54 26 68 12 38 156 20 18 38 26 64 10 36 28 128 24 20 22 2 4 16 50 4 12 12 22 22 110 10 62 6 26 4 60 40 14 6 30 6 20 18 26 28 268 58 4 24 40 6 48 20 34 24 20 32 40 532 20 54 16 10 126 40 32 14 26 34 28 74 4 36 60 14 70 40 42 56 6 82 20 26 14 50 2 8 14 8 26
