mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K03389 7.01 9.14 0 8 3 1 2 1 0 1 3 1 2.94 1 1.68 2.58 1 3 4.91 5.28 6 4.01 0 3 1 4 2 2 2.08 1 5.1 3 1 0 1 0 0 0 1 0 0 14.03 0 1 7 0 1 1.04 3 0 4.01 5 2.93 1 2 3.62 11.73 1 7.03 8.09 7.13 0.99 4 1 1 18.49 4.86 6.06 0 7.78 4 6 2 11 15.57 0 2.01 3 1 3 2 1 4 2.02 0 4 1 0 7.01 10 4.84 4.04 7 10.99 2 9 6.17 10.87 1 3.97 0 4.82 4.02 2.98 12.47
K03390 1 0 0 2 0 0 0 0 0 0 3 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 5 1 0 0 0 1 1 1 2 2 0 1 4 1 2 0 1 0 1 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 2 0 1
K03392 0 2 0 0 1 0 0 0 0 1 2 0 0 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 3 0 0 2 0 0 0 2 0 0 0 1 9 0 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 6 0 0 1 0 0 0 0 0 0 0
K03394 12 52 21 25 11 11 10 1 7 3.61 9 6 23 8 24 6 5 26 13 42 16 28 9 11 6 6 14 10 15 11 7 9 17 10 11 18 15 22.64 3 8 8 38 12 39 21 3 16 7 19 1 19 31 19 10 10 35 20 3 23.64 37 72 8 5 15 31 55 28 11 3 24 7 36.16 12 21 36 20 10 6 24 26 22 9 15 26 3 24 20 20 23 21 30 14 21 22 7 71.01 28.01 21 12 15 13 21 34 14 56
K03399 3 14 6 7 1 0 6 2 4 1 1 5 9.89 3 2 5 3.91 5 9.98 1 2 8.02 4 1 0 1 0 0.93 8 9 4 4 2 4 3 3 7 4 5 11 4 8.09 3 10.04 9 1 17.93 3 12.47 1 5 3 5.11 2 7 15.58 6.09 0 4.96 14.1 19 7.89 1 12 7 17.04 2.94 7 3 11.01 7 7.03 2 7.84 1 0.62 4.85 5 10 11.9 6 0 4 2 1 8.03 8 7 14 9 11.88 1 5 6 4.57 16.84 17.68 1 4.04 0 7.07 12.86 9.56 3 14
K03402 129.05 52.05 198.14 151 18 25.32 333.99 40.48 12 7 16 71 78.27 8.81 128 18 54 284 57 107 123.13 111 11.31 73 24.14 117 43 72.01 53 54.95 78 133 44.99 25 17 61 48.97 21 146.83 32.62 13 65.01 20 44 116 9.1 68 43.41 141 11 85 172 48.18 28 24 63 27.99 7 50 53 116.8 35 22.41 35 146 32.77 40 205.36 66 109.13 110 82 25.09 201 56.42 55 46 27.59 170.02 95 34 30 36.75 42 33.12 73 14 19 90.11 47 35 484 312.96 48 50.98 52 103 36 25 63 27 46.54 38.2 15 44
K03403 0 0 1 1 0 0 2 0 0 0 0 2 1 0 1 0 0 1 2 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 1 6 0 1 0 0 2 0 0 0 0 2 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 3 1 0 0 14 0 0 0 0 1 0 0 0
K03404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K03405 0 101.71 0 226 0 2 4 100.51 55 12.79 24 19.92 33 9 70.17 4 28.65 5 3.85 231.95 2 467.65 0 3 47 2 36.42 98.41 16 0 9 27.19 155.03 75.8 56.83 0 86.75 291 36.21 28 110 13 4 264 68.55 1 216.37 0 297.22 0 204.72 5.44 6 2.3 272.39 33 10 2 4.93 340 1038.55 0 0 33.39 130.67 10 3 98.52 0 6 81 69 1 21 6 0 2 7 270.31 257.42 2 1 132.62 277 0 38 3 1 62.08 5.13 167.43 0 39 216 2 631.66 308.3 1 66 0 63 2 153.64 2 470
K03406 50.74 64.38 139.18 670.52 50 80 82 117 87.99 68.4 104 43 685.98 44.9 131.23 13 93 251.38 38 152.23 73.85 76 62 49.39 26 97.31 113.69 205.2 63.48 3.5 218.68 137.89 124.53 82.46 157.37 31 47 126.97 85.13 41 38.39 173.33 43.06 356.6 305.36 35 283.29 78 468.26 6 179.85 387.76 37 45 1011.33 151.17 244.66 74 167 177.37 414.49 113.03 31 359 550.31 59.07 50 34 37.66 103.35 244.13 494.68 127.52 260.52 110 22 257 17.4 810.43 228.49 142.58 65 496.33 291.84 249.36 112.5 86.08 15 483.32 39 481.77 48 355.68 724.14 22.84 287.58 89.4 40 74.11 49.47 80.97 72.99 138.69 31.99 293.64
K03407 447.28 14 21.23 95 44 25 127.73 26 513 54 59 28 276.82 171.42 53.55 10 91 29.27 34.86 55.84 74 15 144.48 17 91 9 187 466 14.44 69 94 81.75 19.88 179 268 96 25.76 51.19 18 27 11.43 59.28 30.2 191 70.32 101 125.14 138.26 95 11 52.3 71.6 267 19.23 108 41.91 114.59 19.85 19 171.57 204.97 44 20 63.1 90 25.48 41 8 7.04 43.65 31 63.59 33 85.77 40.29 22 42.29 96 147.41 56 66.05 43 38.28 63 37 29 46.61 27 92.09 173 86 8 98 136.3 63 101.29 84.85 39.71 18 48.02 54 43.57 30.95 42 100.3
K03408 0 0 6 11 2 1 1 5 6 3 2 1 24 3 6 0 2 5 0 3 0 5 3 1 2 0 9 5 7 0 4 4 3 5 8 0 2 16 5 0 3 8 6 4 7 2 6 1 10 1 5 2 0 2 7 4 21 0 2 2 19 2 1 1 3 0 0 0 2 4 8 0 0 5 0 0 1 0 5 1 1 1 1 4 0 3 2 0 4 1 9 2 6 5 0 15 1 2 1 0 0 2 4 4 7
K03409 0 0 0 0 0 0 0 4 2 2 0 0 6 0 6 0 0 4 4 0 6 0 0 12 0 0 0 4 0 0 8 8 0 2 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K03410 1 3 6 3 0 0 2 0 4 2 2 2 6 0 3 0 0 6 0 6 1 1 0 0 0 0 1 2 0 0 0 1 6 0 2 3 0 3 0 3 1 8 0 2 1 0 13 4 4 0 4 6 0 5 5 2 0 7 1 9 21 6 1 0 2 1 0 0 0 2 0 4 2 6 2 0 3 1 6 1 10 1 0 2 1 4 7 0 6 2 3 0 5 6 0 7 10 2 0 4 1.45 2 2 0 6
K03411 1 10 1 41 3 0 4 3 2 0 10 1 24 8 3 0 4 22 4 3 2 4 0 5 1 11 4 11 0 1 9.15 5 2 5 5 0 1 5 5 0 1 7 6 6 13 0 15.14 2 37 1 16 37 1 1 39 12 7 4 5 6 16 9 0 36 32 2 4 2 2 1 19 46 3 18 4.13 2 4 3 36 6 5 1 25 14.01 6 1 3 0 18 5 50.31 5 9 51 2 22 5 0 1 2 5.55 0 10.09 2 18
K03412 24 100 14 147 50 14 69 30 24 42 30 28 127.15 22 67 6 26 67 36.14 90 16 16 7 39 21 22 24 72 6 1 102 44 33 23 33 10 19.24 89.81 28 4 20 92.82 67.8 187 130 10 236.28 9 137 11 149.7 144.44 22 25 157 195 103 25.15 67 184 332 98 38 75.15 163.5 74 48 25 24 51.56 77 167.99 58 106.23 76 5 36 17 308.59 185.3 67 34 88 169 12 111 117 37 349.91 132 176.5 12 178 236.25 4 130.01 156.15 28.29 53 37 142.01 92.15 97.98 60.25 302.08
K03413 2.72 85.61 55.57 66 5 19 62 15 33.68 16.87 14 26.62 117.23 41.66 44.02 28.24 22 49.32 33 41.51 15 34.02 11 24.77 21 16 17 40 20.06 14 44.46 35 133.46 39.44 36 142.02 39.06 185.58 22 13 50.16 89 16.24 200 33.68 9 171.3 14 45.98 4 70.98 84.97 8 8.77 73.1 82.7 69.63 10.59 20.88 71.64 87.18 26 23 31 23.63 54.37 19.19 21.76 1.96 119.54 63 69.43 32 57.6 45.98 18.03 22.71 10 77.8 28.08 52.21 17 41.72 63 15 50.34 26 102.44 57.87 26 206.36 22.08 134.92 114.62 13 120.94 127.64 15.1 37 19 37.43 40.6 86.07 11.16 129.96
K03414 0 0 29.54 0 0 4 0.54 0 2 0 0 0 2.06 3.16 2.9 0 0 7.46 0 9.3 0 0 17.04 0 0 0 0 0 3.12 0 0 2.5 46.24 0 0 0 0 0 0 0 3.14 19.44 0 6 0 0 2 3.48 2 0 0 9.56 0 0 1 8.96 11.56 0 0 0 32.38 0 8 3.5 4 6.48 3.62 0 0 37.58 1 0 0 0 7.44 5.96 0 2 1 3 0 0 0 0 0 0 18.78 0 0 0 0 0 0 2.9 0 9.7 0 5.92 2 7.96 0 0 11.38 3.68 2
K03415 3 3 14 52 3 10 8 29 20 13 12 14 146 2 47 1 36 63 31 37 45 32 5 65 2 34 25 66 25 4 87 50 16 20 38 6 12 13 62 7 13 23 4 45 25 2 50 13 28 0 21 28 4 6 58 8 19 15 29 12 22 21 6 26 53 4 22 4 3 16 17 25 20 25 7 7 43 2 36 25 24 13 24 29 34 11 7 1 39 10 25 5 34 78 11 39 9 1 6 7 10 7 47 1 19
K03417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
K03420 1 0 0 6 0 1 1 2 0 0 0 0 7 0 3 0 0 3 0 0 5 0 0 0 0 0 0 1 1 1 8 1 6 0 3 0 0 0 3 1 4 15 0 3 0 0 3 2 1 0 3 3 0 1 0 16 1 0 6 2 2 4 0 1 3 1 2 3 0 8 1 0 0 4 3 4 1 0 1 1 3 1 1 7 2 4 1 0 3 1 0 1 4 2 0 7 6.59 2 5 1 2 0 7 0 3
K03424 287.47 916 192 684.89 1104.33 277.82 550.59 211.46 244.92 160.42 156.74 402.06 1070 254.56 448.24 240.4 309.22 632.04 384.64 583.65 1191.17 898.23 284.08 526.96 219.91 333 590 402 368.43 395.54 417.91 393.9 871.2 358.31 387.17 555.29 227.24 692.68 795.2 125.42 304.42 949.53 358.11 862.01 517.8 215.95 851.55 244.68 645.37 157.28 588.33 899.84 489.16 202.39 575.47 667.41 821.87 210 554.9 514.78 1623.46 364.14 394.17 570.45 579.18 571.71 314.91 485.24 373.01 823.2 326.48 785.79 515.46 557.07 456.36 351.7 495.13 254.62 657.99 548.19 425.84 242.44 493.9 563.83 184.62 418.08 505.41 150.09 889.76 315.17 655.9 438.09 832.59 792.79 464.94 571.07 752.86 522.08 427.99 369.21 302.96 690.33 684.03 585.88 735.44
K03425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K03426 956.53 126.31 113.33 1600.79 662.55 2350 1615.41 2638.85 1111.99 1597.92 1298.45 1429 7619.22 3387.55 2316.68 959.93 2791.28 583.61 431.02 2199.44 1201.69 902.39 1807 1102.28 1941.4 1387 4303 4022.74 874.06 51.01 1107.04 1151.95 6397.01 3467.47 3454.01 112.56 1464 13162.31 755 182.29 847.4 1693.59 3020.27 2756.35 1138.77 2293.59 1871.49 2021 2988.88 306.12 1038.24 400.92 983.31 754.01 4284.67 273.79 2861.02 1389 1376.22 1429.18 2169.55 490.27 3357.77 3152.04 1043.28 1069.9 164.55 416.25 350 560.85 697.02 2265.83 2991.66 287.84 729.97 141.4 868.93 1543.81 1515.16 1000.92 1754.94 1626.19 2460.68 1993.48 1551 406.83 743.97 148.52 2199.85 1175.36 2280.54 428.49 1054.43 1600.52 1458.86 299.25 808.67 1114.66 967 1152.62 107.64 207.6 797.54 3078.72 1323.11
K03427 466.86 851 440.25 622.93 134.68 583.53 698.52 344.51 268.09 263.98 253.3 624.53 1530.71 893.04 460.49 459.79 529.65 770.16 590.71 654.73 1008.67 864.87 452.22 470.14 362.47 488.78 481.27 568.5 694.86 542.15 415.22 487.9 1206.61 709.04 439.06 144.62 526.42 685.73 804.99 443.15 319.13 688.21 446.91 654.73 473.86 290.07 730.57 464.09 762.89 100.31 539.19 830.62 662.51 139.52 494.51 547.59 341.11 222.12 427.39 356.14 2276.15 331.22 683.25 541.41 633.56 366.09 683.6 585.9 325.1 745.71 315.93 774.28 547.76 924.23 416.3 581.51 580.4 338.71 733.61 392.75 438.68 252.83 481.98 437.49 263.65 729.97 308.32 356.23 860.94 302.8 607.86 621.14 685.85 857.95 501.66 588.5 478.76 225.59 350.61 249.14 174.27 199.48 460.31 335.38 456.44
K03429 254.76 1497.16 541.1 407.77 243 190.67 557.6 139.56 136.24 56.16 101.96 396.38 651.63 166.45 183.38 390.81 174.32 296.84 462.01 203.46 570.19 319.1 113.62 255.63 84.87 257.34 138.92 132.5 234.86 667.68 284.57 280.54 331.79 282.46 139.47 1028.15 297.77 87 380.02 344.43 250.6 683.92 56.39 590.89 447.21 79.52 496.5 258.64 384.5 183.85 473.84 935.28 648.26 55.09 152.98 1065.82 337.57 103.37 604.98 379.31 925.23 363.8 75 199.34 738.84 655.16 822.23 706.82 218.23 1001.31 332.8 1273.78 465.69 704.26 371.01 718.52 676.52 389.22 1012.29 333.08 666.05 131 277.73 326.19 139.92 545.36 329 676.9 441.91 208.04 187.67 776.03 772.34 1012.64 497.45 555.51 641.77 185.25 334 539.08 279.89 786.09 438.17 149.17 239
K03430 1 2 1 4 7 1 7.93 2.53 3 0 2 8.36 10.75 8.86 3.01 0 1.02 3 5.68 0.52 7.76 4.98 3 4.29 1.62 3.66 4.95 3.29 2 3 2.27 1.84 10.77 5.35 7.55 0 3.47 6 5.21 0 2.82 20.19 0 27.77 4.31 2.66 10.96 0 25.37 6.01 7 13 7.54 3.98 10 3.93 9.15 0 5.99 5 23.14 2.15 9.4 10.54 10.67 2.93 1 2.5 2.65 2 3.14 9 2.98 13.03 3.8 1.5 2.23 7 14.54 8 5.23 3.55 5.21 3.04 5 6.61 5.52 2 8 0 22.62 0 7.08 6.83 5.96 5.45 5.92 9.97 25.49 1 1 3 9.94 6.55 5
K03431 11995.98 3505.59 3428.41 1604.02 3931.43 10797.77 2172.87 3300 2946.07 704.79 713 3155.4 3192.96 2356.26 2470.67 4408.14 4783.16 2517.51 2244.6 3443.56 5017.83 3494.44 1419.16 2298.04 2844.06 1972.74 3173.85 3536.73 2645.45 4670.35 2264.23 2262 1496.31 2892.47 2756.51 2044.26 4910.79 1118.07 2826.22 3553.38 2529.11 2142.06 871.97 2091.82 1342.56 3058.86 1481.92 4197.83 1471.21 1344.1 2238 4115.01 7594.41 681 3287.4 3186.54 2174.25 555.65 2514.44 2157.57 2446.78 996.63 3833.57 2250.96 2443.96 9442.31 3803.03 5532.88 1396.8 5096.87 967.12 4289.17 4523.47 3045.84 4199.2 3088.27 2137.51 2074.61 2097.03 1848.83 2220.41 933.8 6001.45 1627.88 2001.55 2195.56 2711.47 3892.25 2033.71 2565.41 1203.83 2899.12 2271.24 3144.29 8566 2383.6 4365.48 4448.23 1005.89 3298.29 791.76 3944.98 2094.9 2862.86 1599.21
K03434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
K03435 0 0 4 1 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 0 0 0 0 0 28 0 0 0 0 0 7 1 2 1 0 0 0 0 0 1 2 2 0 0 10 2 0 0 2 2 0 0 0 0 8 0 6 0 11 0 3 0 1 2 0 0 0 0 2 1 1 0 0 1 0 6 0 0 0 0 0 0 0 3 1 6 0 2 1 2 22 0 0 0
K03436 89.79 1618.24 34.45 148.03 19.31 18.18 134.01 89.91 17.1 11 37.31 251.02 53.42 31.12 122.06 55.67 188.35 733.12 55.95 142.28 1183.76 1172.16 43.23 651.68 80.94 231.09 425.98 161.38 145.12 471.07 94.2 288 4 102.29 230.44 10.1 74.93 9 1106.91 39.16 62 39.96 23.91 49.26 39 8.16 35 58.12 151.24 100.06 113.91 903.52 190 6 56.12 39.09 13 150 29.76 53 33 97.24 5 50 86.34 6.17 321 396.92 222 208.96 74.03 71.58 26.89 259.3 21.11 248.23 132.93 29 377.94 68.58 32.02 30.82 28.44 67.54 11.31 140.33 9 54.64 115 28.47 26 169.07 194.27 72.57 232 82.34 30.48 7.76 37 28.6 2 17.08 166.89 8 42.4
K03437 1247.43 295.42 279.08 329.81 106.57 2342.85 356.56 225.09 104.63 83.97 112.39 176.94 362.87 100.48 273.74 147.25 202.21 185.2 159.48 351.36 258.33 162.3 215.7 184.79 113.38 105.37 168.56 210.89 138.25 166.33 208.83 161.57 253.65 315.33 125.13 66 142.44 249.25 315.7 101 114.93 563.16 210.72 275.86 210.97 547.54 290.66 1712.66 185.37 129.68 127.79 284.06 1172.66 200.46 595.34 213.61 214.61 80.85 419.6 526.69 355.97 223.92 1243.36 213.61 499.28 2850.6 257.43 1503.94 57.19 1309.08 137.76 209.77 1597.7 173.27 413.4 144.56 506.69 720.4 213.11 134 269.77 139.2 528.23 426.57 1361.67 197.37 184.37 204.98 213.71 199.29 94.78 791.52 251.7 212.8 1763 198.45 1590.61 378.03 532.38 476.5 68.56 383.99 179.98 150.3 200.02
K03438 2519.71 7023.69 5794.9 3900.53 1685.91 4122.71 3012.25 2604.34 2679.56 1299.11 1461.88 3574.54 5479.75 3861.96 3331.5 3684.6 3640.95 6277.58 2665.82 3965.3 6980.96 7938.98 2042.11 4934.85 2484.56 3331.02 4757.41 3709.73 3494.8 5370.35 2809.91 4010 3532.12 3157.33 4013.36 1891.75 4274.9 2979.35 8169.26 3309.34 3157.56 3390.47 2405.81 3913.79 3250.33 1949 3151.53 3449.37 3843.06 1955.93 4682.86 5104.28 3813.78 1366.55 3537.69 4445.67 2912.3 2172.1 3736.04 1953.69 5162.88 2420.44 3106.99 2895.33 4143.03 2949.74 6821.84 4116.47 4145.51 5406.72 2046.84 6191.23 3301.66 5484.93 2593.22 3804.16 2983.19 2184.3 5186.01 4380.88 3481.47 2337.6 4551 3526.38 1413.54 4106.43 2473.34 5298.11 5065.51 1669.36 3160.61 3743.94 5202.88 5427.7 4147.15 3413.66 4546.83 1556.42 1919.59 2121.53 1234.92 2245.35 3713.14 2012.63 3938.43
K03439 3158.06 915.97 826.06 3390.84 1680.33 4816.24 3297.38 2510.32 2123.87 1113.72 867.93 2363.61 13047.02 3952.74 1949.62 3338.28 2270.96 1545.49 1021.43 2328.21 3065.4 2191.14 1470.83 1645.95 2977.51 1438.09 3660.01 3247.19 1453.96 845.29 1722.68 1805.35 8719.04 3443.89 2442.66 1798.85 2984.86 14597.94 1708.76 837.7 2494.62 3358 3791.64 5945.81 2484.77 2659.59 2977.74 3559.77 3481.05 928.7 2040.65 1940.55 2367.08 884.05 5073.76 627.01 3520.1 1145.95 3229.98 2830.66 2907.34 1116.28 4636.08 4661.96 2456.98 2967.12 639.82 1638.14 1102.02 2348.6 1098.45 3872.37 4240.44 1330.52 2062.28 1041.7 2025.33 1965.49 2759.79 1575.56 1524.26 1680.9 5008.94 3150.64 1333.35 998.37 1865.53 1752.58 4589.19 1333.47 3139.41 1501.47 2337.59 2942.2 3209.06 1193.5 2550.81 2799.94 1508.81 1728.63 271.3 1606.2 1768.68 5125.31 1909.34
K03441 2 0 16 63 0 3 55 83 0 27 2 6 0 8 37 69 26 15 0 47 22 12 8 33 4 39 102 19 4 1 4 54 0 83 36 0 9 1 47 5 28 0 3 1 1 0 0 1 3 1 2 3 3 1 3 0 0 23 5 0 0 10 0 1 0 0 1 3 1 19 12 0 1 7 0 3 2 0 23 1 104 3 28 2 0 0 0 18 3 1 0 2 5 51 0 0 0 0 0 3 0 0 1 0 0
K03442 891.3 3556.04 2672.55 2823.14 424.49 892.62 2501.68 1730.58 1521.11 587.12 745.07 2922.45 4597.41 1452.23 2548.43 2021.51 2535.26 4372.02 2867.41 2407.79 4162.38 5018.56 650.62 4003.33 853.8 2429.27 2042.18 1843.85 2537.65 8667.02 3440.45 2950.18 2153.04 2798.67 1995.45 297.93 3812.33 1899.24 4059.82 2458.41 5872.33 1361.47 936.44 1936.01 2618.89 988.15 1298.48 1578.29 2865.38 865.74 1943.78 5663.35 1979.65 622.17 1909.5 472.61 1270.58 953.91 1380.63 814 3463.5 1299.08 1156.05 1925.19 2827.37 653.99 5421.82 3096.95 1364.05 2593.92 1231.91 4956.27 2422.26 4329.56 747.81 3989.18 2285.43 1016.19 3700.77 2170.08 2614.62 1084.2 1545.06 1325.55 869.66 2335.02 677.27 3084.1 2648.94 784.14 1294.28 2642.33 3163.42 2307 2398.98 1658.79 1018.45 651.47 669.28 679.08 184.58 411.18 2302.45 1521.17 867.12
K03444 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K03445 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
K03446 0 54 4 10 0 0 15.09 0 6 0 0 8 14 0 0 6 0 12 2 2 11 23 0 2 0 0 6 8 2 34.92 4.62 6 29.08 6 0 6 2 0 7 0 12 81.38 0 2 8 2 48 0 10 0 8 96.54 6 0 2 12 4 0 14 6 583.42 10 0 4 16 8 4 2 8 118.02 4 6 2 22 2 20 22 4 16 0 0 0 10 4 2 22 6 0 36 0 10 6 10 2 2 154 43 0 69.02 6 4 164.01 21.2 0 0
K03448 0 0 6 12 0 0 6 14 0 1 0 0 0 1 5 6 2 1 0 6 2 0 1 10 0 4 6 0 1 3 0 13 0 9 3 0 3 0 5 2 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 8 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
K03449 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0
K03451 110.02 674 558 74 26 104 614.56 280 1678.26 170 68 300 732.66 943.06 138 592 1556.94 80 254 148 264.38 340 102 258 112 58 360 309.5 306 644 84 213.62 12 317.64 362 20.98 474 12 66 988 1278.02 1054.38 24 213.94 74 166.68 166 222 116 354 154 1711.7 832 32 102 56 14.8 170.38 1118.54 52 377.68 193 4 118 326 90 157 368 168 1031.4 28 416.98 297.9 238 80 616 861.98 163.48 114 54 203.76 58.5 56 58 22 134.92 38 3540 96 278 40 150 192.9 457 404 762 1285.38 42 414 54 8 64 834.42 18 8
