"genes","cluster"
"K00024",7
"K00041",7
"K00053",7
"K00134",7
"K00189",7
"K00249",7
"K00286",7
"K00346",7
"K00347",7
"K00381",7
"K00392",7
"K00413",7
"K00428",7
"K00625",7
"K00705",7
"K00798",7
"K00821",7
"K00849",7
"K00874",7
"K00928",7
"K00930",7
"K00946",7
"K00979",7
"K01091",7
"K01185",7
"K01195",7
"K01216",7
"K01251",7
"K01267",7
"K01342",7
"K01440",7
"K01547",7
"K01571",7
"K01586",7
"K01590",7
"K01629",7
"K01631",7
"K01639",7
"K01653",7
"K01676",7
"K01749",7
"K01787",7
"K01796",7
"K01847",7
"K02007",7
"K02009",7
"K02066",7
"K02132",7
"K02190",7
"K02217",7
"K02232",7
"K02388",7
"K02390",7
"K02397",7
"K02400",7
"K02406",7
"K02523",7
"K02652",7
"K02898",7
"K03233",7
"K03257",7
"K03263",7
"K03273",7
"K03325",7
"K03326",7
"K03413",7
"K03515",7
"K03654",7
"K03671",7
"K03695",7
"K03733",7
"K03748",7
"K03760",7
"K03767",7
"K03776",7
"K03839",7
"K04480",7
"K04718",7
"K05568",7
"K05571",7
"K05606",7
"K05613",7
"K05813",7
"K05879",7
"K05916",7
"K06073",7
"K06178",7
"K06200",7
"K06295",7
"K06334",7
"K06400",7
"K06411",7
"K06665",7
"K07154",7
"K07192",7
"K07455",7
"K07588",7
"K08289",7
"K08955",7
"K09043",7
"K09141",7
"K09251",7
"K09553",7
"K09861",7
"K09960",7
"K10206",7
"K10254",7
"K10877",7
"K11065",7
"K11535",7
"K11540",7
"K11808",7
"K11921",7
"K12681",7
"K13126",7
"K13199",7
"K13626",7
"K14155",7
"K14447",7
"K14665",7
"K15255",7
"K15378",7
"K15524",7
"K15531",7
"K15633",7
"K15921",7
"K16052",7
"K16212",7
"K16294",7
"K17363",7
"K17677",7
"K17680",7
"K17948",7
"K18118",7
"K18707",7
"K19119",7
"K19353",7
"K19607",7
"K20035",7
"K20047",7
"K20095",7
"K20456",7
"K20625",7
"K20906",7
"K20907",7
"K21079",7
"K21217",7
"K21238",7
"K21313",7
"K21397",7
"K21525",7
"K21527",7
"K21572",7
"K21619",7
"K22110",7
"K22214",7
"K22432",7
"K22933",7
"K23107",7
"K23163",7
"K23271",7
"K24213",7
"K24696",7
"K25379",7
"K26318",7
"K26940",7
"K26943",7
