"genes","cluster"
"K00096",12
"K00111",12
"K00330",12
"K00331",12
"K00337",12
"K00338",12
"K00556",12
"K00652",12
"K00757",12
"K00833",12
"K00949",12
"K00956",12
"K00957",12
"K00992",12
"K01023",12
"K01079",12
"K01082",12
"K01130",12
"K01132",12
"K01273",12
"K01364",12
"K01419",12
"K01476",12
"K01505",12
"K01557",12
"K01580",12
"K01698",12
"K01805",12
"K01880",12
"K01935",12
"K01940",12
"K01991",12
"K02014",12
"K02065",12
"K02078",12
"K02106",12
"K02426",12
"K02437",12
"K02445",12
"K02499",12
"K02517",12
"K02527",12
"K02549",12
"K02557",12
"K02601",12
"K02775",12
"K02804",12
"K02864",12
"K02874",12
"K02876",12
"K02879",12
"K02890",12
"K02907",12
"K02913",12
"K02935",12
"K02945",12
"K02963",12
"K02990",12
"K03072",12
"K03074",12
"K03076",12
"K03305",12
"K03317",12
"K03382",12
"K03385",12
"K03394",12
"K03429",12
"K03497",12
"K03562",12
"K03584",12
"K03585",12
"K03610",12
"K03980",12
"K04019",12
"K04107",12
"K04765",12
"K05337",12
"K05515",12
"K05576",12
"K05837",12
"K05967",12
"K05970",12
"K05979",12
"K06142",12
"K06187",12
"K06189",12
"K06194",12
"K06206",12
"K06212",12
"K06350",12
"K06714",12
"K06861",12
"K06941",12
"K06962",12
"K06989",12
"K07248",12
"K07263",12
"K07277",12
"K07278",12
"K07306",12
"K07584",12
"K07666",12
"K07788",12
"K07789",12
"K07796",12
"K08784",12
"K09021",12
"K09117",12
"K09650",12
"K09996",12
"K10540",12
"K10556",12
"K10974",12
"K11066",12
"K11105",12
"K11615",12
"K11690",12
"K11755",12
"K12452",12
"K13017",12
"K13183",12
"K13607",12
"K13746",12
"K13772",12
"K15655",12
"K15668",12
"K15856",12
"K15912",12
"K15987",12
"K16150",12
"K17064",12
"K17248",12
"K17716",12
"K18011",12
"K18014",12
"K18119",12
"K18139",12
"K18141",12
"K18142",12
"K18244",12
"K18324",12
"K18398",12
"K18898",12
"K18959",12
"K18979",12
"K19077",12
"K19449",12
"K19540",12
"K19701",12
"K20742",12
"K21063",12
"K21393",12
"K21523",12
"K22226",12
"K22709",12
"K22719",12
"K22982",12
"K23123",12
"K23751",12
"K23994",12
"K24289",12
"K24446",12
"K24819",12
"K25038",12
"K25213",12
"K25222",12
"K25985",12
"K26032",12
"K27000",12
