"genes","cluster"
"K00108",13
"K00121",13
"K00125",13
"K00158",13
"K00193",13
"K00241",13
"K00306",13
"K00344",13
"K00367",13
"K00374",13
"K00463",13
"K00537",13
"K00560",13
"K00571",13
"K00603",13
"K00607",13
"K00612",13
"K00627",13
"K00632",13
"K00738",13
"K00760",13
"K00835",13
"K00855",13
"K00869",13
"K00879",13
"K00882",13
"K00906",13
"K00937",13
"K01013",13
"K01104",13
"K01114",13
"K01139",13
"K01142",13
"K01229",13
"K01269",13
"K01355",13
"K01361",13
"K01429",13
"K01467",13
"K01510",13
"K01529",13
"K01533",13
"K01539",13
"K01628",13
"K01636",13
"K01671",13
"K01708",13
"K01782",13
"K01834",13
"K01857",13
"K01861",13
"K01906",13
"K02026",13
"K02038",13
"K02040",13
"K02048",13
"K02071",13
"K02076",13
"K02255",13
"K02336",13
"K02358",13
"K02363",13
"K02364",13
"K02423",13
"K02425",13
"K02434",13
"K02462",13
"K02483",13
"K02553",13
"K02564",13
"K02568",13
"K02600",13
"K02616",13
"K02639",13
"K02650",13
"K02654",13
"K02759",13
"K02836",13
"K02853",13
"K03025",13
"K03060",13
"K03078",13
"K03132",13
"K03135",13
"K03169",13
"K03181",13
"K03184",13
"K03197",13
"K03248",13
"K03251",13
"K03254",13
"K03304",13
"K03346",13
"K03459",13
"K03468",13
"K03472",13
"K03476",13
"K03478",13
"K03504",13
"K03567",13
"K03575",13
"K03586",13
"K03589",13
"K03590",13
"K03598",13
"K03618",13
"K03637",13
"K03697",13
"K03698",13
"K03699",13
"K03703",13
"K03713",13
"K03721",13
"K03731",13
"K03755",13
"K03757",13
"K03761",13
"K03764",13
"K03777",13
"K03810",13
"K03834",13
"K03835",13
"K03875",13
"K03892",13
"K03896",13
"K03897",13
"K03946",13
"K03949",13
"K04008",13
"K04021",13
"K04063",13
"K04064",13
"K04065",13
"K04067",13
"K04074",13
"K04080",13
"K04083",13
"K04086",13
"K04091",13
"K04109",13
"K04125",13
"K04416",13
"K04450",13
"K04491",13
"K04553",13
"K04649",13
"K04727",13
"K04748",13
"K04750",13
"K04769",13
"K04775",13
"K04882",13
"K05025",13
"K05391",13
"K05463",13
"K05517",13
"K05590",13
"K05681",13
"K05708",13
"K05738",13
"K05761",13
"K05775",13
"K05782",13
"K05790",13
"K05817",13
"K05820",13
"K05823",13
"K05835",13
"K05839",13
"K05858",13
"K05876",13
"K05894",13
"K05984",13
"K06048",13
"K06118",13
"K06144",13
"K06167",13
"K06191",13
"K06210",13
"K06217",13
"K06222",13
"K06286",13
"K06316",13
"K06329",13
"K06392",13
"K06409",13
"K06434",13
"K06537",13
"K06618",13
"K06709",13
"K06778",13
"K06820",13
"K06842",13
"K06875",13
"K06884",13
"K06918",13
"K06957",13
"K06968",13
"K06988",13
"K07002",13
"K07039",13
"K07042",13
"K07140",13
"K07156",13
"K07198",13
"K07243",13
"K07245",13
"K07261",13
"K07269",13
"K07285",13
"K07290",13
"K07321",13
"K07326",13
"K07346",13
"K07350",13
"K07357",13
"K07358",13
"K07390",13
"K07447",13
"K07470",13
"K07471",13
"K07497",13
"K07586",13
"K07592",13
"K07661",13
"K07676",13
"K07680",13
"K07689",13
"K07700",13
"K07703",13
"K07707",13
"K07711",13
"K07733",13
"K07740",13
"K07758",13
"K07773",13
"K07859",13
"K07910",13
"K07970",13
"K08080",13
"K08117",13
"K08229",13
"K08242",13
"K08243",13
"K08244",13
"K08291",13
"K08303",13
"K08315",13
"K08354",13
"K08485",13
"K08671",13
"K08682",13
"K08793",13
"K08826",13
"K08851",13
"K08857",13
"K08970",13
"K09114",13
"K09140",13
"K09157",13
"K09258",13
"K09289",13
"K09429",13
"K09475",13
"K09504",13
"K09531",13
"K09567",13
"K09574",13
"K09599",13
"K09708",13
"K09813",13
"K09814",13
"K09857",13
"K09872",13
"K09888",13
"K09893",13
"K09905",13
"K09906",13
"K09914",13
"K09952",13
"K09972",13
"K09982",13
"K09998",13
"K10002",13
"K10041",13
"K10107",13
"K10119",13
"K10233",13
"K10352",13
"K10521",13
"K10529",13
"K10562",13
"K10575",13
"K10748",13
"K10816",13
"K10847",13
"K10939",13
"K11208",13
"K11209",13
"K11257",13
"K11290",13
"K11320",13
"K11391",13
"K11450",13
"K11476",13
"K11576",13
"K11594",13
"K11621",13
"K11630",13
"K11739",13
"K11747",13
"K11748",13
"K11929",13
"K11932",13
"K11935",13
"K11937",13
"K11939",13
"K11940",13
"K12136",13
"K12176",13
"K12185",13
"K12255",13
"K12351",13
"K12389",13
"K12423",13
"K12449",13
"K12518",13
"K12556",13
"K12577",13
"K12619",13
"K12663",13
"K12843",13
"K12898",13
"K12909",13
"K12974",13
"K13094",13
"K13108",13
"K13239",13
"K13255",13
"K13265",13
"K13302",13
"K13330",13
"K13464",13
"K13555",13
"K13564",13
"K13573",13
"K13574",13
"K13604",13
"K13612",13
"K13894",13
"K14054",13
"K14070",13
"K14126",13
"K14273",13
"K14282",13
"K14327",13
"K14338",13
"K14396",13
"K14409",13
"K14414",13
"K14462",13
"K14485",13
"K14496",13
"K14509",13
"K14514",13
"K14588",13
"K14698",13
"K14746",13
"K14790",13
"K14843",13
"K14852",13
"K15012",13
