"genes","cluster"
"K00336",14
"K00891",14
"K01299",14
"K01598",14
"K01644",14
"K01818",14
"K01894",14
"K01992",14
"K02203",14
"K02791",14
"K02933",14
"K03303",14
"K03480",14
"K03706",14
"K03732",14
"K03746",14
"K03825",14
"K04032",14
"K05659",14
"K05661",14
"K06147",14
"K06896",14
"K06952",14
"K07560",14
"K07657",14
"K07668",14
"K07755",14
"K09779",14
"K10212",14
"K10440",14
"K10441",14
"K10544",14
"K10545",14
"K10820",14
"K11358",14
"K13049",14
"K13059",14
"K13789",14
"K13919",14
"K13921",14
"K14056",14
"K15555",14
"K17320",14
"K18359",14
"K20118",14
"K21285",14
"K21430",14
"K23509",14
"K23537",14
"K25047",14
