"genes","cluster"
"K00001",1
"K00011",1
"K00027",1
"K00034",1
"K00046",1
"K00057",1
"K00075",1
"K00137",1
"K00196",1
"K00214",1
"K00228",1
"K00235",1
"K00237",1
"K00246",1
"K00313",1
"K00324",1
"K00342",1
"K00373",1
"K00375",1
"K00416",1
"K00417",1
"K00555",1
"K00558",1
"K00561",1
"K00568",1
"K00573",1
"K00620",1
"K00662",1
"K00668",1
"K00688",1
"K00762",1
"K00801",1
"K00838",1
"K00852",1
"K00864",1
"K00865",1
"K00873",1
"K00885",1
"K00895",1
"K00939",1
"K00943",1
"K00967",1
"K00968",1
"K00974",1
"K00980",1
"K00986",1
"K00987",1
"K00996",1
"K01002",1
"K01009",1
"K01041",1
"K01069",1
"K01176",1
"K01180",1
"K01191",1
"K01198",1
"K01208",1
"K01226",1
"K01240",1
"K01293",1
"K01322",1
"K01420",1
"K01439",1
"K01515",1
"K01525",1
"K01705",1
"K01763",1
"K01902",1
"K01999",1
"K02025",1
"K02027",1
"K02031",1
"K02032",1
"K02033",1
"K02041",1
"K02053",1
"K02069",1
"K02073",1
"K02112",1
"K02113",1
"K02127",1
"K02134",1
"K02136",1
"K02137",1
"K02138",1
"K02167",1
"K02181",1
"K02202",1
"K02259",1
"K02269",1
"K02302",1
"K02309",1
"K02325",1
"K02327",1
"K02438",1
"K02441",1
"K02468",1
"K02492",1
"K02493",1
"K02515",1
"K02519",1
"K02529",1
"K02569",1
"K02611",1
"K02745",1
"K02753",1
"K02768",1
"K02774",1
"K02786",1
"K02788",1
"K02894",1
"K02896",1
"K02922",1
"K02988",1
"K03002",1
"K03013",1
"K03033",1
"K03086",1
"K03143",1
"K03215",1
"K03235",1
"K03264",1
"K03282",1
"K03284",1
"K03298",1
"K03347",1
"K03355",1
"K03390",1
"K03417",1
"K03420",1
"K03438",1
"K03491",1
"K03509",1
"K03520",1
"K03576",1
"K03595",1
"K03638",1
"K03670",1
"K03700",1
"K03723",1
"K03724",1
"K03846",1
"K03978",1
"K04028",1
"K04066",1
"K04095",1
"K04371",1
"K04382",1
"K04460",1
"K04555",1
"K04691",1
"K04739",1
"K04935",1
"K05285",1
"K05288",1
"K05304",1
"K05524",1
"K05533",1
"K05545",1
"K05605",1
"K05757",1
"K05759",1
"K05768",1
"K05799",1
"K05822",1
"K05874",1
"K05878",1
"K05887",1
"K06175",1
"K06188",1
"K06199",1
"K06258",1
"K06307",1
"K06346",1
"K06396",1
"K06924",1
"K06937",1
"K06944",1
"K06997",1
"K07009",1
"K07027",1
"K07053",1
"K07082",1
"K07095",1
"K07114",1
"K07149",1
"K07232",1
"K07251",1
"K07260",1
"K07297",1
"K07317",1
"K07400",1
"K07483",1
"K07496",1
"K07637",1
"K07770",1
"K07777",1
"K07827",1
"K08093",1
"K08154",1
"K08168",1
"K08179",1
