	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K10693	0.656241628543694	2.15834165940866	-0.992671711155543	0.933184113402455	-1.71762423855186
K10696	0.587991398040783	0.43866457787597	0.32471149437607	0.949376005268341	0.422676835888888
K10697	0.706517586697752	0.508857763192493	0.285162068158819	0.936201301638501	0.473463024675102
K10699	0.63516219642167	0.466930202080248	0.315458569016894	0.947435888646235	0.443918140413967
K10703	0.567654812477104	0.433885325528472	0.289918125281491	0.938535438707976	0.387700108596159
K10704	0.576634940144456	0.426534677381726	0.329050532316915	0.950077788676702	0.434995219162084
K10705	NA	NA	NA	NA	NA
K10706	0.944905889291467	1.60620547888361	-0.446629981307948	0.76327697055592	-0.76541391385462
K10708	57.9913375319672	90.6545569718584	-0.621697907347457	0.854440449081912	-0.64454212890434
K10709	6.06430687649301	8.73742278497854	-0.303596515370639	0.646216731414274	-0.526865039955828
K10710	2.35274517595749	2.96525815219922	-0.170830404792757	0.21847098093431	-0.333812637904284
K10711	15.1966491588896	20.2357502331191	-0.288150057856562	0.626164375080169	-0.413153091015243
K10715	1.07196425988712	1.14445114043608	-0.0535500442676792	0.0534689452738287	-0.0943990658096245
K10716	6.38666764104179	4.54286632916182	0.204255368693606	0.824934465727537	0.491460519672091
K10729	NA	NA	NA	NA	NA
K10730	1.89244109663259	1.42845604829485	0.216714348041472	0.857628556445889	0.405791749021881
K10734	0.582440846511793	0.435440510226841	0.321470012397503	0.94876427264862	0.419635903474644
K10736	NA	NA	NA	NA	NA
K10739	NA	NA	NA	NA	NA
K10742	53.6310079672285	54.9647982635556	-0.0275749543406879	0.0222548574038224	-0.0354405843154597
K10743	NA	NA	NA	NA	NA
K10746	NA	NA	NA	NA	NA
K10747	0.592416826840475	0.469079288308026	0.242500906434855	0.901165410870017	0.336780817521063
K10748	0.578953421467487	0.442827123591837	0.283772697463402	0.93547311611887	0.38670369245721
K10750	NA	NA	NA	NA	NA
K10751	0.587991398040783	0.442827123591837	0.315595682283785	0.947469941444553	0.409051458158759
K10752	0.582185491673446	0.41249233099229	0.37404606776664	0.950875388760021	0.497111590098326
K10753	NA	NA	NA	NA	NA
K10754	0.569367899439924	0.442827123591837	0.273446930968083	0.929365095839499	0.362617565945743
K10755	0.582440846511793	0.457479220059833	0.260762169496863	0.919896449148536	0.348405321342592
K10756	0.570160240031655	0.439445588883717	0.285507732502813	0.93637815585125	0.375682891510038
K10761	7.26452365936458	17.2309593942251	-0.729454951325258	0.897702123667883	-1.24606292351356
K10762	6.76337459403829	3.37760423497525	0.583494058517352	0.894591265002128	1.00174296789862
K10763	0.844805784486205	0.824255694227768	0.0184647755445956	0.00375384206520546	0.0355277644965889
K10764	0.571462739995507	0.435158979333697	0.292319075907724	0.939624675272676	0.393116870182683
K10771	1.07535920866195	2.02380862334351	-0.442198922343787	0.7602350420035	-0.912254219086097
K10772	0.582440846511793	0.435440510226841	0.321470012397503	0.94876427264862	0.419635903474644
K10773	387.783675600647	255.52440425953	0.607249284027572	0.892808362203517	0.601790987474922
K10774	0.723468211714543	0.884786149254956	-0.165091565362227	0.201564456958177	-0.290399173367995
K10777	0.582440846511793	0.425878205664666	0.342396955954086	0.951479307209555	0.451670633330204
K10778	0.643587531200662	0.442827123591837	0.400666647380822	0.945663621366525	0.539392784405513
K10780	0.582305727947251	0.419741070893148	0.345708996637668	0.951659405352211	0.472277174960894
K10781	6.1663601257499	3.45212639215372	0.41340757208799	0.941465857930404	0.836933861062473
K10782	14.5831259613428	21.5664404262011	-0.389111936281776	0.724607193020104	-0.564488075883865
K10793	931.651735952926	1179.2202273957	-0.689653543236754	0.884481012387977	-0.339970514784427
K10794	113.119185262068	109.321740290595	0.0441917227333388	0.0544519542479621	0.049263302934575
K10798	0.582440846511793	0.449495223251773	0.286394256132154	0.93683018092913	0.373805750705905
K10799	0.580727759548973	0.43866457787597	0.310417806462264	0.9461150991433	0.404743784835501
K10804	0.588339094535447	0.500566744787678	0.156775417446347	0.60686836833683	0.233085456466963
K10805	36.0974188744695	16.2214975059419	0.648355397348721	0.898279678527926	1.15398867197491
