	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
B9DSV6	485.767555195204	0.501124151811659	2.92660665639382	0.999999999751306	9.92088234858031
Q3K3V7	498.544928153886	0.636021170232916	2.83169081188412	0.97987163525065	9.61443302173034
A2RC40	583.932674935469	0.764971066769414	2.83626294447999	0.97952308357644	9.576181144188
B9DSV1	543.475502441737	0.721105407789869	2.83853922874493	0.979098455186833	9.55778912959721
P72483	612.607073542922	2.12524688492417	2.47323256212493	0.960555185571346	8.17118776959355
B9DVI5	143.152082105382	0.54035060406247	2.47374257599506	0.960481737429296	8.04943714143891
A3CQW3	123.625699740408	0.524429985343899	2.4689577536038	0.959881397787868	7.88101279462305
Q60151	130.443568026582	0.508186796929132	2.46756332983582	0.959175540320208	8.00385119989058
A2RGA7	174.164731050548	0.662923879145867	2.46590861839164	0.958044735214154	8.03739356648948
Q8E4E6	211.328411958729	0.702972392487032	2.46576595602987	0.957935843775935	8.23180299538926
P9WH72	47.833768244501	0.472080898966667	2.09113950324452	0.95417880013233	6.66285152735719
Q5XCB9	52.874145962508	0.525829614230238	2.08903743256309	0.954176864503652	6.65182324992102
O68007	348.496319088851	136.928575662346	2.08885836379848	0.954173246815666	1.34771986360069
P42306	602.466904722765	245.117684242755	2.08758111444991	0.954129942884799	1.29740741950992
Q8DUK7	48.8102114216672	0.530141635382873	2.09346029934361	0.954113524775576	6.52466134151432
Q8DN86	46.8566735435989	0.464882928912799	2.08719885215818	0.954113073958657	6.65524327832698
F1CYZ5	454.491205267362	141.188474989144	2.09383281283562	0.954098280960414	1.68663004919255
P39661	285.460357008856	63.6408060353542	2.08636796644262	0.954057215677672	2.16526639363518
Q9WZI1	384.893907376707	129.011194968109	2.09480333313095	0.954052595001374	1.57696457320881
A2RC51	123.083010922092	1.02859409549668	2.08598383498963	0.95403082991726	6.9028140537303
Q8Q0F9	142.300004916533	46.7430720320208	2.08555997943183	0.953988927398112	1.60611125305621
A2RCM9	48.6383040370796	0.50098404619398	2.0854394683226	0.95397686363469	6.60118445266341
A3CLJ1	49.3703215824716	0.504070373845643	2.08495944011653	0.953928975499825	6.61387506803474
P0DG02	73.889428060712	0.789533869350078	2.08474853044556	0.953906593763922	6.54822299522082
Q8E2G8	48.3837849348556	0.482325764794913	2.08446558887983	0.953869398060845	6.64837194391011
A2REI5	146.35481596732	0.546342809291623	2.4835816829611	0.953858049502427	8.06544803324667
D0ZLR9	171.715789494658	54.5190815301049	2.08432238522838	0.953850614057097	1.65518954043943
P0DB80	130.331424867596	1.23576338600618	2.10063516807728	0.953650831420766	6.72063863701773
P74002	182.007786487855	69.6532926332822	2.10155859913699	0.953565967809751	1.38573671350622
Q9EZ02	499.615654550127	241.952636808564	2.10214483772431	0.95350852701352	1.04609402004285
P31307	53.7260537575165	0.580586296735012	2.10290355381954	0.953428205485113	6.53196754283232
P13522	67.2432258378221	0.717340727893288	2.08168103753718	0.953412111627695	6.55058658209421
O32162	721.455173752502	248.149989295391	2.10473083553	0.953209820664688	1.53969736598326
Q8E298	53.0365666815894	0.501360028966855	2.10491434099709	0.9531845166316	6.7249965938933
Q8E602	54.8631717241255	0.574674174410954	2.10542924003505	0.953112928091507	6.57695000219686
A3CQ60	52.1119838039648	0.488613869891846	2.10594439164989	0.95303934445052	6.73677654942306
P55631	1051.6327117093	349.190219318959	2.10716164062779	0.952845294624924	1.59054586839633
A0RLC3	104.072347267755	22.9484735669984	2.07925219142864	0.952822942159594	2.18111668552505
B8FPU4	424.744828291222	114.684829061637	2.07917858891498	0.952802879103822	1.88892182233153
Q03FS3	115.451593381835	28.8254364998752	2.10878447073402	0.952546777152518	2.00187372461305
Q5KW36	497.431144109123	168.512761123845	2.10881146223719	0.952541461933277	1.56163898949619
Q927I2	245.284622326556	49.9189093543341	2.10933043052256	0.952438585282034	2.29679847043309
Q5KX27	541.907877492967	195.508752093936	2.10947540707164	0.95240798905509	1.47081442685445
B7IK95	159.096517245343	17.7771150337177	2.07743633972269	0.952264218508074	3.1618091342946
Q8DVV4	78.179687532953	0.850235965624356	2.07731980567849	0.95222437466669	6.52278672091894
Q1JDL6	51.40159445058	0.520260710800305	2.07726530262939	0.9522057444302	6.62643453996921
A2RCD9	52.1582612675482	0.50358016646042	2.11099653383658	0.952065153801421	6.69453050335571
A4IJI1	523.621611475563	218.489287644291	2.11218102597581	0.951771289649405	1.26096209570546
Q839B2	260.009133464761	85.9363856307305	2.11263723990302	0.951652236761194	1.59722129670068
A2RH05	135.274222026248	0.5078053471846	2.45934822947039	0.951635816175706	8.05739564231436
Q03LX0	45.1578083595653	0.497161185638322	2.07499076286145	0.951363362097165	6.50511799265907
Q8DQH3	67.7466427159684	0.702219138891374	2.07453924011376	0.951181553201798	6.59208432592809
Q2NUD6	186.142749569151	41.5070751570876	2.074467671883	0.951152739671438	2.16498024348758
A8MFI7	334.732274641096	115.277556431701	2.11509148167363	0.950951890524448	1.53789600156366
P42062	636.301517990069	345.051080179853	2.11545955290559	0.950839558075398	0.882900614021027
Q8Z291	45.6150316761357	0.475189524072307	2.07367301562115	0.950815441129842	6.58486247756615
P42182	138.357592651115	44.5222880139867	2.07338932006762	0.950692713726035	1.63580217667505
Q3A944	365.131903584858	85.1732235219504	2.11726187535819	0.950267966955047	2.09994587337286
