	T1_LoCHO_FAT_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
P42956	6.18912714052539	1.45760740574996	1.26101191865815	0.959114576776991	2.08613376464661
Q2LVL6	13.626750374537	4.42015316870606	1.26026538849612	0.959018721500997	1.62427328955136
Q9ZJQ9	43.3548500705569	23.2154156691917	1.26010644504819	0.958998335848583	0.901110283139264
P07346	56.6745337772259	29.7097269478445	1.25990144251073	0.958972054616479	0.9317652720387
Q9KQH7	4.84946096094345	0.619306687945485	1.25976363754331	0.9589538612715	2.96909846323193
Q949P2	7.2846457479754	1.57590821502134	1.25860388115244	0.958784081199101	2.20867530485184
A6KYH0	311.303962285832	195.453879725622	1.25837689216444	0.958750910049195	0.67149571743031
C4ZHH4	120.461247664485	77.1550183747979	1.25772802493292	0.958645662178694	0.642737204852875
Q7W0R8	6.09045251352232	1.39470850473855	1.25761320785619	0.958626908095279	2.12658579360244
Q8A0Y9	8.66184983172306	2.41320360426084	1.25757643533455	0.958620902902088	1.84372551875889
P80885	166.628170991335	90.7010944194374	1.25755548703927	0.958617482165792	0.87744046670927
Q65PH9	53.3639836623898	21.8814338268899	1.25732859859065	0.958580444545348	1.28615909198676
A6KYH3	88.7700910649958	35.7295937968586	1.25724571652697	0.958566920207816	1.31295416496226
B2RLY2	36.4288616558018	10.4026307966178	1.25683593347815	0.958499518988422	1.80813348574779
B3QZE8	12.5668047911026	3.17121035309216	1.25681524001154	0.95849573754779	1.98651239708646
Q6MTG1	60.1132808293579	28.0102771950564	1.25669293623915	0.958473392562153	1.10172750015053
Q6GIN2	11.4410445604587	2.60312918960683	1.25641251308261	0.95842218688471	2.13589995777692
Q45495	48.8666952018242	22.8815052116959	1.25613039536469	0.958370710852431	1.09466958018676
A6LFL9	28.8042220216738	7.34888303806604	1.2559503005011	0.95833787068626	1.97068339685425
O31707	44.1953698800894	24.3385575379351	1.25589391255027	0.958327591662424	0.86065156680544
B1HQZ1	3.00224690768395	0.568532669818909	1.25561724674741	0.958277180570742	2.40072747169959
P23054	42.8447576118183	13.5470296539903	1.25560450966044	0.958274860659591	1.66114213186377
Q8A0L8	8.2462571028988	2.01024470280666	1.25473440962054	0.958105776915969	2.036368314176
Q9ZJD1	138.439195738139	75.642990543102	1.25409474972346	0.957979320690116	0.871974158882221
P0AAT2	3.94356699075108	0.795011642272101	1.25348543308088	0.957851958221324	2.31045325773909
A0Q2S8	82.4149388313579	43.4071936839244	1.25312196330042	0.957774618272139	0.924971715250547
A6KZW5	33.4155465871274	17.2177616754618	1.25219937867377	0.957574658513883	0.956621869663953
Q9ZXB2	60.7231979626048	24.8809318738261	1.25203549388703	0.957537513616212	1.28720725148549
Q5L8C1	19.7879464890099	7.98125939541915	1.25192846887343	0.957513265987125	1.3099335849995
A8MJ53	5.67061153044536	1.27387950831453	1.25137824915393	0.957388730800128	2.15427550205937
Q49V53	46.3952944828936	19.0455633912775	1.25129552353899	0.957370024678547	1.28452352610186
P52039	121.669578983189	65.8077232060237	1.25102237736069	0.95730829311537	0.886639682476008
A4VTP6	28.7260136586389	12.9093197697783	1.25031331955764	0.957140385351178	1.15394481955889
C1CK08	25.216821994614	9.12731936704894	1.25014117658532	0.957099644152596	1.46612335071179
A4XLS0	55.9376092678155	27.9492880651946	1.24995124292214	0.957054717741954	1.00100706074481
B8I562	15.6901210430251	5.36918652108304	1.2498271884694	0.957025388559259	1.54708105325585
Q97FJ6	26.1022255968741	10.2763378560862	1.24976144530693	0.957009850027971	1.34484659516726
Q64ZY1	8.42808213985686	2.15024123651447	1.24940927763414	0.956925231659945	1.97070584920102
O32861	26.0781115592559	9.36492886376916	1.24928678436652	0.956895040648859	1.47749946003025
A7MXY8	45.9439892627056	20.0709262006092	1.24849122279764	0.956699249855444	1.19476893628119
A9KJF4	250.032122403739	132.765002405468	1.24844488522165	0.956687861564221	0.913238559961488
Q9RDE2	68.7967449548112	33.3433798514415	1.24832893617346	0.95665937250057	1.04493995644463
P18584	18.8779187330593	6.41646699947817	1.24775781890853	0.956516776986376	1.55684866604459
Q28VL7	7.92666193413363	2.00921336324805	1.24720725287556	0.95637780278331	1.98008267240616
B0TH41	3.19033269200784	0.566513355296973	1.24704445743706	0.956336759144726	2.49352500549005
