	Prefeed_HiCHO_mean	T1_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00001	2.10294898936689	0.745665613186861	0.736733721292692	0.924285737989507	1.49581313802136	0.0757142620104931	K00001
K00002	4.37691927306361	3.27148527114893	0.258503050582567	0.924029072219515	0.419970000046299	0.0759709277804852	K00002
K00003	80.3135417727216	118.807574221721	-0.781978140595929	0.950955684223585	-0.564911645691805	0.0490443157764151	K00003
K00004	13.3913981063383	3.54133293827997	0.855852934789253	0.940981561589868	1.91894220053203	0.0590184384101324	K00004
K00005	24.8255858864436	30.0153054091719	-0.228941868103031	0.657279022628059	-0.273870581716397	0.342720977371941	K00005
K00006	1.8168781493501	0.765029069381186	0.680133843006601	0.914120852119786	1.24787519398932	0.0858791478802137	K00006
K00008	34.8168829905632	44.489392895437	-0.269426890705092	0.70285586946676	-0.353674361219718	0.29714413053324	K00008
K00009	5.77410730666711	1.67566525712896	0.690893752276262	0.916089203342497	1.78486394428677	0.0839107966575032	K00009
K00010	64.4589894064465	86.6776865383395	-0.442301502557531	0.850800367972619	-0.427279077967036	0.149199632027381	K00010
K00011	6.79907173256898	7.4401261363791	-0.0774145234804619	0.198040859769731	-0.129989289569767	0.801959140230269	K00011
K00012	175.512045622164	231.352484283912	-0.656627023328774	0.930807997520405	-0.398522542793443	0.069192002479595	K00012
K00013	1441.74421449755	719.810724193031	2.50508158909374	0.999336386272041	1.00212573137491	0.000663613727958534	K00013
K00014	12.3801164735315	27.7004669479058	-0.891426437284805	0.96403405521604	-1.16188540839521	0.0359659447839595	K00014
K00015	44.5404194770017	69.6638464949957	-0.69863386268185	0.940538603166759	-0.645294988308505	0.059461396833241	K00015
K00016	2451.15815643369	1482.30172902689	1.67357238787657	0.99136059822688	0.725624429981686	0.0086394017731195	K00016
K00018	59.4719986209719	36.0474111819991	0.560362134858603	0.882509190293838	0.72231490674556	0.117490809706162	K00018
K00019	1.20354938801104	3.13852255338288	-0.720763117613624	0.944100796143668	-1.38279023169441	0.0558992038563316	K00019
K00020	0.646080135238737	0.682501248587292	-0.0523040550991815	0.0359317096874427	-0.0791185675726922	0.964068290312557	K00020
K00021	1.55561485524651	0.691741848347729	0.611119761548931	0.89610690196889	1.16917927389358	0.10389309803111	K00021
K00022	15.603630079878	14.9170544167631	0.041075257399906	0.448989090745245	0.064919018270535	0.551010909254755	K00022
K00024	952.196792858623	553.908570698436	1.13615605785206	0.967672501745311	0.781611908009966	0.0323274982546888	K00024
K00025	5.38132066925232	9.13370753837672	-0.409033598641256	0.832130714422068	-0.76324031673786	0.167869285577932	K00025
K00026	28.868846248057	12.8343331716118	0.733159122717014	0.923679511137462	1.16950511067067	0.0763204888625377	K00026
K00027	327.57888897149	324.778797130425	0.0255384326744806	0.352932904970304	0.0123849339338304	0.647067095029696	K00027
K00029	668.154820061882	446.252478201739	1.38490868264028	0.983218324504251	0.582322251451532	0.0167816754957492	K00029
K00030	88.4179154573288	39.1910016495941	1.1414061417387	0.967711775065204	1.1738162756526	0.032288224934796	K00030
K00031	259.142919118683	345.412516573336	-0.771920157904846	0.950368618992533	-0.41457238844264	0.0496313810074667	K00031
K00033	240.264114101755	122.167924601228	1.456945331246	0.98491314935168	0.975755630517819	0.0150868506483199	K00033
K00034	0.712102826835113	0.786216935722597	-0.0824954039828423	0.234640308641414	-0.142841861116288	0.765359691358586	K00034
K00036	16.4335529046651	15.5379566125023	0.0394347406466859	0.439357932225081	0.0808476338430226	0.560642067774919	K00036
K00040	7182.22579175129	2821.65329195569	3.21344371545091	1	1.34789027954346	0	K00040
K00041	1761.79310952178	1205.79042725905	1.23642045165465	0.975931787325287	0.547065334964114	0.0240682126747126	K00041
K00042	15.5736628069444	25.0609051635157	-0.402081647220811	0.828023953531502	-0.686330228434868	0.171976046468498	K00042
K00046	10.6620785809715	1.8779000458875	1.38728277521209	0.98322417552085	2.50529653960873	0.0167758244791504	K00046
K00048	2333.35127864215	2193.63776307142	0.179896338105008	0.916726543796072	0.0890782046662311	0.0832734562039279	K00048
