	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00001	0.725861695695832	0.498470120244791	0.344042500403022	0.95157665605211	0.54218765818249	0.0484233439478903	K00001
K00002	7.08251555772831	2.33313078005332	0.924786646187955	0.912853874526538	1.60199468804901	0.0871461254734622	K00002
K00003	149.370514105832	125.479616116614	0.323314489220235	0.949119849150134	0.251442366114624	0.0508801508498655	K00003
K00004	1.61163547474442	2.1030683410003	-0.161212261010608	0.19196451827334	-0.383970265401265	0.80803548172666	K00004
K00005	19.4784447082209	26.7531959880936	-0.335950195704096	0.678441562237955	-0.457832761510755	0.321558437762045	K00005
K00006	0.607582856367412	0.459472520845613	0.282366444246856	0.93471555100789	0.403102580693077	0.0652844489921095	K00006
K00008	60.551630507568	37.7708943249598	0.555667157878242	0.895046705662248	0.680890864927261	0.104953294337752	K00008
K00009	2.4897549598898	1.58792907695989	0.193342774797202	0.788139258022709	0.648857282553476	0.211860741977291	K00009
K00010	48.8685485347761	55.3752040818569	-0.143980300786232	0.162004356867472	-0.180333855508555	0.837995643132528	K00010
K00011	3.23610764729031	4.10682246108513	-0.146309491118284	0.165318222200197	-0.343762981613644	0.834681777799803	K00011
K00012	200.896679246498	251.747838599154	-0.512937292037791	0.808263934259769	-0.325525674901667	0.191736065740231	K00012
K00013	1475.6287908837	1201.35462442425	0.577215698195644	0.894734175722766	0.296667763815619	0.105265824277234	K00013
K00014	22.5091737141564	29.2167439473589	-0.300442256479029	0.642385226201014	-0.376282308225153	0.357614773798986	K00014
K00015	47.1370758843044	96.9299905825484	-0.969247257139479	0.931788584347073	-1.04008084637502	0.0682114156529271	K00015
K00016	3170.71461432225	852.287115570308	2.95409482966156	0.998194165962975	1.89539660339246	0.00180583403702472	K00016
K00018	30.7783740847452	32.4987199097458	-0.0629753894535941	0.0625252203651721	-0.0784658719459434	0.937474779634828	K00018
K00019	2.02118464330736	5.82509879612415	-0.756423933378682	0.902973665337728	-1.52708139498403	0.0970263346622722	K00019
K00020	0.885685746787188	0.600509075455695	0.322408341895353	0.948947014484124	0.560608852516018	0.0510529855158757	K00020
K00021	0.650712437623587	0.418516231579733	0.462350678244216	0.922037330518934	0.636736552644615	0.0779626694810658	K00021
K00022	12.7591258770025	18.176468677886	-0.226185684065492	0.470167600389978	-0.510542446154889	0.529832399610022	K00022
K00023	0.579448750181821	0.412947686272295	0.366068559783596	0.951505807615515	0.488722039212072	0.0484941923844846	K00023
K00024	429.16883016491	844.063240573495	-1.5988034548728	0.982613832506895	-0.975805796128172	0.017386167493105	K00024
K00025	5.72319692958253	7.12096488399506	-0.168503657030255	0.21121330659678	-0.315251488788296	0.78878669340322	K00025
K00026	10.6023803943545	9.50239737731819	0.0835699631958133	0.196836220430162	0.158024763292324	0.803163779569838	K00026
K00027	206.518832851907	228.204962871039	-0.210779524740418	0.397641294232801	-0.144056817078874	0.602358705767199	K00027
K00029	689.172321702473	744.11455853794	-0.238209507311988	0.518446771801936	-0.110659983695163	0.481553228198064	K00029
K00030	47.0425469952642	57.5640302633973	-0.25677082433545	0.572471305537385	-0.291201430621798	0.427528694462615	K00030
K00031	285.37384061433	323.52668095352	-0.30285812296818	0.645341969196871	-0.181031601644543	0.354658030803129	K00031
K00033	915.990464738431	190.613680401105	1.83299916723037	0.991220116959335	2.26468091463854	0.00877988304066502	K00033
K00034	0.784287042841721	1.52430574332104	-0.533455960190033	0.823152505532376	-0.958698634753595	0.176847494467624	K00034
K00036	75.9753498578527	10.3466482906668	1.35119040889705	0.960785057934279	2.87636791867897	0.0392149420657211	K00036
K00040	2838.25459274635	2012.22842364814	0.775376698107932	0.90670929259526	0.496209919675436	0.0932907074047404	K00040
K00041	1669.42889812024	1297.97960447242	0.795855709083207	0.910929524223496	0.363086935515123	0.0890704757765043	K00041
K00042	11.38185784211	14.9513021554883	-0.235970208517865	0.510217262456126	-0.393535073074754	0.489782737543874	K00042
K00046	6.33911739671565	3.11329222387527	0.527768381162534	0.900299472535805	1.02584098682563	0.0997005274641951	K00046
K00048	1445.37313854919	1726.92580554847	-0.38809434046922	0.723875195704838	-0.25676411326223	0.276124804295162	K00048
K00049	0.543903413251384	0.572997420893338	-0.0384606005728181	0.0355563974526114	-0.0751781658864921	0.964443602547389	K00049
K00052	568.051806803125	521.18983692999	0.257183477061804	0.916758902030484	0.124213558740896	0.0832410979695161	K00052
K00053	1492.44157766215	1034.6581815696	1.12736607323488	0.944594708811751	0.528520232111337	0.0554052911882491	K00053
K00054	0.600535183232653	0.434448480015878	0.321692314571097	0.948807518503719	0.467063668641353	0.0511924814962813	K00054
K00055	0.761426313199888	1.15120220699109	-0.254159024546406	0.566293483667379	-0.596364930804716	0.433706516332621	K00055
K00057	557.641396212242	326.849392935505	1.49034096646823	0.972778886013824	0.770711645251636	0.0272211139861763	K00057
K00058	328.472377019363	410.622517214527	-0.530010523294288	0.82078743119322	-0.322040690571691	0.17921256880678	K00058
K00059	373.978605524243	445.369706450124	-0.479947970515733	0.78719098623172	-0.252047691826189	0.21280901376828	K00059
K00060	144.404865620845	135.394402857604	0.118736752376152	0.374824764177837	0.0929512538477799	0.625175235822163	K00060
K00063	0.587991398040783	0.464161332757476	0.236249963660091	0.892880459951001	0.341168706359358	0.107119540048999	K00063
K00065	8.55304068547566	19.0838502876839	-0.760540314381037	0.903884615381634	-1.1578429657732	0.0961153846183656	K00065
K00066	0.620102646175484	0.439397885623744	0.370589252873627	0.951191919728353	0.496979118386596	0.0488080802716465	K00066
K00067	301.520905344663	181.724800492137	1.11533060251175	0.945977065167536	0.73050271030965	0.0540229348324639	K00067
K00068	0.599128594282734	0.567505258787764	0.0506387921409722	0.074951497755376	0.0782319286635339	0.925048502244624	K00068
K00073	1.31740948816866	1.60078938102466	-0.138318556837	0.154217226317041	-0.281079656378261	0.845782773682959	K00073
K00074	249.67350911002	324.941787131302	-0.495176610926903	0.796448934741788	-0.380138528105679	0.203551065258212	K00074
K00075	515.436487783107	556.618023422188	-0.230922161415373	0.490326554871221	-0.110892954939716	0.509673445128779	K00075
K00076	53.0563027093101	66.0661896754689	-0.179634520259803	0.250726529054284	-0.316387997442934	0.749273470945716	K00076
K00077	23.5597705620655	25.7517253603913	-0.063375147308705	0.0628808045716408	-0.128343606326862	0.937119195428359	K00077
K00078	78.5451127708951	67.0866921237812	0.203205934401616	0.82173802430625	0.227494901254986	0.17826197569375	K00078
K00081	0.600763208717681	0.473439829701911	0.24066341400112	0.89884966995586	0.343615380906438	0.10115033004414	K00081
K00082	0.569367899439924	0.449645059549087	0.2463673252896	0.905750286417726	0.34057453999025	0.0942497135822742	K00082
K00085	0.582440846511793	0.427820890703496	0.337373913294308	0.951084158059376	0.445104603399282	0.0489158419406243	K00085
K00087	508.607263611649	454.047694060474	0.336875075200707	0.951034732845148	0.163708216852562	0.0489652671548521	K00087
K00088	1809.29076067511	1482.91115122809	0.862465855013871	0.911186165597216	0.286992112621138	0.0888138344027838	K00088
K00090	0.971364287300548	0.533218997805795	0.48040172601133	0.916006233952612	0.865284263486306	0.0839937660473882	K00090
K00091	1.37682085798878	15.7925859757199	-1.38698371301653	0.965039672109939	-3.519834662641	0.0349603278900611	K00091
K00093	5.13887520817821	7.48425804628602	-0.339643013477177	0.682005344365361	-0.542406683116872	0.317994655634639	K00093
K00094	53.1782941032889	16.7196520153418	1.1364600018766	0.942981745851825	1.66929267694384	0.0570182541481749	K00094
K00096	12.1515900179947	15.224273750594	-0.239917817977956	0.524469112186643	-0.325228307590807	0.475530887813357	K00096
K00097	1.29663188542023	1.4915311282582	-0.11834774534047	0.126071420500823	-0.202025131315676	0.873928579499177	K00097
K00098	0.789542559580097	0.78332215255304	0.00610552921930293	8.09672938758554e-05	0.0114112766198471	0.999919032706124	K00098
