	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K00001	1.99017279203854	0.652558065361901	0.855306984354641	0.815263383640005	1.60871550962727	0.184736616359995	K00001
K00002	4.14219540951527	6.06030064905119	-0.354826330035599	0.384129004388505	-0.548993752181693	0.615870995611495	K00002
K00003	76.0065158387137	132.322812739933	-1.02420839573299	0.870271295824618	-0.799866799391466	0.129728704175382	K00003
K00004	12.6732489914625	1.45384154439005	1.65222600188416	0.985488395228406	3.12384448780574	0.0145116047715944	K00004
K00005	23.4942482330447	17.3373917682722	0.34308141883105	0.24555578653571	0.438420728945854	0.75444421346429	K00005
K00006	1.71944325685927	0.534913436043879	1.04800834760787	0.874887551212297	1.68456415934051	0.125112448787703	K00006
K00008	32.9497356244809	53.6850418753953	-0.647434139059458	0.664083202759183	-0.704253280135633	0.335916797240817	K00008
K00009	5.46445554226183	2.12365221124643	0.479229225387335	0.42871320433064	1.3635302418441	0.57128679566936	K00009
K00010	61.0022057442446	43.6777358163392	0.421205233401106	0.351371957170441	0.481963338009674	0.648628042829559	K00010
K00011	6.43445354200001	2.85051550958778	0.598162912109872	0.574492299672195	1.17459477891207	0.425507700327805	K00011
K00012	166.099748324098	175.661959836849	-0.119192122843258	0.237745454429358	-0.0807519175948284	0.762254545570642	K00012
K00013	1364.42687068498	1298.64463957578	0.163636385986666	0.0358436285329096	0.0712883659322242	0.96415637146709	K00013
K00014	11.7162000088781	19.9342762992758	-0.596296524615695	0.617695493075836	-0.766746503208524	0.382304506924164	K00014
K00015	42.1518217690098	41.4502168448169	0.0238119756773395	0.177852062209332	0.024215335543822	0.822147937790668	K00015
K00016	2319.70832225765	2790.86438273868	-0.592528579382197	0.614657753278435	-0.266768607055939	0.385342246721565	K00016
K00018	56.2826555194975	27.5057975292354	0.765937981337622	0.759217799153776	1.03295466473244	0.240782200846224	K00018
K00019	1.13900587128141	1.80019942294413	-0.350129025356233	0.379476282505555	-0.660381550855771	0.620523717494445	K00019
K00020	0.611432380495268	0.780297094263761	-0.222894146852749	0.177770984193243	-0.351830570478638	0.822229015806757	K00020
K00021	1.47219089738103	0.576698113451287	0.876599505843771	0.822481616993981	1.35207654817369	0.177518383006019	K00021
K00022	14.7668441788292	11.2273491028407	0.222685189821514	0.116225818930215	0.395344208571031	0.883774181069785	K00022
K00023	0.502952321597201	0.509584289235479	-0.0157042301864696	0.178066054484525	-0.0188991559361054	0.821933945515475	K00023
K00024	901.132723330634	376.488913552191	1.55797766823713	0.97100108079958	1.25913222646034	0.0289989192004196	K00024
K00025	5.0927331263536	5.05744854265806	0.00515992925372222	0.183629967373964	0.0100303818452249	0.816370032626036	K00025
K00026	27.3206780720458	9.6308414929458	0.916541991675065	0.83858649828389	1.50425952643396	0.16141350171611	K00026
K00027	310.011605309335	181.666187379585	1.36709824164954	0.936770758703017	0.771032300981612	0.0632292412969828	K00027
K00029	632.323252004746	608.59739418896	0.124365252963494	0.0337670276872124	0.0551741150311344	0.966232972312788	K00029
K00030	83.6762710658598	41.7489592107356	0.986779861786384	0.85583237899243	1.00307832894541	0.14416762100757	K00030
K00031	245.245695205719	254.778391885254	-0.0894036043820882	0.272448888206302	-0.0550151127206612	0.727551111793698	K00031
K00033	227.379316001627	789.253240999219	-1.68532987144233	0.975891964261971	-1.79538725719127	0.024108035738029	K00033
K00034	0.673914430766881	0.683681810772996	-0.0128171651041162	0.177286464718805	-0.0207596241179898	0.822713535281195	K00034
K00036	15.5522601987777	68.5660800197618	-0.990016572299371	0.847712183405656	-2.14037078305301	0.152287816594344	K00036
K00040	6797.05995214091	2527.09742132087	2.86890865484141	1	1.42742956565309	0	K00040
K00041	1667.3122978731	1453.18424843778	0.534472513933783	0.493843685935099	0.198306722226281	0.506156314064901	K00041
K00042	14.7384839801057	10.3072591556596	0.325543239766729	0.222638891012149	0.515927383632159	0.777361108987851	K00042
K00046	10.0902964388188	5.5666442688076	0.510765737610773	0.470860209567381	0.858088762246914	0.529139790432619	K00046
K00048	2208.21914963329	1302.97958290365	1.33878058851781	0.938276518117669	0.761068878464828	0.0617234818823312	K00048
K00049	0.513578193825398	0.478977925861306	0.075270326556824	0.00122731257130826	0.100624778363561	0.998772687428692	K00049
K00052	479.898716336917	505.36515165309	-0.168144736296175	0.192449151743908	-0.0745962300786736	0.807550848256092	K00052
K00053	1034.21914398733	1338.73112291233	-0.830096450546491	0.789223828448974	-0.372324316773338	0.210776171551026	K00053
K00054	0.565804142307423	0.52842564822608	0.0677013052977566	0.0123761732670856	0.098602246427866	0.987623826732914	K00054
K00055	0.586706409844878	0.682207468358648	-0.141469232845854	0.210994227158421	-0.217571794985254	0.789005772841579	K00055
K00057	676.509633909691	494.336149261796	1.1363396729038	0.886387761004767	0.452618069078266	0.113612238995233	K00057
K00058	287.005515876751	292.140735953311	-0.044552925185974	0.214901055641247	-0.0255850769351716	0.785098944358753	K00058
K00059	533.626751531056	332.56025182155	1.43386686468444	0.960024955491004	0.682215247346092	0.0399750445089961	K00059
