	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
K20525	0.603113680676283	64.6115461323558	-2.87721218601793	1	-6.74321822761591
K24846	4.32992770342912	168.534465064824	-3.28271591839635	0.999999999999994	-5.28255690394012
K03462	28.0723028721521	654.247965602708	-2.49032832948756	0.999999999998918	-4.54261820990081
K18221	1.01853875081841	29.7070287139822	-2.10958439121981	0.999944758876652	-4.86623154004697
K07714	609.712295568635	1340.74105745614	-2.09692512030084	0.999928576297459	-1.13683008578181
K03338	9.64638311020627	97.1230515141248	-2.11465461870038	0.999899996834593	-3.33175373681784
K10671	515.726398366722	1076.12990945027	-2.11594112618438	0.999881877802873	-1.06117444984219
K02395	14.8317861836706	134.06583547145	-2.04318180241472	0.994177980621308	-3.17617738005959
K01711	65.63226847313	224.619209293472	-2.03227913470197	0.993434821318746	-1.77500410789226
K00639	415.421514114849	913.399825005364	-1.80657206879546	0.989691362070853	-1.13667057998603
K13560	2.69577061441484	27.4695204561054	-1.79325436481974	0.98947562451358	-3.34906207844557
K03406	28.4369801140717	122.410856925856	-1.79299490429537	0.98946587752159	-2.10589134979812
K19973	0.598752217673154	7.48972007658123	-1.78156709015567	0.988875656252291	-3.64488080044172
K00972	0.87275613270314	9.48442295456475	-1.7813162450018	0.988858948990217	-3.44190950625196
K10672	422.705684386475	848.856798505647	-1.82574668592217	0.988658762789806	-1.00586767943486
K10268	1.11797489283647	55.4334092511201	-1.77667493391595	0.988505567254448	-5.6317960445878
K00561	165.939763585395	617.58478466863	-1.77514338336117	0.988372583524795	-1.89597757374785
K01712	160.243810719521	390.603443704369	-1.76838199964176	0.987673606616368	-1.28543603355865
K26933	1.69197480525071	13.2997724887613	-1.7663984033462	0.987434862768351	-2.97462157567776
K18324	65.5964878441375	249.726951401003	-1.85163076666403	0.98542290204352	-1.92866105284004
K27323	0.759730415256598	26.4775002979628	-2.28521205162434	0.985143104851118	-5.1231355359719
K01728	0.574866529600831	9.76531086102759	-1.85374208548366	0.985112913910005	-4.08636703001969
K25675	38.103965380705	304.405098755497	-2.67512209271436	0.984885060514633	-2.99797947587443
K04751	0.938666081156242	11.3364200584462	-1.74669127938282	0.984474221369345	-3.59420928336125
K01847	333.312617928845	718.223672268247	-1.86289176823301	0.98369839476382	-1.10755727089727
K02416	6.85392101887354	50.8332465415752	-1.86296840609804	0.98368602171398	-2.8907709014366
K06200	206.029132269215	390.527887924047	-1.60444753863668	0.982654229514406	-0.922577228949165
K05805	1.19985397445086	17.2838876967218	-1.5989460479127	0.982617472118075	-3.84849702040716
K00024	429.16883016491	844.063240573495	-1.5988034548728	0.982613832506895	-0.975805796128172
K07192	85.4595140852038	469.156291051296	-1.59760740730177	0.982572422010336	-2.45675559180884
K20903	28.7955741242023	106.007126490151	-1.61041731992924	0.982372853492241	-1.8802422636257
K01744	92.7957781262848	255.492409009688	-1.59116179467647	0.982198881568312	-1.46114935304491
K01266	0.970122650961144	6.5138177134409	-1.58731991164017	0.981861476968127	-2.74726428563016
K22292	105.439196235864	285.420258159948	-1.58419880738939	0.981537999583673	-1.43667645821831
K05290	1.47719261839121	18.4170169643618	-1.58076002309078	0.981141737698812	-3.64010954101188
K25634	11.4489505246005	58.5400813846448	-1.57999716824858	0.981049969180914	-2.35420939262152
K07813	0.821558947648692	8.50286870999767	-1.5781672955167	0.98082452048244	-3.37151366312623
K08325	73.3071707483192	243.035024879918	-1.62115757856576	0.980738164356937	-1.72913801046942
K25674	317.715046438538	573.23434344502	-1.62225492363808	0.98048074911221	-0.851391631277533
K01844	91.1299239096464	352.786466987124	-1.72197254477236	0.980283489770714	-1.95279845166601
K00187	1914.66067383075	3441.7320900483	-1.57226728986151	0.980085104304028	-0.846046067199917
K18028	3.43366066541359	29.0329508799734	-1.89382819784717	0.979645954265721	-3.07987183762269
K01039	43.2269933724689	150.296285001048	-1.62863990080492	0.978599074967352	-1.79780495034533
K02410	7.12439873729405	36.9142377529324	-1.55336304893855	0.978175892650157	-2.37333720006625
K12681	23.2392109874994	87.9233567693919	-1.54737169312191	0.977522697903933	-1.91968537955221
K01874	6808.72641633973	16721.1207196209	-2.30354468575036	0.976132752901689	-1.29621467606414
K01843	106.048034978461	377.545315199909	-1.63604793541826	0.975792697923439	-1.83193192690121
K00929	320.462447251346	637.553503536462	-1.63649821024665	0.975607684888794	-0.992391110698789
K09800	5.17515718459553	30.7294317985157	-1.53196868255088	0.973919552595235	-2.5699465038352
K00233	39.2426780563163	135.555963852316	-1.53055802655813	0.973425013351255	-1.78839318212307
K03168	450.385976738869	744.208055761531	-1.52979462334222	0.973145514055641	-0.72454409893278
K03326	56.5702183525777	188.199295234147	-1.64398970785819	0.972475578556115	-1.73414658080211
K05662	3.25410127314392	22.9236442679077	-1.68679246703631	0.97216031290108	-2.81650535767555
K16092	124.62331192191	288.930800136527	-1.46463096017347	0.969551979357206	-1.21315004114603
K08348	270.308117469727	662.108099010399	-1.52013931680572	0.969378416743881	-1.29246194043979
K22934	6.91612724559306	53.3180975914767	-1.51987562173916	0.969277815203259	-2.94658898787716
K01615	27.5724030469008	102.485576227075	-1.67630528715788	0.969021772378706	-1.89412396510806
K20904	14.1172510339622	60.7105796028503	-1.47765993090018	0.968921640877051	-2.10448875787226
K01768	90.73244221338	258.359163960201	-1.48073792588272	0.968444620546431	-1.50968765994396
K18012	17.5866017150481	74.8594202243846	-1.45240154294415	0.968387201314687	-2.08970713915949
K02406	191.777639235705	487.770565615256	-1.97027259070057	0.967692735877635	-1.34676818596809
K20509	651.761245246937	1001.01345198136	-1.66077699571214	0.96768043431018	-0.619045886949038
K02117	765.821971146338	1160.44355129391	-1.4855620077927	0.967543580277894	-0.599595389543414
K01489	245.913787633697	532.656559509556	-1.66448611050292	0.967471136995703	-1.11505300285777
K01474	0.568191798230489	2.95206468145686	-1.51449565464808	0.967397028749111	-2.37727442034507
K18675	119.759046994802	317.007132222092	-1.48655869686453	0.96734495758722	-1.40438065333634
K08955	1.27912206074169	12.3211974788309	-1.44423480937839	0.967229931020825	-3.26791663056809
K27244	26.6064192591522	96.5673545673218	-1.44329239238724	0.967093003947828	-1.85976119302395
K01186	47.8242156996241	143.478218731755	-1.488910119324	0.966877602203485	-1.58501852541449
K19607	0.764013683929422	4.67310654939137	-1.44122621837062	0.966792274554585	-2.61271154870331
K02007	55.1724749747786	151.215505332923	-1.3686700977806	0.966786556666874	-1.45458547348159
K09810	787.246281295623	1140.84274198379	-1.44021635734287	0.966645494073477	-0.535212996218491
K02190	47.8591679172968	124.964062911498	-1.37808333035467	0.966392797493086	-1.38464604576414
K06206	77.0913605026567	172.51378095953	-1.36235383057966	0.966203769499464	-1.1620705197082
K12538	63.4896936066454	204.843552822414	-1.43477921384486	0.965860564898092	-1.68992816584387
K07175	71.9460108005453	194.84057452646	-1.49914029936153	0.965424752321866	-1.43730754136902
