	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
A5VIP9	11.4512626226529	773.013266406556	-3.78781247613971	1	-6.07691458923566
Q97QT7	0.733999873550158	29.9172818945277	-3.31000396934509	1	-5.34905548177498
A5VJ48	7.0547118922914	404.864886486934	-3.27492213369288	1	-5.84270954902982
A5VLH4	7.0223260878893	274.086786743721	-3.2752022182938	0.999999999999999	-5.28653997916125
Q88Z54	14.3975977101415	499.926489958957	-3.27876196571048	0.999999999999999	-5.11781595603622
A5VLK5	5.41327994227119	526.997346339779	-4.12063178219415	0.999999999999998	-6.60514888957051
A5VLH9	4.09550072833929	590.612212764688	-3.77476562590288	0.999999999999998	-7.17202752789064
A5VKB2	3.23800780265913	173.256208516514	-3.65385491179346	0.999999999999997	-5.74165677892237
A0A0H2URT2	209.519228603447	3442.94408397421	-3.27783570676882	0.999999999999997	-4.03848819234827
Q03SL6	2.25053237506495	151.968243046631	-3.76737243264757	0.999999999999997	-6.07735974475411
Q07744	7.90146939063742	250.811499549808	-3.27303694669891	0.999999999999996	-4.98833871818786
A5VMU5	55.6338245974346	1024.87710960216	-3.27671684780771	0.999999999999994	-4.20334483162449
Q03SC6	5.42930160881217	216.395558001831	-3.27209419239112	0.999999999999993	-5.31676044397744
A5VHK2	1.28069736674694	69.6973078339154	-3.299918596648	0.99999999999999	-5.76610142365021
P24944	5.39177007230466	143.57861387736	-3.30000844879265	0.99999999999999	-4.7349380893639
A5VKQ1	9.60122535254362	650.375187064765	-3.55363915755196	0.999999999999987	-6.08190986597183
Q797B3	40.7470315841106	811.885583952841	-3.49979911664614	0.999999999999986	-4.3165095598925
Q88ZS9	0.926495521890606	70.9490479413091	-3.75211907364222	0.999999999999983	-6.25885551163048
P27127	1.56829327520191	87.3009588072449	-3.47751500129003	0.99999999999998	-5.79873022096689
B2G6L2	1.56586821432966	105.750613540139	-3.51683361509302	0.999999999999979	-6.0775594248257
A5VK09	1.14561173090869	98.4664158053087	-3.47808527818685	0.999999999999978	-6.42544166883729
Q88VQ7	4.84116896275433	295.055086002216	-3.50553787218206	0.999999999999973	-5.92948506982461
A5VIU4	2.57674008313362	268.822045073891	-3.9301974579145	0.999999999999973	-6.70496062340288
A5VLK9	2.23502502962587	189.792839384622	-3.86221328614261	0.999999999999973	-6.40799076434716
A5VKP4	12.8693597161437	625.583052264182	-3.64410167464427	0.999999999999969	-5.60318924631713
A5VII1	19.4419573576448	847.743796447621	-3.62572937421591	0.999999999999969	-5.44638294449492
A5VL28	1.08346021735869	75.4974988743748	-3.32401375389778	0.999999999999962	-6.12271076433629
Q88Z33	1.2307013809842	77.5894138693654	-3.59314929373821	0.99999999999996	-5.9783071757115
A5VLK2	6.95010493787219	522.328438898679	-3.73632937948802	0.999999999999959	-6.23177868427516
Q1WT66	4.30261684689522	116.360121664396	-3.60713229939051	0.999999999999956	-4.75723852747531
A5VLI3	0.869257161897503	90.6954979680939	-3.61936251263849	0.999999999999955	-6.70510407988531
A5VLL0	1.26149118783277	117.164149078183	-3.65802409229549	0.999999999999949	-6.5372572501016
P9WQM4	1.20965509717481	81.9843976078554	-3.46881139060431	0.999999999999936	-6.08268171466893
A5VLV3	1.54558871131839	49.4749383977302	-2.99883222740986	0.999999999999931	-5.00046954367311
A5VLJ9	9.03369048166517	520.733045239664	-3.53758992885141	0.999999999999923	-5.84908466746558
A2RGV3	0.491640879837407	31.4799624822475	-3.26804831433798	0.999999999999886	-6.00068513072803
A5VJE0	3.25944711319838	153.614978746117	-3.71267411745277	0.99999999999983	-5.55854782083643
A5VLI1	0.970977021182011	106.008241888619	-3.68257503271786	0.99999999999983	-6.77052356620914
A5VJ93	70.5222492746154	1564.88331925394	-2.99696349502153	0.99999999999977	-4.47183279130767
A0AHX3	17.6818606706062	409.988743297765	-3.46630164702002	0.999999999999706	-4.53524229614342
A0AK49	80.977722854855	2073.93283905849	-3.46586991084647	0.999999999999643	-4.67870029126881
A5VIQ9	8.25321879118756	494.586461623938	-3.26483850692392	0.999999999999162	-5.90512205253358
A5VHN6	0.949959828421102	33.0620275038926	-3.0086352259833	0.999999999998483	-5.12116488276761
A4W829	2.20582064653336	57.2602415792754	-2.99208121265891	0.999999999995618	-4.6981463605773
P58730	1.19309670338966	59.9175015923147	-2.99143385821539	0.9999999999935	-5.65019458150372
A4VX91	5.8161658518432	239.492897361064	-3.26143359023619	0.999999999992998	-5.36377065112127
P42399	1.2949484023341	70.1075222844297	-3.33264514698449	0.99999999999178	-5.75860272903053
B2GC19	9.28162557879842	400.135190806942	-3.33368239990775	0.999999999985686	-5.42996620486393
A5VIU7	0.575844613384032	27.8403947267375	-2.98956001101212	0.999999999980825	-5.59535629034274
P37643	3.81454496945167	89.2239949882532	-3.01376356332501	0.999999999970475	-4.54784887015636
A5VLK8	6.65057220165316	189.52568629978	-3.33502712534293	0.999999999968041	-4.83277110650478
O31844	14.4614409613468	212.778829083372	-3.01432897609822	0.999999999956337	-3.87907139670524
A5VIE0	0.944422166475184	38.6984235932978	-3.1380824552673	0.999999999940332	-5.35669908480261
Q1M0P5	1.98611003999821	104.526642884472	-2.98713109403433	0.999999999927548	-5.71778135142622
O06988	2.20335693325364	57.8485570747911	-3.13312405809221	0.999999999913853	-4.71450584566404
P39651	65.1833364131882	712.870523787648	-3.01570333036413	0.999999999906937	-3.45106496522649
Q56242	21.9066959253514	437.966833687196	-3.1391857278144	0.999999999896789	-4.32137781013233
A0QGK3	171.934210090362	4708.0725836979	-3.45612003148061	0.99999999988795	-4.77520802799537
P00350	19.1562993562267	601.290162648093	-2.98611845140122	0.999999999875635	-4.97217056462249
P31049	6.37165186419958	235.532698161189	-3.13233477589229	0.99999999987219	-5.20811610499503
P45513	7.60915617734553	296.507819480294	-3.14021359567809	0.999999999828957	-5.28418986775341
Q8DW15	0.730355050821202	33.4353189206606	-3.13149823864051	0.999999999806811	-5.51663108979327
Q839Y9	18.188962395819	543.227674837375	-3.33870728281783	0.999999999745452	-4.90042182909338
B2G7K3	0.546698402320744	32.2735599526885	-3.13092036378349	0.999999999736802	-5.88346375425195
Q88UU5	22.0764470458522	595.971713574966	-3.33934444741606	0.999999999652939	-4.7546639476329
Q03H46	3.25932889927034	136.534454544673	-3.13018442589895	0.999999999611798	-5.38854630979831
Q5FM13	5.11089240526245	133.86888617235	-2.98389947722513	0.999999999587082	-4.71110165801169
B2G676	2.06597635666148	95.8437547949375	-3.12924826062377	0.999999999375066	-5.53578877956082
A5VJ82	1.88868063062615	102.708986755154	-3.14295199899354	0.999999999312911	-5.76503984122053
A5VKS5	4.74175438960687	124.872868566423	-2.98238907208475	0.999999999108715	-4.71889530593789
Q88WR8	7.45511198698216	195.619090072864	-3.34158015410258	0.999999998859261	-4.71367333251886
A8YUE3	15.4529782620789	637.821187151174	-3.14404122680206	0.999999998755997	-5.36719520029607
Q9ZNI1	0.957850367291672	57.7350670040748	-3.02111420497513	0.999999998482042	-5.91350373618183
A5VIG0	5.75824439443225	243.436152647533	-3.34305569150754	0.999999997591571	-5.40177060622771
O32215	56.9611661161233	839.531703645107	-3.34345596021013	0.999999997074101	-3.88153422063461
P34038	20.9454656994914	632.306943603419	-2.97957388034645	0.999999996450869	-4.91591519596478
A5VIY5	4.04403803334666	172.041111172176	-3.44878443709935	0.999999995419451	-5.41081297866532
P39787	2.17394280628669	54.9779648775207	-3.12491668700402	0.999999994972489	-4.66046761303724
A5VJG2	0.803814257034929	33.8671125482899	-2.97879056640834	0.9999999949432	-5.39687901384124
P80864	10.9359238848605	177.843808740292	-3.0236289998086	0.999999994662487	-4.02346373896748
P22294	19.2366855354486	361.600377964552	-3.24882467602025	0.999999994653432	-4.23246403523323
P46545	12.8446892305275	437.707361233574	-2.9786324524663	0.999999994639003	-5.09072275636025
Q38UX8	20.8062864810502	388.675022763367	-3.12430028118563	0.99999999338694	-4.22347299938235
A5VM22	11.0303530419238	336.945867278941	-2.97685582258924	0.999999987700073	-4.93296595866882
A5VKT4	8.03275551864667	282.157017928781	-2.97643966284538	0.99999998468258	-5.13445945516295
Q8L3K8	1.63882379360036	101.361117493464	-3.02610898160856	0.999999982740904	-5.95069978083597
A8FDN5	9.05977867360423	179.034201321847	-3.14994702575538	0.999999979561022	-4.30461559869828
