	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K02179	0.560205239574125	0.565178651736722	-0.00803225554772261	0.313436453341085	-0.0127514954315614	0.686563546658915	K02179
K02181	0.465978237444689	0.555898997899251	-0.178504656396345	0.436664733495693	-0.254560203042161	0.563335266504307	K02181
K02182	3.49165863175346	2.49389442236385	0.256533401947917	0.487304983144167	0.485512127436135	0.512695016855833	K02182
K02183	0.484900943229967	0.489348487373073	-0.00928036246173321	0.322819997682873	-0.0131721800425888	0.677180002317127	K02183
K02188	56.3061341392949	39.2459129750951	0.443499807521729	0.635104309218585	0.520749680684065	0.364895690781415	K02188
K02189	7.79092508320651	6.46908727267738	0.171216615412842	0.355842910346204	0.268232466100728	0.644157089653796	K02189
K02190	73.8311373045164	46.8990375920677	0.557212289415109	0.735577958638672	0.654671064430387	0.264422041361328	K02190
K02191	8.24651854806784	3.98919561985737	0.627428779808201	0.753286888936568	1.04768731076282	0.246713111063432	K02191
K02193	0.527885000605926	0.53764518016917	-0.0178530964701606	0.384060090469226	-0.0264307041614344	0.615939909530774	K02193
K02194	0.485524198418225	0.524720368861749	-0.0798083510156962	0.592059828486365	-0.112005593299672	0.407940171513635	K02194
K02195	0.749426374928116	1.0309618760209	-0.228572798920515	0.289338830640538	-0.460132327072966	0.710661169359462	K02195
K02197	0.498703749424124	0.608010081306283	-0.163298301283647	0.495604165252511	-0.285912195220322	0.504395834747489	K02197
K02198	32.5158367381317	15.7127012825045	0.567892668233046	0.740271365834562	1.04921132354213	0.259728634165438	K02198
K02199	0.505700612543981	0.56367122646912	-0.0995202179377469	0.598593633031593	-0.156570398631173	0.401406366968407	K02199
K02200	0.78652450057923	0.650952055923838	0.142369688448736	0.270507394333078	0.272940417332662	0.729492605666922	K02200
K02202	0.496281242922502	0.514488524788579	-0.0368665017411799	0.490590737356051	-0.0519809708069328	0.509409262643949	K02202
K02203	8.32756845923307	4.90142294133939	0.426366461337773	0.612497510752532	0.764694667494445	0.387502489247468	K02203
K02204	1.42518231931032	3.12494930103894	-0.499571821409456	0.445490931466896	-1.13268629303629	0.554509068533104	K02204
K02205	1.18924354135965	1.05307464700497	0.0805439909581441	0.0253064513198796	0.17543648505221	0.97469354868012	K02205
K02206	0.565367689838898	0.524720368861749	0.0676520341283067	0.00527331070752468	0.10764064270398	0.994726689292475	K02206
K02207	0.788159949167917	0.638736026739471	0.152773136435103	0.305052183275421	0.303268614517244	0.694947816724579	K02207
K02208	0.506440084812161	0.524720368861749	-0.0366773314272223	0.489761838060457	-0.051157195512113	0.510238161939543	K02208
K02210	0.49882526613564	0.522297792344819	-0.0462495340053022	0.52607734242949	-0.0663380643593831	0.47392265757051	K02210
K02212	0.561025662454278	0.613928195147298	-0.072981414527586	0.584682888720576	-0.130003164147213	0.415317111279424	K02212
K02214	0.485360931963528	0.524720368861749	-0.0806388831797559	0.592745720315293	-0.112490807666201	0.407254279684707	K02214
K02217	130.059062629001	106.879207881569	0.339322616626786	0.56342878122278	0.283185710376217	0.43657121877722	K02217
