	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC
K00364	44.8366709781214	534.641040817276	-3.03505411050408	1	-3.5758195175085
K00526	90.2311169129356	501.976004127135	-2.55903826442605	1	-2.47592145174673
K00627	18.3446895628071	555.551973963973	-3.06691419251412	1	-4.92048749147946
K00876	262.881728041174	799.206147471724	-2.5546912931064	1	-1.60415381142109
K01533	84.1780517382958	1732.95214663748	-3.0598737692507	1	-4.36364388699446
K02899	706.921224426192	1815.66637819946	-2.7650638207706	1	-1.36087777447071
K03366	53.2450756820274	596.264093616671	-3.00150409736731	1	-3.48523145143009
K03697	460.13443869644	2047.94208179109	-2.57756476696801	1	-2.15404757090419
K04074	26.2819913113383	750.952437849916	-3.07261682449768	1	-4.83657504264079
K05362	33.554741813515	1790.43280748674	-3.78764335362905	1	-5.73764791069788
K07058	108.034050131457	461.031438564685	-2.63094705489152	1	-2.09337904184023
K07586	2.98308486238596	89.5762211847389	-2.61705984515858	1	-4.90823888174587
K07738	46.7218600393547	491.088883810847	-3.02714754265972	1	-3.39381455088456
K09814	5.96049672857963	391.950979272658	-2.49017147614234	1	-6.03909685441912
K10213	17.0047548470538	196.676672927096	-2.60123238434306	1	-3.5318157428213
K11180	395.801917667451	1842.76703761711	-2.49287051159806	1	-2.21902318976753
K15580	427.175491896582	2027.20407187008	-3.06552188464262	1	-2.24659054384432
K19005	146.694076507407	1143.55990332128	-3.14719699462557	1	-2.96264941929036
K21471	16.3765058475544	256.670381046392	-3.12885868882068	1	-3.9702173469304
K26210	2.44298409060797	253.745755351662	-3.52551779542363	1	-6.69859541052804
K03111	1581.18523806934	3510.16786950769	-2.47784152009663	1	-1.15053363596919
K00655	28.2186214602911	254.202892172309	-2.7559954725434	1	-3.17126102853294
K01595	161.069126249515	1274.31948081602	-3.0297195512075	1	-2.98397512700009
K01738	359.733668509178	1368.85629659533	-2.65048415189759	1	-1.92796990261684
K01870	2136.66207959118	5122.78989822587	-2.50980798464134	1	-1.26157096464289
K16511	67.2491603114185	446.242203980089	-2.68835263512897	1	-2.73023880586428
K03703	1014.8283954899	4259.90419196595	-2.92886073266462	1	-2.06958519113282
K08987	7.26727207143233	185.941467310361	-2.71559902602433	1	-4.67729081643158
K05592	695.244198723968	1969.83764640938	-2.57074732547477	0.999999999999999	-1.50248502141122
K00383	198.580833262203	1157.53546161776	-2.51438016362348	0.999999999999999	-2.54325810393379
K01696	212.832615019305	1082.25701570945	-2.53901967566844	0.999999999999999	-2.34625199761717
K12555	248.664111776039	6187.24159730319	-3.65792112494348	0.999999999999999	-4.63702615688723
K22043	12.8961542754234	255.830708861151	-2.78521368132497	0.999999999999999	-4.31017663675216
K04069	159.082321488452	658.032715317491	-2.80979790248912	0.999999999999999	-2.04838579134527
K06960	12.5614688300466	161.422953897762	-2.76976610998565	0.999999999999999	-3.6837686649025
K03800	46.5608403570013	1234.9778549392	-3.42002003092313	0.999999999999999	-4.72922426498931
K26993	48.1498814720128	412.354920837438	-2.76347305683633	0.999999999999999	-3.09828247229544
K00610	116.242323046682	628.273769367055	-2.50814977262736	0.999999999999999	-2.43425790842201
K02888	618.162094376419	1562.90869400601	-2.98261912734275	0.999999999999999	-1.33817640161522
K03322	60.953552870412	534.779350568038	-2.52564954318219	0.999999999999999	-3.13316153928383
K00868	81.5503315042825	441.346984854766	-2.50843249186057	0.999999999999999	-2.4361506950582
K00613	76.6546807228936	461.068184812343	-2.71036553232285	0.999999999999998	-2.58853432440088
K06920	58.7284409849787	397.630286368907	-2.56376191053164	0.999999999999998	-2.75929640163426
K09685	2.61934371604298	124.388062875241	-2.98300675537502	0.999999999999998	-5.56949884532823
K04086	609.87161401523	10375.251676436	-3.39277751798249	0.999999999999998	-4.08849695427872
K23060	163.186116371758	582.883255281123	-2.52324382833344	0.999999999999998	-1.83668863715002
K01256	77.7589810834361	625.538536552733	-2.84014092783328	0.999999999999998	-3.00801754514305
K04564	232.455720594045	1531.96840256935	-2.84087841684719	0.999999999999998	-2.72035870618133
K00687	49.9947675488108	614.149017234763	-3.41280709560569	0.999999999999997	-3.61873973839919
K03305	180.677793020339	924.386352243316	-3.39770377386127	0.999999999999997	-2.35507676335883
K14260	102.981750059538	446.623253088418	-2.70919229765392	0.999999999999997	-2.11666967345524
K03590	111.809408951188	776.851630383928	-2.86706111436546	0.999999999999997	-2.79659748846573
K06153	141.420580356631	542.923359434495	-2.77530832341761	0.999999999999997	-1.94075647266035
K00867	7.77225652585492	203.086323445648	-2.95574919506768	0.999999999999996	-4.70761575814358
K00198	474.887098351137	1166.05962934493	-2.92154017551767	0.999999999999996	-1.29598509924906
K12556	6.35301780200076	326.493387484788	-3.33056096778046	0.999999999999995	-5.68346790097469
K01823	79.7962639848132	972.488196746847	-3.45377277039737	0.999999999999995	-3.60728763298286
K21567	24.3587939129528	311.035928239809	-3.28516655153069	0.999999999999994	-3.67456663054242
K14983	30.3368807066894	757.167674442004	-3.2852026907673	0.999999999999994	-4.6414681619685
K26032	285.246716175433	2029.4308299734	-2.90656546677403	0.999999999999994	-2.83079298574205
K22457	5.78117135998662	178.755928110109	-2.86096625874577	0.999999999999993	-4.95048544079106
K03310	459.188154933364	1334.31934917769	-3.36695272289925	0.999999999999992	-1.53894666279153
K16235	110.776267078716	1049.91236085815	-2.46074082103321	0.999999999999984	-3.24454817326458
K07444	69.1891732723168	1043.43728006938	-3.98263245451053	0.999999999999967	-3.91465377149781
K01261	1.83629229816753	57.6148181793481	-2.45119871028215	0.999999999999293	-4.9715722836365
K14982	5.32579012235341	104.911066967417	-2.45035835236366	0.999999999999026	-4.30002748799004
K01519	115.134081094925	609.244077782399	-2.44648897501567	0.999999999995684	-2.40370537010523
K02926	1167.45650005744	3217.70734503934	-2.44107888707749	0.999999999969208	-1.46266432142176
K19796	0.556687769132726	59.9020233660849	-2.41270225731394	0.999999801708423	-6.74959253844807
K07652	84.6520103876488	398.161974733185	-2.40785313430621	0.999999326269733	-2.23373921138415
