	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K00001	0.80604367997741	0.81035490893267	-0.0034908904935113	0.278620367489747	-0.00769587826359948
K00002	3.54263737721912	7.95210398267533	-0.603094858696737	0.562309381446361	-1.16651282248563
K00003	128.366781194529	141.309979116157	-0.189743814325072	0.391822429318014	-0.138591440830904
K00004	3.7877597812502	1.90618843650209	0.335217492588027	0.560495219191742	0.990654094258889
K00005	32.5395192883361	19.5975570710775	0.533042306342097	0.724103022651419	0.731519111263657
K00006	0.820860176971257	0.521917278586732	0.368994172948844	0.580455434125365	0.653315333696044
K00008	48.4274874776277	41.9276403670229	0.145263908538802	0.280530290956993	0.207924515283044
K00009	1.85046254103581	0.958345664041932	0.401909131349392	0.58875007509808	0.949267913295253
K00010	94.480575472637	38.3295663689789	1.10171025919528	0.893305837294671	1.30156007539012
K00011	8.11993877098902	3.51132031033149	0.51968971387998	0.714069175227484	1.20945524067658
K00012	252.239412482429	241.687302486724	0.102747357695171	0.10253742826474	0.0616520345038548
K00013	780.085489366867	1082.16777502811	-0.923194086237396	0.791329208615386	-0.472220043932308
K00014	29.9291145043549	23.8449898746032	0.238081483078427	0.461084850313046	0.327863425157066
K00015	75.878540397576	55.3967825068636	0.414675079576925	0.5989671342888	0.453889741551362
K00016	1577.59987050012	1847.60338539604	-0.414111918134235	0.356489325607863	-0.227923756374929
K00018	39.0273777202386	39.4675531884755	-0.0126298992159691	0.347480328636518	-0.0161805511373817
K00019	3.38811638448205	1.67054817317336	0.511924107737074	0.70773167907842	1.02016184733574
K00020	0.735954899112284	0.820674576772976	-0.0836783699055726	0.594920020082971	-0.157192903973738
K00021	0.741180619074375	0.848988046843185	-0.0840581102558539	0.595150991454642	-0.195919084558528
K00022	16.2073214111092	8.60676124125351	0.455770223567668	0.65012617734516	0.913103322982573
K00023	0.491955994972501	0.515928896867504	-0.0486943582701825	0.53371707966336	-0.0686429796922295
K00024	602.390687661034	398.143784939693	1.12631614005068	0.885981384506768	0.597409930408063
K00025	10.0036461731931	6.78577202431146	0.293455111542512	0.527406395652367	0.559941068718038
K00026	13.9873216152698	14.6191758670082	-0.0281266912762012	0.44739328497891	-0.0637422517507336
K00027	353.881720622702	273.325035949858	0.664447020637	0.771301178323013	0.372649629347951
K00029	484.745276832554	625.310423592988	-0.736421088291402	0.605574052348557	-0.367345725063236
K00030	42.3530889620431	60.5335156871339	-0.399475002396336	0.347296028446073	-0.515266948542308
K00031	376.196947621074	254.297342252196	0.95239309899683	0.875216297813663	0.564971759188297
K00033	131.00520203981	1712.92117564603	-2.59316210192069	0.999999999999974	-3.70876275824091
K00034	0.853312395403604	0.738909739736466	0.104779683089227	0.111613578211547	0.207675859900412
K00036	16.2441584623126	35.042667946663	-0.572741393920095	0.539858398451879	-1.1091916116194
K00040	3092.41874818685	2672.39675110669	0.374974149068449	0.581673660545591	0.210601479538793
K00041	1319.05875860834	1813.48430363914	-0.800731252452894	0.674939026623408	-0.459255426202301
K00042	27.7434693347212	8.31900849400757	0.888961331717518	0.844944880774235	1.73766471342372
K00046	1.9887311953197	3.42814771639407	-0.380178217335814	0.329139705797906	-0.785580986421555
K00048	2402.24709191969	1578.8141722344	0.869433833810836	0.841026750435839	0.605543177594233
K00049	0.728126609190541	0.486568857203365	0.297616741624356	0.530817056139348	0.581545349411819
K00052	417.738277029478	463.372404839882	-0.29697679426041	0.253708859682792	-0.149572787551364
K00053	736.446524069265	934.250183225744	-0.679189451795276	0.616965738762508	-0.343228171563578
K00054	0.600813845779574	0.468727854583378	0.196390026320132	0.40451424592243	0.358167529358683
K00055	0.755869654892495	0.821737535004797	-0.0586168653437187	0.559396862175592	-0.120540195185549
K00057	599.071926737871	498.008355995803	0.527110140741116	0.719908325695069	0.266559279361091
K00058	455.355699539526	308.532910440665	0.949262969572095	0.871702636962968	0.56156955568586
K00059	571.953812908748	368.300032893658	1.38844250386622	0.941269116258729	0.635017123402076
K00060	150.570773842328	122.10899321761	0.326637912633658	0.55427562644667	0.302272309095125
K00063	0.485360931963528	0.518616545050823	-0.0679700109508823	0.577339667109734	-0.0956102455178945
K00065	28.9001360875325	20.4459936656367	0.255838927535039	0.486333949417001	0.499258107366952
K00066	0.479294516623639	0.514488524788579	-0.0740587967795711	0.586046890452783	-0.102226464565164
K00067	147.711654886311	187.198702812707	-0.454211198399246	0.389664513225791	-0.341786774349655
K00068	0.555000744107859	0.539801706526261	0.0273498407342012	0.0643878493422584	0.0400601679925627
K00073	1.3748755523775	0.843208338014909	0.319439550761091	0.548761754756569	0.705340000044508
K00074	619.188693242323	228.344632051001	1.90717713842676	0.956283487387035	1.43916625215223
K00075	745.684321083259	546.390367298878	1.10167421893602	0.893311088573179	0.448632957867166
K00076	131.384350695435	35.0934222585142	1.50371314459425	0.958988758656299	1.90452089603454
K00077	30.1228482754257	24.2786126782095	0.217746515567446	0.434636993374247	0.31117220507787
K00078	147.606823757256	68.5838723624965	1.04422035471944	0.900395996650634	1.10581814898331
K00081	0.511972976797148	0.512549862473135	-0.00106857256858952	0.259765430469329	-0.00162469817160596
K00082	NA	NA	NA	NA	NA
K00083	0.491955994972501	0.509893313496013	-0.0367618697830924	0.4901324526376	-0.0516661457144054
K00085	0.46246959400616	0.524720368861749	-0.127531131334314	0.584187633461397	-0.182190278477348
K00087	443.768759298908	437.840187702688	0.0365572627263375	0.0274702222982764	0.0194037272495437
K00088	1420.38564343319	1833.63153425043	-1.11291976066425	0.828448737494059	-0.368421076975676
K00090	0.661875140117406	0.681774157364219	-0.0226471471591849	0.415177718636532	-0.042734830667481
K00091	16.7044977344371	0.976453344366134	1.63427710328132	0.9745539585384	4.09654168183504
K00093	6.7178532274609	6.19522758557043	0.0592185696996195	0.000308501008992712	0.116842994079698
K00094	25.9789012257081	70.6668371970715	-1.01315477399146	0.795290481493736	-1.44369292693863
K00096	14.8414820840963	15.0309772343867	-0.0117423424134017	0.34102476369412	-0.0183036406695363
K00097	1.42203079669071	1.73796504234637	-0.163925493359179	0.493336127496755	-0.289446354380955
K00098	0.727141406737152	0.598369502999174	0.165358509059092	0.341231700047036	0.281199303939428
K00099	696.016715747245	577.563405257894	0.615257833390559	0.752183684957866	0.269142619537169
K00100	631.958446264093	313.064823925644	1.53760525415793	0.968891401656527	1.01336828283008
K00101	1.4234212561039	0.963637312086753	0.312016798633394	0.542735032234315	0.562800524165225
K00102	0.715356828657882	0.595602553574409	0.152075783896461	0.302866337846369	0.264313115891917
K00104	35.5155927636713	31.8400284066892	0.115328261906646	0.160033562031832	0.157610941434457
K00106	2.07473412180995	1.60809542893919	0.125194648596028	0.203842841374753	0.367573443562754
K00107	0.508942721271365	0.516798783951055	-0.0157592231985227	0.369701121442719	-0.0220993773391689
K00108	0.559720370806241	0.549660469394074	0.0164480695351392	0.128552651181189	0.0261655279783395
K00111	622.295306353696	206.800065633755	1.68649223073958	0.972472160463697	1.58936272124384
