	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K10672	799.865979049065	324.824435572243	2.23815177246803	0.989945079283224	1.30009812430651
K10907	964.483743855602	364.562064763399	2.18328291372859	0.983788253952515	1.40359247553503
K00187	2969.62940264006	1376.81066926321	2.10976981553506	0.983316700449468	1.10895271758492
K18888	3344.4643587615	1810.57383722048	1.820664579805	0.982338471402871	0.885328158128899
K06915	702.504437200604	242.388885272511	1.81784459826821	0.981892695668072	1.53518379216434
K14155	885.118090597997	479.585424129156	1.81339459840005	0.981091205327717	0.884082137285183
K01299	532.839564071268	144.440488875827	1.65937071974373	0.979584641258735	1.88322600010096
K01874	9309.63343933559	4944.56145071963	1.66121473320192	0.979536722004214	0.912881794408139
K26046	17.5860447954628	1.11275132068527	1.77398806649617	0.978872690466747	3.98222793053483
K01151	1084.46848668079	565.979097454742	1.77510801498486	0.978831105612534	0.938167452640526
K00931	402.612655628558	133.776722151351	1.76790756982798	0.978830836461891	1.58956542095563
K08348	1157.92128419849	487.960018151915	1.79888741478093	0.97873585838216	1.24670233383234
K25133	3744.11842753324	1599.99497526446	1.77887059710009	0.978633884658245	1.22655869411858
K00248	1353.95554785058	529.645619744644	2.20415764323803	0.978616833260045	1.35408107844803
K10542	1641.83202212665	959.512958757986	1.79764895493378	0.978608441026688	0.774932334677976
K01207	522.382777748915	167.122690397592	1.79616386579148	0.978481054881983	1.64419971127394
K00975	1194.46953372696	681.98981991848	1.64722922666964	0.978416449718579	0.808547947350303
K03521	412.849080261882	139.785838721737	1.79470901307661	0.978378949391844	1.5623962781418
K02777	872.034759225555	368.604122118254	1.79362114357536	0.978318768553064	1.24231343705106
K13566	496.896121427658	224.003154458821	1.67137359756625	0.978280361744252	1.1494252320753
K08724	1141.73777446349	411.67465296184	1.78722026490127	0.978236162311393	1.47165481269518
K01945	831.35428497738	555.335763464212	1.64537507591675	0.978013281929967	0.58210311026877
K10793	1261.85510610739	641.014178259803	1.64487596097618	0.977892170519951	0.977118088262679
K01338	4552.63522847296	2868.55189445166	1.6432811590461	0.977487179219164	0.666379252940063
K01176	1003.88839492608	328.122019033026	1.85524435515581	0.976993721074152	1.61329457372165
K00602	1856.34836780652	1370.9142964611	1.85568242278929	0.976817519479908	0.437329093296026
K00366	359.964835277004	104.375850046654	1.67811430788036	0.97640014445755	1.78606803045142
K03547	672.488737179673	301.370952184172	1.63618469280976	0.975253657894704	1.15796973703037
K07305	669.520702889611	294.885710065288	1.6350975124565	0.974859457166243	1.18297275499024
K01443	1124.39946789489	675.345079954882	1.75109435231457	0.974693544620915	0.735457908930295
K10986	3600.54944700235	1363.9271226313	1.63454984741579	0.974655689504238	1.40045051955832
K00091	16.7044977344371	0.976453344366134	1.63427710328132	0.9745539585384	4.09654168183504
K07304	875.200101692429	390.890527753801	1.75032505687224	0.974340932827478	1.16284828078742
K02810	1342.8990488751	550.558879861039	1.63353263911069	0.974273245300992	1.28638208858086
K01890	830.481088910396	565.303656388653	1.63279017885943	0.973989810109996	0.554921288210479
K00609	1778.13959455178	1060.4655926353	1.86258425613809	0.973861165130382	0.745670776142199
K12264	793.33006178539	334.817026610269	1.74860140507208	0.973489774694565	1.24454832248727
K00929	518.835544561385	269.708375550535	1.56217771850281	0.973261266551409	0.943876995752832
K01006	937.679781391106	510.120290194995	1.5585600897076	0.973255037884199	0.878257839483074
K01844	277.07320342672	101.951130026045	1.56556497398661	0.972923936285455	1.44238942396821
K01835	1659.00459242002	1194.82920753423	1.55321040271839	0.972666898200063	0.473513470142709
K00111	622.295306353696	206.800065633755	1.68649223073958	0.972472160463697	1.58936272124384
K00764	1455.49423801648	864.946198677268	1.62855217280976	0.972297628704506	0.750826825920509
K01687	945.600283141065	546.953223274504	1.54914697356023	0.971878847267139	0.789813011879676
K07485	1892.98286879382	863.276948532317	1.7456058038154	0.971855442670178	1.13276598406737
K01613	790.646042364365	345.272634186947	1.57117492856967	0.971622036855813	1.19529597850709
K00705	1033.18229849366	540.411551562387	1.8675232897578	0.971520957643287	0.934964412673462
K03671	554.399694651524	294.522712961386	1.57357664966134	0.970816035448784	0.912547566977311
K02796	2662.60286606613	1046.30095578661	1.86992712060011	0.9703103479088	1.34753937797237
K26113	673.77634991405	218.655422102055	1.54244431268545	0.970221620366493	1.62361066554976
K25290	829.91439439764	342.972973588256	1.69042879712439	0.969962048791119	1.2748676343449
K15987	486.453547985682	279.180198334573	1.57759996683384	0.969235478594342	0.801105429112951
K00626	792.28456634038	371.269349517823	1.62104574976806	0.969177712945105	1.09355248178569
K00100	631.958446264093	313.064823925644	1.53760525415793	0.968891401656527	1.01336828283008
K00895	1404.11253468427	633.857598600737	1.87315537161093	0.968619206143963	1.1474278988142
K03525	893.669875575288	559.698334255582	1.61966449882037	0.968610869716146	0.675092539726605
K00761	1811.49588112079	1114.64677194398	1.5792563071293	0.968535767119959	0.70059492842469
K02010	204.771266430229	53.3221080940027	1.73984885780349	0.96821395049896	1.94120756637286
K03613	723.278967114189	361.804285156897	1.61780991827705	0.96786328820911	0.999342703703698
K01989	874.433605400584	436.256765003487	1.53028722366325	0.96680808043271	1.00317134309081
K00548	853.156131022427	548.271244010565	1.52798085648279	0.966145657237697	0.637919976264686
K07560	989.524388338017	451.738456093285	1.52568017301007	0.965485035681654	1.13124753078107
K05816	341.537206105916	118.979073754561	1.60905033427384	0.964806946497708	1.52133489808636
K01223	6859.98967692625	3981.78621445195	1.60667988480679	0.96419824177827	0.784790641805913
K00128	3160.89944400259	1342.81314496543	1.51961204788965	0.963750769274713	1.23507657535045
K01428	899.475225486436	347.395296936004	1.59384373488973	0.9636212791975	1.3725053225804
K00266	334.824584557978	82.7683757305659	1.73327468733047	0.963620378700511	2.01625391097426
K01126	501.594410029688	232.596489575509	1.60146878964677	0.963350644274744	1.10869194691801
K01905	624.388193736639	253.437713876594	1.51793882619206	0.963274631022607	1.30081203150653
K06201	401.175957466933	199.064128884476	1.5164357402689	0.962846559652171	1.0110018750431
K01847	584.890126632561	312.793302762287	1.51628494204027	0.962803556643687	0.902956012211907
K00873	2438.03464388211	1469.58855311823	1.72994874610204	0.961360336835509	0.73030633224892
K02745	849.641698503093	293.427005729407	1.50503983053586	0.959431826508807	1.53385291568642
K00076	131.384350695435	35.0934222585142	1.50371314459425	0.958988758656299	1.90452089603454
K11103	341.081507978765	143.835478563118	1.50323382892472	0.958824407821865	1.24569696427079
K15632	76.8448688864544	1.11561108802534	1.72528682505994	0.958600899847024	6.10604284740811
K20608	187.717823176874	54.2862302285479	1.5004811406381	0.957839955032539	1.78990742761077
K01580	609.804342562072	211.831363206948	1.72332065071809	0.957671928989069	1.52543021729692
K01623	1131.58574572908	297.336751591009	2.08684595328585	0.95731809399442	1.9281762085176
K07284	1637.64060434687	768.482634110503	1.49707284393485	0.956511594831684	1.0915342148002
K08963	402.215816099217	118.981810454102	1.91467878730938	0.956407884891089	1.75722877707771
K21531	35.1401889225386	4.03216885582243	1.49664678692327	0.956338330849576	3.12349398645872
K00074	619.188693242323	228.344632051001	1.90717713842676	0.956283487387035	1.43916625215223
K00703	2206.33262584547	1283.9782352902	2.07975891787185	0.954076343741135	0.781029559917531
K10671	1046.29561652989	442.776873306092	2.30940687855856	0.951320622954843	1.24063874720316
