	Prefeed_HiCHO_mean	T1_LoCHO_FAT_mean	theta	prob	log2FC
K00040	7182.22579175129	2821.65329195569	3.21344371545091	1	1.34789027954346
K00091	0.688050446731284	15.3250475019014	-2.35629575099312	1	-4.47723339066987
K01208	1987.56169572808	607.863011980654	2.9772832517949	1	1.70918150403141
K02117	489.203967091152	1014.88085164026	-2.64153548599115	1	-1.05280235479729
K02761	3809.37242645345	1470.2175345099	3.26726083192304	1	1.37352370795727
K03310	485.208756852337	1079.76583976512	-2.31058899457061	1	-1.1540409875169
K03687	1342.13405137851	480.46626493242	3.74906287993615	1	1.48202173062072
K03695	12799.4098085196	7373.14051316856	3.54016806328591	1	0.795726131469512
K04069	168.096965519063	581.311418661326	-2.5500599412889	1	-1.79001756628501
K04079	5903.78462016543	2242.10006280511	4.50830357320384	1	1.39678942476015
K07714	262.239725473432	815.579553766799	-2.55107209584623	1	-1.63693935879512
K20525	0.743542921025691	12.7850874197911	-2.27268334742459	1	-4.10390219074029
K10877	92.4693469575266	3.98677124633748	2.91709294241152	0.999999999999999	4.53568246637977
K10441	598.134751584338	1289.2150292643	-2.70891742007091	0.999999999999998	-1.10795046646728
K10671	358.671924666322	961.82894738497	-2.71069907960837	0.999999999999998	-1.42311552488931
K03293	792.762760837041	85.6922726927761	3.1540420257755	0.999999999999997	3.2096521749152
K05516	408.987466374613	127.20199849285	2.93144689815209	0.999999999999997	1.68493529449914
K10672	261.050244542932	735.035654144306	-2.7398924765446	0.999999999999997	-1.4934867218491
K07284	6525.17949746349	1498.13186555673	3.07592194993012	0.999999999999992	2.12285297311492
K21575	3081.55577397865	1311.30798359515	2.61607816779756	0.999999999999951	1.2326523356031
K04771	4615.88043089923	2333.37485035115	2.87761121040943	0.999999999999939	0.984187762111255
K24213	105.540845755593	7.08899468400616	2.59607986928754	0.999999999995437	3.89607659139133
K02990	369.42371383001	1004.02734127534	-2.22237474710625	0.99999999989635	-1.44245017368624
K13993	1377.79223256643	249.205987702895	2.85142761663092	0.999999999402932	2.466947712136
