	Prefeed_HiCHO_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K00001	2.02643632154883	0.761782076295482	0.659171044682788	0.808320469745269	1.41149459230484	0.191679530254731	K00001
K00002	4.21767158227335	7.60015066679505	-0.500161813440464	0.698700517975059	-0.849581258023576	0.301299482024941	K00002
K00003	77.3914531371822	132.771764520795	-1.12716360084356	0.958455135826106	-0.77870221952817	0.0415448641738944	K00003
K00004	12.9041720251968	1.78243949710114	1.23889109029127	0.951203367345008	2.85591256430963	0.0487966326549921	K00004
K00005	23.9223439077164	18.2358233964534	0.313993385424592	0.561694448299256	0.391583408803567	0.438305551700744	K00005
K00006	1.75077374310439	0.493700826514051	1.13423673533725	0.935335633742073	1.82628368727068	0.0646643662579275	K00006
K00008	33.5501225431216	39.2846390509975	-0.20304783510128	0.194525845678327	-0.227647268990086	0.805474154321673	K00008
K00009	5.56402500960014	0.898663712674568	1.06599594813933	0.927818460577561	2.63027565109724	0.0721815394224389	K00009
K00010	62.113745052313	35.5092289968679	0.746603262364458	0.848910279047172	0.80671851965873	0.151089720952828	K00010
K00011	6.55169763097376	3.33192419457672	0.462719938627374	0.672161901259118	0.975513198369112	0.327838098740882	K00011
K00012	169.126301168705	226.517152675707	-0.665586907832007	0.830325543249762	-0.421519266771503	0.169674456750238	K00012
K00013	1389.28849792039	1023.33938427859	1.08621773819473	0.928115970635084	0.441061533216341	0.0718840293649164	K00013
K00014	11.9296843688644	22.1486848626454	-0.670085222775694	0.834709525211828	-0.89266516419864	0.165290474788172	K00014
K00015	42.9198826322412	51.2052190243662	-0.242604007682458	0.259470647672603	-0.254644731569388	0.740529352327397	K00015
K00016	2361.97641653367	1752.37208534323	1.11108638207249	0.929689343595727	0.430685421683626	0.0703106564042733	K00016
K00018	57.3081985012494	36.4975639340727	0.50440473281989	0.704162081015982	0.650941372355222	0.295837918984018	K00018
K00019	1.15976003553832	1.560747396505	-0.254997762628325	0.286557129569865	-0.42841072917592	0.713442870430135	K00019
K00020	0.622573471491153	0.781123503923469	-0.191419512944423	0.174305578179902	-0.327306568445732	0.825694421820098	K00020
K00021	1.49901612495199	0.797604256812013	0.447753070942854	0.666823966295327	0.910270887944715	0.333176033704673	K00021
K00022	15.0359152322548	8.22179059520966	0.469817843893899	0.674359761204285	0.870888154277594	0.325640238795715	K00022
K00023	0.512116765222131	0.488495754777987	0.0538550212955705	0.530924689583847	0.06812676486849	0.469075310416153	K00023
K00024	917.552530312175	370.865972841399	1.69808475431937	0.976790567464477	1.30689284944394	0.0232094325355229	K00024
K00025	5.18552932915285	6.28542060064459	-0.152436675785779	0.0902252795973325	-0.277518024334188	0.909774720402667	K00025
