	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
A0A0H2ZM56	645.829330702025	14.9803544909071	4.21622167613062	1	5.43000929440183
A0A0H2ZPC8	1222.2687365246	12.0825442994176	4.9765506070615	1	6.66049342652621
A0AEN2	300.303462225759	7.95425827406841	3.52297995962891	1	5.23854989064212
A0AHX5	4015.45625411153	129.475526612212	4.2676895359847	1	4.95481259109708
A0AJB9	201.917734897147	4.61881428167321	3.83663106353172	1	5.45010128332316
A0AJK7	266.967455112178	1.04025756577138	4.87628943242525	1	8.00357928836619
A0AJL1	1099.11940152795	281.351103891194	3.29882908251743	1	1.965904591274
A0ALL3	398.802424868871	9.90996866412373	3.73512998339268	1	5.33064987613004
A0AM81	224.491948671418	4.46809544679596	4.31315293495549	1	5.65085988910524
A0AMD1	1606.06059635236	233.718194348024	3.33297434559418	1	2.78068437285638
A0JMA0	96.3409569729931	0.896560665021995	3.50911251731022	1	6.74760423919335
A2RC51	389.566415368294	0.953324397387482	4.59215712972816	1	8.67468637410016
A2RCW4	2671.20216362459	13.703702876457	5.00043511614339	1	7.60677958047049
A2RDK9	474.589844288548	6.30890697226224	4.12400670512606	1	6.23314734077192
A2RE13	79.1680099614519	0.462772042003911	4.91108594928287	1	7.41847206889926
A2REM5	213.251565737158	0.442430060891121	5.16205879272438	1	8.91289120605601
A2RF60	38.6491208711878	0.424409531397236	4.26575526774736	1	6.50883473147396
A2RG20	1256.75002731721	1.04318588328294	5.6561407869064	1	10.2344857532403
A2RGI3	44.8651948302917	0.442430060891121	4.1763101504005	1	6.66400345321803
A2RH21	34.3640071382118	0.442430060891121	3.99636545179526	1	6.27930505393196
A2RI32	610.557473072024	2.92235557795458	4.33254513813869	1	7.70685156642018
A2RI74	1631.8890892625	128.32857775673	3.42676493239832	1	3.66862862034252
A2RJB8	1076.39926494826	1.73293945488821	5.65146206242768	1	9.27877634479414
A2RNT9	193.961706576168	2.48303389798811	4.33290809859011	1	6.2875240851653
A3CKP1	78.2334528051814	0.434444062524484	5.00201443805628	1	7.49247139626732
A3CMJ3	31.92709465177	0.434444062524484	4.20106071103632	1	6.19946703148815
A3CNV6	101.290354098635	0.442430060891121	4.84191550267092	1	7.83883166444114
A3CNV7	273.982937196755	0.491634887510986	5.85771929140896	1	9.12228303788623
A3CQ60	130.650901175204	0.430057553758006	5.24211913709669	1	8.24697161468079
A3CQD3	58.978779131829	0.436210273474996	4.7851969261684	1	7.07902840027566
A4VWZ2	210.558433501715	1.09475918566442	4.22862929909305	1	7.58746329584683
B1IAZ8	122.673775078778	0.442430060891121	5.0539314222338	1	8.11516173779859
B1IBR3	308.943212252395	0.578662170959003	5.62210529101943	1	9.0604046277108
B2IMU7	47.4158220346984	0.430361356920242	4.12166228538122	1	6.78367619655806
B2TJ41	173.872257132274	9.01145673757036	3.41336761078694	1	4.27012360369268
B4U295	87.9064891774803	0.436210273474996	4.35384513953941	1	7.65480210927837
B5XJ82	24.4731262822645	0.454358268751661	3.40281339672491	1	5.7512242635093
B5XM83	37.6149723632868	0.430361356920242	4.06141552209609	1	6.44961467916131
B7IK95	350.659931508944	14.7731060803411	3.48072536368394	1	4.56902749594817
B9DV75	28.3627164818141	0.479061989865402	3.35309025543749	1	5.88763955475418
B9DVI3	149.894889797185	0.430361356920242	4.9231126618023	1	8.44418694356641
C0M8P7	69.9839445669545	0.436478235368115	4.3138251091289	1	7.3249704557061
C0MAT4	34.8735845354399	0.442430060891121	4.11309320115144	1	6.3005414384026
C0MEM8	19.9872834680057	0.442855668026351	3.39062150626261	1	5.49610201037843
C1CR65	73.9870689868523	0.491530954613812	4.89907833983495	1	7.2338470625469
O31462	1080.85294855123	0.860278148173667	5.62212074847694	1	10.2950794429344
O31550	490.791881321369	1.0020565044541	5.26607941653332	1	8.93600371169048
O31584	319.70533339619	24.2624559832154	3.72640343002607	1	3.71994531095564
O32035	177.194988943498	0.993416478638942	4.85670899340376	1	7.47872341168505
O32797	1012.07151546239	14.1837622269938	4.3110188559619	1	6.1569271712119
O32801	856.508747231025	120.720918615608	3.35948958262713	1	2.826792291051
O34580	735.794350600157	37.1821449547785	3.52159938123247	1	4.30662069577734
O34952	548.145196579705	5.99270614807783	4.52916428293442	1	6.51520665166404
O59291	35.9847361051724	0.516272600793915	4.0018207022056	1	6.12310823355637
O68579	97.2822192190982	0.884504619927306	4.29630829053047	1	6.78116265155262
P06715	84.5876893882503	0.975761942435384	3.38545231288609	1	6.43777468830369
P0A2X3	512.449138537661	14.2562742349067	4.12355077713382	1	5.1677399225914
P0A3J2	1362.08088801851	13.2003320015681	4.61761703501551	1	6.68909435574376
P0A4H7	769.555520028603	19.6101015606062	4.26486663453258	1	5.2943565020058
P0A4I5	107.003567614904	2.96381255621233	4.08696115273867	1	5.17406087970296
P0A4K4	29.8708284821405	0.414168891882367	3.35323156975695	1	6.17237424465709
P0C0D9	117.893211079593	0.432584724850474	4.89634038313725	1	8.09028220459672
P0C1U9	958.314844791232	153.184199294483	3.72836813721489	1	2.64523222366907
P0CZ30	104.533070759888	1.53892560248649	4.17507995599647	1	6.08589213665981
P0DA74	15.0693988201375	0.39885080684045	3.34069289400087	1	5.2396288564952
P0DB66	143.875793532509	1.24848844625532	3.34635294451803	1	6.84849760483475
P0DB80	533.376007565402	1.13824441640238	5.22716737158134	1	8.87219873819318
P0DB88	586.391883423715	94.9534025005614	3.46740568294104	1	2.62657353142401
P0DB98	294.042818375922	0.643083022275943	5.6152231810878	1	8.83680553750491
P0DD24	241.008737537894	3.29196468698641	4.02926041133743	1	6.19399278068141
P0DF72	1304.56648810647	1.38326542413221	5.26546503656209	1	9.88127674793815
P12047	644.43069368023	37.4615375369547	3.73623144569277	1	4.10454319144659
P18029	273.168041472377	0.442430060891121	4.15327796141283	1	9.27012358135478
P31026	979.903339619207	59.4779300283749	3.46272432855237	1	4.04221310060812
P33170	453.88985798962	0.585556752565785	5.84077935355149	1	9.59831753227614
P36497	51.0735531612441	0.756902100630492	3.46081538743518	1	6.07632590892765
P50840	1065.90478988402	92.4338961703398	4.13145845996185	1	3.52751277211847
P51012	32.5520534794227	0.434444062524484	4.04312514900996	1	6.22743431278488
P52985	162.549009502228	9.91357244993264	3.34899419296716	1	4.03532591475992
P59662	38.0948252071609	0.414564195356589	4.43318743709409	1	6.52185570475632
P60375	60.7798993607362	0.561704163545834	3.41165783159328	1	6.75763997911314
P63812	200.438706161749	0.418189743981111	5.63080694611586	1	8.90478773437243
P64195	75.6267625104267	0.422375358553604	4.7106937349006	1	7.48422737990649
P65832	123.260226500922	2.21422435833401	4.04900876547538	1	5.7987621251312
P67398	35.2817113524309	0.547393530326212	3.24352594965797	1	6.01019834731001
P72481	82.5706419989917	2.48960606917665	3.41990582640417	1	5.05163953486525
P75093	281.944672379026	13.4617016119914	3.52605287173649	1	4.38847939316098
P96051	19.8085344242094	0.442430060891121	3.31126523916819	1	5.48452892039061
P96589	157.847845467667	1.64809286721945	3.78073719310393	1	6.58159322038803
P9WH70	127.161151597238	1.10710665658707	3.78032608956916	1	6.84371996140213
Q00573	582.787527326727	6.95388411812373	4.53026207395166	1	6.38900716560031
Q00752	786.726076262698	66.9828217312086	3.31001601061038	1	3.55399834525403
Q03IB2	94.0273406916855	0.512433517565436	3.84190072537281	1	7.51957166210825
Q03JK4	22.0594808187221	0.469634980941967	3.31835230272541	1	5.55371515438585
Q03KB3	15.2836849668307	0.442430060891121	3.38741744747899	1	5.11039920275213
Q03KS5	17.4380212794548	0.442430060891121	3.39782240910742	1	5.30064312147731
Q03L41	54.4408983048525	0.432992248402818	4.50971920925103	1	6.97420586458672
Q03LX7	55.0106178183076	0.454358268751661	4.28876403323397	1	6.91973596126422
Q03MQ4	58.7877178629901	0.442430060891121	4.460448401846	1	7.05392155063609
Q04LE4	295.218808614144	3.45244823711903	4.00158919741008	1	6.41802104511301
Q07637	374.217281026466	15.3151680668873	3.51301332175442	1	4.61084307840585
Q0STE0	31.948336723883	1.0737523469658	3.29279096272285	1	4.8950076344934
Q0T2W2	184.641952837482	1.50169458662102	4.95439461862737	1	6.94199514881155
Q1J5E1	158.369793396864	0.416155571137479	5.62123473562109	1	8.5719585235744
Q1J822	18.563528143928	0.442430060891121	3.457394049035	1	5.39087770903858
Q1J8X3	26.181242362757	0.442430060891121	3.73931007333522	1	5.88694033526853
Q1WS96	61.1394306384793	0.754385493042869	3.31466363898668	1	6.34065737393428
Q1WVA2	106.945075841016	1.00975865939263	3.48140947074164	1	6.72671572840597
Q2FDV8	6494.81332392107	73.0013742217764	4.04125990221556	1	6.47522062721691
Q2FGY5	65.9805878783553	0.614343622015627	4.31240201489854	1	6.74685199517355
Q3C1A6	423.291466012091	1.40277726153204	5.01808452282982	1	8.23722164214659
Q3K3W8	53.2197015243244	0.493352748576647	3.47916440610422	1	6.75319706250455
Q46189	597.576831521548	102.995904940171	3.44782768725248	1	2.53653723710209
Q48656	127.387162274675	0.494233269908904	5.17878282204088	1	8.00981204807916
Q48662	52.9637115747328	0.680844338689251	3.40235614182145	1	6.28153542335629
Q48677	59.9419903131563	0.574457356751324	4.37194341031367	1	6.70522337527011
Q4L751	265.023758330138	1.45688585754053	4.56876270950066	1	7.50709003596694
Q52815	67.9563746171425	0.632218856596897	4.42190033332356	1	6.74804101268278
Q54089	109.678457302059	7.56230380655446	3.406859137041	1	3.85831056466942
Q59828	140.585983466121	0.637781131897428	4.7715485141455	1	7.78417563084035
Q5LXR1	576.489957735422	0.423602785596925	6.35382502660529	1	10.4103676850141
Q5LYF0	29.5931463343217	0.442430060891121	3.77522655387588	1	6.06366986860503
Q5XA33	25.4254564440839	0.434444062524484	3.85814089612881	1	5.87095943100385
Q5XAQ1	276.186440448847	5.38261712987044	4.27912057168033	1	5.68119087218434
Q5XDR6	447.964637620446	0.618380075466154	5.65694774032235	1	9.50067529931626
Q5XDZ7	48.6268661213476	0.424909076522408	4.30053241597671	1	6.83845564477363
Q5XEL7	71.9386333771532	0.411769062371002	4.80212324368269	1	7.44878750314713
