	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00001	0.849989901306782	0.559019724780283	0.330839983185405	0.662134742831181	0.604546511889155	0.337865257168819	K00001
K00002	3.73578513103979	2.58183150123136	0.304605649554799	0.662478701248414	0.533016630069951	0.337521298751586	K00002
K00003	135.365452752716	138.163702627856	-0.042544345386427	0.173048043948141	-0.0295190620876372	0.826951956051859	K00003
K00004	3.99427182746336	2.45641888031483	0.25789604284239	0.661012520574101	0.701375920800688	0.338987479425899	K00004
K00005	34.3136029417637	30.0374140627224	0.153797908009339	0.680726159826437	0.192020001594832	0.319273840173563	K00005
K00006	0.865614206949704	0.511454057929241	0.440171986183811	0.655265374784886	0.759119523979782	0.344734625215114	K00006
K00008	51.0677973466622	42.1286822040069	0.199148741558047	0.655706833230087	0.277611045416844	0.344293166769913	K00008
K00009	1.95135141146571	1.7608410584047	0.047788516824655	0.639461902285446	0.148208920044817	0.360538097714554	K00009
K00010	99.6317408302804	62.4578814962777	0.64372147592232	0.733785328588495	0.673721795949328	0.266214671411505	K00010
K00011	8.56264508489603	4.70630801233953	0.418619296087924	0.659488630366436	0.863460784812701	0.340511369633564	K00011
K00012	265.99173053206	276.201646984627	-0.100899808161028	0.0142315294914863	-0.0543405281811197	0.985768470508514	K00012
K00013	822.616446960268	1354.74520557074	-1.46920794578558	0.95300150715433	-0.719729719725567	0.0469984928456699	K00013
K00014	31.5608765575446	32.0659419318856	-0.0188465790191945	0.332715597099733	-0.0229045120639891	0.667284402900267	K00014
K00015	80.015506189002	104.841191984914	-0.426651244915728	0.588450424597461	-0.389854149706404	0.411549575402539	K00015
K00016	1663.61202443219	966.477076965192	1.31631579928611	0.948017594400272	0.783511597881808	0.0519824055997281	K00016
K00018	41.1551852098361	36.4138651992382	0.146567929757252	0.687897991322568	0.176586323894811	0.312102008677432	K00018
K00019	3.57283951577227	6.55443489051143	-0.436459442555473	0.591032397586764	-0.875400287063325	0.408967602413236	K00019
K00020	0.776079817510914	0.670672684341864	0.126826287362354	0.70482297790956	0.210596192867681	0.29517702209044	K00020
K00021	0.781590448392554	0.463133901761864	0.406247173774364	0.66243764184886	0.754983469318253	0.33756235815114	K00021
K00022	17.0909590495916	21.3213982142629	-0.154953786675868	0.190010192604001	-0.319068694918951	0.809989807395999	K00022
K00023	0.518777875196138	0.461760860989356	0.125951938397133	0.705332073597962	0.167971057978353	0.294667926402038	K00023
K00024	635.233565961931	940.02505448048	-1.23889587495068	0.885167275472282	-0.565412062441123	0.114832724527718	K00024
K00025	10.5490538970526	7.82608329749051	0.243762775147643	0.660397433264523	0.430751244255232	0.339602566735477	K00025
K00026	14.7499228821478	10.53118675055	0.262506241388929	0.661349991629212	0.486039389958907	0.338650008370788	K00026
K00027	373.175668091331	253.322209686321	0.979155529061961	0.890163116221611	0.558881353277801	0.109836883778389	K00027
K00029	511.174022263135	831.955558813184	-1.57849033476395	0.947532496411321	-0.702691944170018	0.0524675035886794	K00029
K00030	44.6622171988165	63.2950724376165	-0.447545082838065	0.59255604375363	-0.50303831558827	0.40744395624637	K00030
K00031	396.707541195921	357.55094134135	0.295351989401501	0.662258813455037	0.149927021027617	0.337741186544963	K00031
K00033	138.147722658918	210.343334213087	-0.57717578337951	0.669886939644404	-0.606534320009006	0.330113060355596	K00033
K00034	0.89983574931484	1.68106920202887	-0.484322092110568	0.596069023572067	-0.901645525454271	0.403930976427933	K00034
K00036	17.1298044897267	11.0450618552251	0.365526463088776	0.659982787259995	0.633107187195161	0.340017212740005	K00036
K00040	3261.02018025159	2289.8145280337	1.10329427746	0.908749575126192	0.510092622326292	0.0912504248738081	K00040
K00041	1390.97502021079	1457.05955156913	-0.128571158192184	0.0889389609773713	-0.066963331572865	0.911061039022629	K00041
K00042	29.2560680612102	16.5102782150023	0.464038293540855	0.660299011710911	0.825371456739598	0.339700988289089	K00042
K00046	2.09715859627221	3.59100850568859	-0.383858413642227	0.557517595137047	-0.775953101738266	0.442482404862953	K00046
K00048	2533.21974887583	1920.8199289982	0.702823532078012	0.773541150426118	0.399249954664481	0.226458849573882	K00048
K00049	0.767824722231003	0.652579617094801	0.1055271690948	0.708887309790381	0.234623085991231	0.291112690209619	K00049
K00052	440.513740985232	581.424344691178	-0.874520816596215	0.74949673340349	-0.40040445754102	0.25050326659651	K00052
K00053	776.598246299631	1167.97444692795	-1.22183023924098	0.876113642189491	-0.588768356629711	0.123886357810509	K00053
K00054	0.633570753252778	0.484398151643882	0.222455440979001	0.658448621830588	0.387312379560498	0.341551378169412	K00054
K00055	0.797080343562609	1.22721379273299	-0.256249840134949	0.40274824725735	-0.622589546133081	0.59725175274265	K00055
K00057	631.733863229171	366.074759282973	1.50281289759394	0.964638086264279	0.787178604193391	0.0353619137357208	K00057
K00058	480.182098967552	448.101363975396	0.18932685689318	0.658130096472352	0.0997565034535693	0.341869903527648	K00058
K00059	603.137245614244	493.992191219308	0.716172777560501	0.776575475750157	0.28799809229601	0.223424524249843	K00059
K00060	158.780026910592	151.324601499831	0.0843089662281066	0.696218765748078	0.0693828940822857	0.303781234251922	K00060
K00063	0.511823243461706	0.514796543172348	-0.00578158978110392	0.417789208134574	-0.0083566999139175	0.582210791865426	K00063
K00065	30.4757973184316	21.8020957966739	0.307927556737569	0.662587436257686	0.483197140254274	0.337412563742314	K00065
K00066	0.505426081739425	0.48916737243062	0.0370367041309981	0.609305999909226	0.0471719352696852	0.390694000090774	K00066
K00067	155.765026235545	202.874065772592	-0.544048053152728	0.639728163612375	-0.381213108337215	0.360271836387625	K00067
K00068	0.585259880361138	0.626384060333091	-0.0623330987842906	0.0621386597906227	-0.0979701155401376	0.937861340209377	K00068
K00073	1.44983499542756	1.79703196984716	-0.135324446066114	0.114277620896383	-0.309727357538593	0.885722379103617	K00073
K00074	652.947413810214	361.443620224646	1.29676045982621	0.940252829810112	0.853196180670466	0.059747170189888	K00074
K00075	786.339696257327	616.13182922029	0.851908732756837	0.810552527432008	0.351913619975739	0.189447472567992	K00075
K00076	138.547542837875	74.9257732336007	0.801298002599122	0.792921891611595	0.886847152092439	0.207078108388405	K00076
K00077	31.7651728668424	28.8198592584197	0.0982865303615791	0.706198862829958	0.14038258020276	0.293801137170042	K00077
K00078	155.654479619707	76.4177598985448	1.05869546333965	0.905984565145788	1.02636722465984	0.0940154348542118	K00078
K00081	0.539886200747513	0.530758095274995	0.0160960239660849	0.531261373391677	0.0246008719134831	0.468738626608323	K00081
K00082	0.518777875196138	0.497637424675937	0.0446468356112855	0.63138738371582	0.0600219659366473	0.36861261628418	K00082
K00085	0.487683849314098	0.476221513218698	0.0253002207714902	0.568624841718476	0.0343133996943527	0.431375158281524	K00085
K00087	467.963428396441	506.043932728199	-0.239412228360797	0.378464013582355	-0.11286685263103	0.621535986417645	K00087
K00088	1497.82633729377	1653.80345692007	-0.441346265113505	0.591825272818805	-0.1429174275059	0.408174727181195	K00088
K00090	0.697961163893219	0.594261255847687	0.127510662746869	0.704405518804503	0.232049439536816	0.295594481195497	K00090
K00091	17.6152418701074	17.5314920868793	0.00319224068997702	0.469121908202246	0.0068754966404988	0.530878091797754	K00091
K00093	7.08411658529842	8.45969183846146	-0.137045012489315	0.121070852046593	-0.256017156068352	0.878929147953407	K00093
K00094	27.3952941229155	18.5919125423098	0.380902377779639	0.661708319248259	0.559252905541538	0.338291680751741	K00094
K00096	15.6506529426059	17.0185264896961	-0.0916084680899029	0.00156090826542754	-0.120883282563579	0.998439091734572	K00096
K00097	1.49956118577621	1.68247506347277	-0.0996825821221052	0.0120106110343862	-0.166044733421397	0.987989388965614	K00097
K00098	0.766785805659948	0.882939209957196	-0.117783126446546	0.0545671185968543	-0.203490481432264	0.945432881403146	K00098
K00099	733.96416871906	583.463372067637	0.816602421842577	0.791145957328226	0.331067543012032	0.208854042671774	K00099
K00100	666.413385171705	370.581749492583	1.34156789370029	0.9524746315467	0.846625545194731	0.0475253684532997	K00100
K00101	1.50102745427846	1.36571760665474	0.0741512362426735	0.685675127521108	0.136291160284702	0.314324872478892	K00101
K00102	0.754358721858705	0.638657243260474	0.141621283011253	0.692814475102947	0.240208866213826	0.307185524897053	K00102
K00104	37.4519346009771	31.7167898495711	0.184934558924203	0.659871662735531	0.239793484857277	0.340128337264469	K00104
K00106	2.18785047912599	0.963380333912867	0.430381373651228	0.656361197154886	1.18333676692931	0.343638802845114	K00106
K00107	0.536690732984069	0.46691952584756	0.150380000646367	0.684073598985116	0.200917056270582	0.315926401014884	K00107
