	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
Q8R7V4	150.458926469223	995.76969865969	-4.39061716280424	0.999999999999986	-2.72644241293793
Q0P9C4	3.95175382597083	143.483356530008	-4.09518909180886	0.999999999999982	-5.18224651257468
P0A4M9	42.0082615212848	172.452929726001	-4.17165228438968	0.999999999999968	-2.03745765093238
A7LXU3	367.703036053449	1834.29104167977	-4.45935336190412	0.99999999999996	-2.3186095716052
O86233	156.393940792786	428.40478332345	-3.66590995374764	0.999895686366006	-1.45378996943313
Q60379	2.32079588623986	22.4124358462783	-2.79213629012669	0.998370232831864	-3.27160790501216
Q05203	63.3565299111474	280.836016037672	-2.79175818814881	0.99834750347178	-2.14816274196839
P36906	0.840286888053762	17.6522932973873	-2.79066278144824	0.99825527204514	-4.39282984084152
C4Z281	1.79512380531075	64.601731821918	-3.28062187233145	0.998152364140423	-5.16941758897976
B8YG19	30.3855906362801	196.552759633964	-3.28063487847712	0.998149870639891	-2.69345737915652
Q8UFA2	0.686914493218285	12.4373589099184	-2.60055251103282	0.998052294410377	-4.1784058252687
P23448	2.24824163176372	26.8197071758838	-2.59838150272943	0.998035105941083	-3.57642448169771
Q88FY1	3.11775427189447	26.1000518444428	-2.59704307818654	0.998012681550101	-3.06547354197482
E3PRJ9	8.20374837266877	48.2303427811321	-2.59385945423091	0.997907832867853	-2.55558591668993
A9KP98	42.7791598865186	122.474218087303	-2.59199993171414	0.997821185836786	-1.51749802534824
Q9ZFK1	61.4459846177799	247.237877317867	-2.61131617945421	0.997803845297074	-2.00850914250687
Q5UQ70	5.06323572654143	102.10902626792	-2.61136510975587	0.997801773999539	-4.33390694082217
A7LXT8	19.3998974734415	73.6085557706498	-2.80432975108301	0.997596432010958	-1.92382443740752
Q9LK65	31.9533695945755	87.347677162975	-2.61670783649082	0.997568137578261	-1.45080126162668
Q147F9	1.42689092769388	49.7060463300403	-2.58617536728879	0.997438656902687	-5.12247439063922
Q6RUF5	23.2936083778815	176.239023171422	-3.28437422771034	0.997410281127821	-2.91952735614692
Q21FJ0	0.549608144892161	30.6643230050782	-2.62082827037799	0.997388441548627	-5.80201390558244
Q6FDK2	24.9401504507925	610.549372741515	-2.62094938900629	0.997383356864039	-4.61356589171358
Q182E8	186.939166287445	404.759660791176	-2.46779180344039	0.997256730779265	-1.11449665023559
P38078	0.943953840049582	23.263123438791	-2.46791998224012	0.997256297636821	-4.62318469140745
C4Z2T5	2.59543072367448	30.5065012526052	-2.46983730178887	0.997245093263399	-3.55507084330757
A6L7J7	79.077346581446	178.233175147973	-2.46081608981437	0.99723745222916	-1.1724295278387
O53182	37.2259271852822	109.86870029955	-2.46051722358471	0.997233975197231	-1.56140075831109
Q8A414	146.904497111032	347.401305205863	-2.45973366804963	0.997224843030075	-1.24172461329952
