	T2_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K00187	3489.74241388749	1468.89716913261	2.64145356763793	1	1.24838714878894
K01489	550.389806974548	168.256244424566	2.65177333706035	1	1.70979370410831
K01874	17108.0560213259	5360.15423325372	3.01484352371621	1	1.6743294179762
K07714	1361.43907405826	499.328492389064	2.70348456126038	1	1.44707128524168
K24846	173.139582706393	12.9980301633332	2.35530116156496	0.99999999795907	3.73557068133606
K10671	1095.24172025919	471.968853340561	2.52449906037248	0.999995112487979	1.21448574829556
K10672	860.584778286007	344.765618545708	2.4293838605624	0.99857700052769	1.31970141256077
K03326	188.12859177451	54.2089214424865	1.80372844597992	0.99268552601909	1.79511691823484
K12941	199.387787486851	70.6176823382267	1.78502675615185	0.992112605680365	1.49747566933849
K01744	254.068593329983	93.4941678400183	1.78332403166426	0.992039465611884	1.44226977007537
K05805	16.7782166675242	0.987898358816534	1.75132706507347	0.990727452477571	4.08608295579908
K09810	1176.10439528025	723.623812217844	2.19275963672839	0.990347063932569	0.700704336211149
K00548	1005.34790407616	592.697399785795	1.98290322134901	0.989573955807778	0.76232720394887
K01843	367.450060242569	108.257322120945	1.74565107602178	0.989224890701773	1.76308358132554
K18675	326.496198019923	93.6480666214994	1.96760876819024	0.987997866218902	1.80174507675583
K00929	645.769832684484	284.091295939082	2.16860027064918	0.987644586883669	1.18466541608072
K20525	60.3427084510074	1.86417852093626	1.96544321172874	0.987515911670619	5.01656752278202
K01728	10.5658330265388	0.71875929992072	1.73942109533385	0.987038953690686	3.87775398794553
K06972	735.968158871239	361.113026876649	1.95629697004162	0.985842195639163	1.02719288513053
K01847	730.332307437334	329.847356606829	2.15393684547681	0.985221413186092	1.14675450872777
K05795	114.624173384845	29.8418450869411	1.62706797555215	0.984786101339707	1.94150268618803
K25675	318.976486997774	73.4279004994936	1.93996193723148	0.984597189406051	2.11904982606881
K03338	102.687823177834	17.1655051566963	1.63432952337017	0.983796272392801	2.58068089609395
K05290	17.660021173926	1.60719812785564	1.60468028496053	0.983533545876418	3.45786737896839
K05662	23.6793866061345	3.52383318943849	1.60466832595286	0.983531520218167	2.74841417273638
K01647	423.976655948841	239.940979887563	1.64136137872897	0.982657503175441	0.821305253766889
K07279	11.2978440410465	1.6057535751995	1.55233910049727	0.981664909628133	2.81472507680071
K26937	2877.37131914329	1744.09792591183	1.56362520915144	0.981515525413056	0.722270364640455
K08955	12.8006630688235	1.01137853702393	1.59047073519759	0.981416774057357	3.66182357028813
K20509	1022.07673400974	688.341057091797	1.65022826753233	0.981381317316738	0.570308043677562
K00024	866.454176863606	419.826969126806	2.00334539996065	0.981351213452209	1.04532860687818
K22292	288.396637644595	118.583502796647	1.56790867899374	0.981284247197552	1.28215102686603
